"common_name","sp_id","sample_size","pch_scale"
"Acadian Flycatcher",1,120,5.28749174278205
"American Crow",2,120,5.28749174278205
"American Goldfinch",3,120,5.28749174278205
"American Robin",4,120,5.28749174278205
"Barn Swallow",5,120,5.28749174278205
"Black-and-white Warbler",6,120,5.28749174278205
"Blue Grosbeak",7,120,5.28749174278205
"Blue Jay",8,120,5.28749174278205
"Blue-gray Gnatcatcher",9,120,5.28749174278205
"Brown Thrasher",10,120,5.28749174278205
"Brown-headed Cowbird",11,120,5.28749174278205
"Brown-headed Nuthatch",12,120,5.28749174278205
"Carolina Chickadee",13,120,5.28749174278205
"Carolina Wren",14,120,5.28749174278205
"Chimney Swift",15,120,5.28749174278205
"Chipping Sparrow",16,120,5.28749174278205
"Common Grackle",17,120,5.28749174278205
"Common Yellowthroat",18,120,5.28749174278205
"Downy Woodpecker",19,120,5.28749174278205
"Eastern Bluebird",20,120,5.28749174278205
"Eastern Kingbird",21,120,5.28749174278205
"Eastern Meadowlark",22,120,5.28749174278205
"Eastern Phoebe",23,120,5.28749174278205
"Eastern Towhee",24,120,5.28749174278205
"Eastern Wood-Pewee",25,120,5.28749174278205
"European Starling",26,120,5.28749174278205
"Field Sparrow",27,120,5.28749174278205
"Fish Crow",28,120,5.28749174278205
"Grasshopper Sparrow",29,120,5.28749174278205
"Gray Catbird",30,120,5.28749174278205
"Great Crested Flycatcher",31,120,5.28749174278205
"Hairy Woodpecker",32,120,5.28749174278205
"Hooded Warbler",33,120,5.28749174278205
"House Finch",34,120,5.28749174278205
"House Sparrow",35,120,5.28749174278205
"Indigo Bunting",36,120,5.28749174278205
"Mourning Dove",37,120,5.28749174278205
"Northern Bobwhite",38,120,5.28749174278205
"Northern Cardinal",39,120,5.28749174278205
"Northern Flicker",40,120,5.28749174278205
"Northern House Wren",41,120,5.28749174278205
"Northern Mockingbird",42,120,5.28749174278205
"Northern Parula",43,120,5.28749174278205
"Northern Rough-winged Swallow",44,120,5.28749174278205
"Orchard Oriole",45,120,5.28749174278205
"Ovenbird",46,120,5.28749174278205
"Pileated Woodpecker",47,120,5.28749174278205
"Pine Warbler",48,120,5.28749174278205
"Prairie Warbler",49,120,5.28749174278205
"Purple Martin",50,120,5.28749174278205
"Red-bellied Woodpecker",51,120,5.28749174278205
"Red-eyed Vireo",52,120,5.28749174278205
"Red-headed Woodpecker",53,120,5.28749174278205
"Red-winged Blackbird",54,120,5.28749174278205
"Ruby-throated Hummingbird",55,120,5.28749174278205
"Scarlet Tanager",56,120,5.28749174278205
"Song Sparrow",57,120,5.28749174278205
"Summer Tanager",58,120,5.28749174278205
"Tufted Titmouse",59,120,5.28749174278205
"White-breasted Nuthatch",60,120,5.28749174278205
"White-eyed Vireo",61,120,5.28749174278205
"Wild Turkey",62,120,5.28749174278205
"Wood Thrush",63,120,5.28749174278205
"Yellow-billed Cuckoo",64,120,5.28749174278205
"Yellow-breasted Chat",65,120,5.28749174278205
"Yellow-throated Vireo",66,120,5.28749174278205
"Yellow-throated Warbler",67,120,5.28749174278205
