"rownames","mean","se_mean","sd","conf_2.5","conf_25","conf_50","conf_75","conf_97.5","n_eff","Rhat","sp_id","q_rt_standard","slope","raw","flag_rhat","flag_neff","common_name"
"a",-0.149625242928598,0.00102194108743841,0.1672059894146,-0.47890178795506,-0.262686344348955,-0.14888135654363,-0.035878451586117,0.173941276021344,26770.219936508,0.999937177745415,NA,NA,NA,NA,FALSE,FALSE,NA
"sig_sp",0.339070960481986,0.000903648868039919,0.0807569922355823,0.173774201029784,0.287526560664528,0.340675144461214,0.393931495011473,0.492817185164809,7986.58012490212,1.0007329705965,NA,NA,NA,NA,FALSE,FALSE,NA
"b_landcover",0.132441457522828,0.00475486360116957,0.929772772584803,-1.69605031387735,-0.495383090431551,0.132663613889107,0.751165549300416,1.96212388693741,38236.4462863255,0.999938618873978,NA,NA,"landcover, forest_positive",NA,FALSE,FALSE,NA
"sig_lcc",0.39905577526411,0.00185614032629859,0.300886764522554,0.0151421713086498,0.160173633394508,0.337570226089442,0.577603770476428,1.11345006885183,26277.5309377117,0.999946570045665,NA,NA,NA,NA,FALSE,FALSE,NA
"kappa_forest",-0.0128119635155586,0.00452221674561317,0.901149652203947,-1.77621099735101,-0.61956022239133,-0.00807958469026852,0.60047072502644,1.73735489977072,39709.1957505037,0.999936725063784,NA,NA,NA,NA,FALSE,FALSE,NA
"kappa_uai",-0.0529215061841447,0.00444165463037695,0.914232039728612,-1.83934841962065,-0.671385174220724,-0.0559798739338096,0.558578403989224,1.73608589940253,42366.5697527163,0.999890546994325,NA,NA,NA,NA,FALSE,FALSE,NA
"c_obs",0.130680481641084,0.000998387149589601,0.168565827257803,-0.198430957293942,0.0173265894456566,0.129987539486515,0.245239944824573,0.460832317008619,28506.3168155616,0.999902852528184,NA,NA,NA,NA,FALSE,FALSE,NA
"sigma",1.96427553858269,0.000202907157592181,0.0372993687160838,1.8928051502812,1.93892543800555,1.96364738551084,1.98911822457602,2.03857157955138,33791.559003222,1.00005034028749,NA,NA,NA,NA,FALSE,FALSE,NA
"a_sp[1]",0.118051356702475,0.00141474236159259,0.267239861948538,-0.392192951392907,-0.06049146842003,0.109923101499219,0.29367962726666,0.658958745678274,35681.8827565093,0.999889827680898,1,NA,NA,NA,FALSE,FALSE,"Acadian Flycatcher"
"a_sp[2]",-0.271692297160887,0.00150301147162402,0.272694415191093,-0.839756147470538,-0.448021245986367,-0.258603139549457,-0.0850507894841356,0.235488330528937,32917.5797670907,0.999938910065515,2,NA,NA,NA,FALSE,FALSE,"American Crow"
"a_sp[3]",0.0436526733613627,0.00129540052088998,0.260983573889402,-0.468589111695104,-0.128165295569601,0.0403283487388881,0.215577571041401,0.565403079527853,40589.9216826465,0.999909743695002,3,NA,NA,NA,FALSE,FALSE,"American Goldfinch"
"a_sp[4]",-0.342356184242159,0.00166020691565808,0.276482807008943,-0.920653893070267,-0.521851622823104,-0.329991252579137,-0.149629418735497,0.161764766870159,27733.956040833,1.00010040985769,4,NA,NA,NA,FALSE,FALSE,"American Robin"
"a_sp[5]",-0.041474894682364,0.00133108112198341,0.263601790482547,-0.568671556183707,-0.214114177399897,-0.0398437729237247,0.131034302618308,0.476234017539724,39218.2005845379,0.999961977813207,5,NA,NA,NA,FALSE,FALSE,"Barn Swallow"
"a_sp[6]",0.0116525529213472,0.00135349930164895,0.264641141617873,-0.512968472461385,-0.161297127665687,0.011450646541124,0.185252776472214,0.532869529075435,38229.5028771649,0.99993847428288,6,NA,NA,NA,FALSE,FALSE,"Black-and-white Warbler"
"a_sp[7]",0.17060544413273,0.001410798498288,0.265544618888981,-0.340136352230499,-0.00720155511859145,0.16343616694336,0.33954255336482,0.711489014790031,35427.8692168783,0.999943750141578,7,NA,NA,NA,FALSE,FALSE,"Blue Grosbeak"
"a_sp[8]",-0.0773588555786964,0.00134815390361733,0.265757534139749,-0.612715047583576,-0.251666361311948,-0.0725405922073803,0.098144956008887,0.442362194251685,38859.0540065774,1.00004339393453,8,NA,NA,NA,FALSE,FALSE,"Blue Jay"
"a_sp[9]",0.400479594515182,0.00181232164719572,0.285798474363203,-0.120384078411182,0.201743598103895,0.387234914675859,0.583808396276803,0.999566223279916,24868.4808673075,1.00005380022781,9,NA,NA,NA,FALSE,FALSE,"Blue-gray Gnatcatcher"
