"common_name","reason"
"Brown-headed Nuthatch",">3sd scaled_ztempwq"
"Common Grackle","population loss more extreme than max population increase + 1%"
"House Sparrow","population loss more extreme than max population increase + 1%"
"Northern Bobwhite","population loss more extreme than max population increase + 1%"
