"","start_year","end_year","region","region_type","strata_included","strata_excluded","trend","trend_q_0.025","trend_q_0.05","trend_q_0.25","trend_q_0.75","trend_q_0.95","trend_q_0.975","percent_change","percent_change_q_0.025","percent_change_q_0.05","percent_change_q_0.25","percent_change_q_0.75","percent_change_q_0.95","percent_change_q_0.975","width_of_95_percent_credible_interval","rel_abundance","obs_rel_abundance","n_routes","mean_n_routes","n_strata_included","backcast_flag"
"1",2000,2023,"continent","continent","BCR29 ; BCR30","",-3.05492222369904,-5.00627761978309,-4.67529337986358,-3.72099194504135,-2.39985111982255,-1.44668214910532,-1.13873343628285,-51.011678628895,-69.3109927611735,-66.7550274678458,-58.1951215634995,-42.804607677098,-28.4781496422772,-23.157424198301,3.86754418350024,0.954046606031314,0.945346582695144,193,64.5833333333333,2,1
"2",2000,2023,"BCR29","stratum","BCR29","",-2.82478371166527,-5.07330286566398,-4.7025290528235,-3.59351610010648,-2.05762876146753,-0.953997712587986,-0.57072335932114,-48.265903767701,-69.8051749085034,-66.9728095275242,-56.9033407720304,-38.0096441505558,-19.7860548526955,-12.3345558641189,4.50257950634284,0.993800479166667,0.978091818980893,109,36.25,1,1
"3",2000,2023,"BCR30","stratum","BCR30","",-3.69736670650755,-6.62844790728047,-6.11754902754439,-4.63079530342143,-2.8170444103229,-1.59929756273858,-1.19310088087884,-57.9585448029174,-79.3492754020367,-76.5878315613601,-66.3962532917535,-48.1710550525325,-30.9826040070791,-24.1235141600327,5.43534702640163,0.838967145833333,0.86252216829968,84,28.3333333333333,1,1
