"","start_year","end_year","region","region_type","strata_included","strata_excluded","trend","trend_q_0.025","trend_q_0.05","trend_q_0.25","trend_q_0.75","trend_q_0.95","trend_q_0.975","percent_change","percent_change_q_0.025","percent_change_q_0.05","percent_change_q_0.25","percent_change_q_0.75","percent_change_q_0.95","percent_change_q_0.975","width_of_95_percent_credible_interval","rel_abundance","obs_rel_abundance","n_routes","mean_n_routes","n_strata_included","backcast_flag"
"1",2000,2023,"continent","continent","BCR29 ; BCR30","",0.338740181792851,-1.31948634320234,-1.05998669623991,-0.239236830449988,0.926406290485809,1.82397958924615,2.12380908997779,8.08833055911231,-26.3246457005959,-21.7372359927546,-5.36004061687001,23.6262280406458,51.5484613223764,62.1515545808306,3.44329543318012,5.36957594962119,5.16585518583164,172,57.5416666666667,2,1
"2",2000,2023,"BCR29","stratum","BCR29","",0.00171687962009504,-1.77156844790032,-1.48021871636272,-0.610714630866377,0.630659404942274,1.59451566641048,1.90212304286139,0.0394956920831913,-33.7088092410385,-29.0358348985089,-13.1419524834457,15.5572839738568,43.8851844031887,54.246153199494,3.67369149076171,6.887690625,6.47445006633619,93,30.5416666666667,1,1
"3",2000,2023,"BCR30","stratum","BCR30","",4.08244499490802,1.38325947092868,1.83617133943252,3.17323622082078,5.00472957709291,6.34295326313767,6.78660400289752,151.004883020043,37.158820761053,51.9663566375159,105.136161125506,207.470743984342,311.434296393795,352.778539984694,5.40334453196884,1.496510875,1.8559506942931,79,27,1,1
