"","variable_type","variable","rhat","ess_bulk","ess_tail"
"1","lp__","lp__",1.00011853477219,7970.28931295529,16033.1568260808
"2","strata_raw","strata_raw[1]",1.00006100162851,20593.7113078622,17602.3715848588
"3","strata_raw","strata_raw[2]",1.00006181555598,20598.206267518,17577.3768451702
"4","STRATA","STRATA",1.00013897388145,19251.1480837903,26521.5068022974
"5","eta","eta",1.00011112857314,37887.8973272185,32733.7852615868
"6","yeareffect_raw","yeareffect_raw[1,1]",1.00000840002368,52360.9399386523,31039.0866944763
"7","yeareffect_raw","yeareffect_raw[2,1]",1.00018137572585,55324.6236843302,29085.003879247
"8","yeareffect_raw","yeareffect_raw[1,2]",0.999964009970794,44737.821861417,30980.3737484093
"9","yeareffect_raw","yeareffect_raw[2,2]",1.00012101182894,54396.7166634708,29909.7042752515
"10","yeareffect_raw","yeareffect_raw[1,3]",1.00006160646141,54736.5429876481,29682.3958722651
"11","yeareffect_raw","yeareffect_raw[2,3]",1.00011960667679,56766.5711401219,30624.5185361436
"12","yeareffect_raw","yeareffect_raw[1,4]",1.00014022735206,54602.8881244487,30509.2918773627
"13","yeareffect_raw","yeareffect_raw[2,4]",1.00005992098217,55704.220037676,29056.8556633056
"14","yeareffect_raw","yeareffect_raw[1,5]",1.00012976676673,47879.3083357789,30046.8105992449
"15","yeareffect_raw","yeareffect_raw[2,5]",1.00033323368076,58226.8007611422,30361.4267605379
"16","yeareffect_raw","yeareffect_raw[1,6]",1.00005588865394,53363.8990938926,29894.1737006192
"17","yeareffect_raw","yeareffect_raw[2,6]",1.00020603868694,59153.9641986302,30495.6948966027
"18","yeareffect_raw","yeareffect_raw[1,7]",1.0003181640811,53406.1554507473,30131.0632146844
"19","yeareffect_raw","yeareffect_raw[2,7]",1.00004069794816,56818.4325886482,28879.7585595987
"20","yeareffect_raw","yeareffect_raw[1,8]",1.00033017984154,46325.8164979882,28929.1879501713
"21","yeareffect_raw","yeareffect_raw[2,8]",1.00018344199325,58001.6691292152,30136.4225043448
"22","yeareffect_raw","yeareffect_raw[1,9]",1.00026484634239,55510.1074194932,28937.3535722278
"23","yeareffect_raw","yeareffect_raw[2,9]",1.00025143818386,57469.6911053316,28682.0941466162
"24","yeareffect_raw","yeareffect_raw[1,10]",1.00008889265818,53651.9789883018,30047.1618827906
"25","yeareffect_raw","yeareffect_raw[2,10]",1.00012224395025,55135.220315208,29450.6053109582
"26","yeareffect_raw","yeareffect_raw[1,11]",1.00011661439544,51101.4759702194,28936.2786533733
"27","yeareffect_raw","yeareffect_raw[2,11]",1.00009592261152,57922.7332766735,29217.5782840421
"28","yeareffect_raw","yeareffect_raw[1,12]",1.00000562673461,42444.3295321362,26884.6823763805
"29","yeareffect_raw","yeareffect_raw[2,12]",1.00000580943501,55367.9476491509,30732.3042504238
"30","yeareffect_raw","yeareffect_raw[1,13]",1.00019712941803,52866.3993496864,28115.5521532635
"31","yeareffect_raw","yeareffect_raw[2,13]",1.00003517922985,58273.7778234943,29989.0648691065
"32","yeareffect_raw","yeareffect_raw[1,14]",1.00027640648122,53647.8785020934,28268.95043605
"33","yeareffect_raw","yeareffect_raw[2,14]",1.00023290031632,57118.5204963665,29329.4251941983
"34","yeareffect_raw","yeareffect_raw[1,15]",1.00002027798557,55880.8262503066,28759.362481587
"35","yeareffect_raw","yeareffect_raw[2,15]",1.00021267143497,57659.2399066301,31321.6575054334
"36","yeareffect_raw","yeareffect_raw[1,16]",1.00030590370989,48188.6718663103,27292.2157128605
"37","yeareffect_raw","yeareffect_raw[2,16]",1.0000292671566,57927.3153136514,29395.6801037929
"38","yeareffect_raw","yeareffect_raw[1,17]",0.999986934039283,52108.5225808585,29488.0476189473
"39","yeareffect_raw","yeareffect_raw[2,17]",1.0001157428804,58535.6602427837,30139.2632478961
"40","yeareffect_raw","yeareffect_raw[1,18]",1.00003755676093,50813.8657979559,29425.8131566518
"41","yeareffect_raw","yeareffect_raw[2,18]",0.999974014802161,57871.4750056583,30046.5708868466
"42","yeareffect_raw","yeareffect_raw[1,19]",1.00008555306027,50486.6259145305,29637.8944271923
"43","yeareffect_raw","yeareffect_raw[2,19]",1.00005507981672,57439.6043061313,27464.8161520415
"44","yeareffect_raw","yeareffect_raw[1,20]",1.00012976774379,50125.6407561228,29093.8489229251
"45","yeareffect_raw","yeareffect_raw[2,20]",1.00000637422875,55944.6577177956,30718.8346586756
"46","yeareffect_raw","yeareffect_raw[1,21]",1.00001474568057,54607.1284148905,29574.0976257061
"47","yeareffect_raw","yeareffect_raw[2,21]",1.00064060224938,57024.877198228,29933.312197668
"48","yeareffect_raw","yeareffect_raw[1,22]",1.00028009924914,49474.8214411466,28628.9195966344
"49","yeareffect_raw","yeareffect_raw[2,22]",1.00004179274033,53362.8711840176,29245.9167061321
"50","yeareffect_raw","yeareffect_raw[1,23]",1.0000930522811,40812.2248561955,29618.8898263722
"51","yeareffect_raw","yeareffect_raw[2,23]",1.00011808452613,58499.5746863159,29458.4099650514
"52","yeareffect_raw","yeareffect_raw[1,24]",1.00014085767717,48010.236982875,29510.7457348191
"53","yeareffect_raw","yeareffect_raw[2,24]",1.00017102480759,55863.5119461842,30036.25071077
"54","obs_raw","obs_raw[1]",1.00004719063815,26146.1531915911,30025.0520948699
"55","obs_raw","obs_raw[2]",1.00006040260651,40997.9101357104,30644.4227587614
"56","obs_raw","obs_raw[3]",1.00006165838817,44792.5949923858,31760.813809655
"57","obs_raw","obs_raw[4]",1.00002148953068,43714.8435467262,32762.8055801841
"58","obs_raw","obs_raw[5]",1.00006114884828,37311.4982374066,32498.5499071678
"59","obs_raw","obs_raw[6]",1.00013797089611,42858.201641246,30817.8833788785
"60","obs_raw","obs_raw[7]",0.999987835623976,45622.4193026179,30335.8217615771
"61","obs_raw","obs_raw[8]",0.999962481322565,33223.2409981468,29505.6689060474
"62","obs_raw","obs_raw[9]",0.999967910644688,34434.5715381051,29124.0077976176
"63","obs_raw","obs_raw[10]",1.0000471251301,38352.6794640463,28852.5036116778
"64","obs_raw","obs_raw[11]",1.00013607240072,24220.287907509,25926.1571535554
"65","obs_raw","obs_raw[12]",0.999963513751716,37339.251626811,32177.3802447215
