"common_name_standard","common_name"
1,"Acadian Flycatcher"
2,"American Crow"
3,"American Goldfinch"
4,"American Robin"
5,"Barn Swallow"
6,"Blue Grosbeak"
7,"Blue Jay"
8,"Blue-gray Gnatcatcher"
9,"Brown Thrasher"
10,"Brown-headed Cowbird"
11,"Brown-headed Nuthatch"
12,"Carolina Chickadee"
13,"Carolina Wren"
14,"Chimney Swift"
15,"Chipping Sparrow"
16,"Common Grackle"
17,"Common Yellowthroat"
18,"Downy Woodpecker"
19,"Eastern Bluebird"
20,"Eastern Kingbird"
21,"Eastern Meadowlark"
22,"Eastern Phoebe"
23,"Eastern Towhee"
24,"Eastern Wood-Pewee"
25,"European Starling"
26,"Field Sparrow"
27,"Fish Crow"
28,"Grasshopper Sparrow"
29,"Gray Catbird"
30,"Great Crested Flycatcher"
31,"Hooded Warbler"
32,"House Finch"
33,"House Sparrow"
34,"Indigo Bunting"
35,"Mourning Dove"
36,"Northern Cardinal"
37,"Northern Mockingbird"
38,"Northern Parula"
39,"Orchard Oriole"
40,"Ovenbird"
41,"Pileated Woodpecker"
42,"Pine Warbler"
43,"Prairie Warbler"
44,"Purple Martin"
45,"Red-bellied Woodpecker"
46,"Red-eyed Vireo"
47,"Red-winged Blackbird"
48,"Ruby-throated Hummingbird"
49,"Scarlet Tanager"
50,"Song Sparrow"
51,"Summer Tanager"
52,"Tufted Titmouse"
53,"White-breasted Nuthatch"
54,"White-eyed Vireo"
55,"Wood Thrush"
56,"Yellow-billed Cuckoo"
57,"Yellow-breasted Chat"
58,"Yellow-throated Vireo"
59,"Yellow-throated Warbler"
