"rownames","mean","se_mean","sd","conf_2.5","conf_25","conf_50","conf_75","conf_97.5","n_eff","Rhat","sp_id","q_rt_standard","slope","raw","flag_rhat","flag_neff","common_name"
"a",-0.428596593875519,0.00237269136492054,0.15957927839711,-0.744049311087072,-0.535377075653329,-0.427470449582818,-0.319958557252444,-0.120516893627424,4523.45729285764,1.00030666606251,NA,NA,NA,NA,FALSE,FALSE,NA
"sig_sp",0.968107681465821,0.00124338670220005,0.0971966352214266,0.793156680500913,0.900122490401811,0.962925055734602,1.02938238518483,1.17370730926324,6110.68679811212,1.00081530991349,NA,NA,NA,NA,FALSE,FALSE,NA
"b_landcover",-1.42535337957199,0.00460002693525612,0.799601647186894,-2.99343978937767,-1.96877936879769,-1.42186354407576,-0.886978373075998,0.13406691560901,30215.2791438693,1.00004184209418,NA,NA,"landcover, dev+barren",NA,FALSE,FALSE,NA
"sig_lcc",0.40494850242053,0.00193832266335898,0.307809019619144,0.0150531854118232,0.159202742254909,0.341988510333158,0.585376986372375,1.14280881273287,25217.9939372605,0.99999771263689,NA,NA,NA,NA,FALSE,FALSE,NA
"kappa_forest",0.477941021452194,0.00502435330024009,0.836759918193081,-1.15384840948124,-0.0888770675694126,0.477257334125412,1.04163025714974,2.12430951868518,27735.8446998472,0.999934583218755,NA,NA,NA,NA,FALSE,FALSE,NA
"kappa_uai",-0.316596385511005,0.00518066346603583,0.864956896052482,-2.00768770829874,-0.902134533677939,-0.318900005133884,0.258998295191035,1.40364979859795,27875.2112843805,0.99994542588923,NA,NA,NA,NA,FALSE,FALSE,NA
"c_obs",0.358967194106468,0.000666603452011467,0.105866915351485,0.152978437910247,0.288038765772628,0.358978701612545,0.43046902366798,0.567402217872138,25222.3415116731,0.999966333295519,NA,NA,NA,NA,FALSE,FALSE,NA
"sigma",2.83338744022893,0.000180218473959778,0.0325751438997606,2.77067008467181,2.81108692330943,2.83309390942824,2.85546863948938,2.89769900924661,32671.8758383155,1.00011097906462,NA,NA,NA,NA,FALSE,FALSE,NA
"a_sp[1]",0.871773238952379,0.00280507430311389,0.393821781445343,0.101682265857882,0.605229902896725,0.87302953129336,1.13524013857573,1.64324783540694,19711.0938323612,0.99988156392061,1,NA,NA,NA,FALSE,FALSE,"Acadian Flycatcher"
"a_sp[2]",-0.821198209656892,0.00253621631088878,0.279236812493607,-1.37147616996085,-1.00889237727702,-0.81999721998045,-0.632431952739101,-0.27222402930154,12121.9576171344,0.999931010916646,2,NA,NA,NA,FALSE,FALSE,"American Crow"
"a_sp[3]",-0.356036166025217,0.00274261331791919,0.336012645411681,-1.0180727888958,-0.583707421483917,-0.356581748643861,-0.130415278968629,0.303840718317508,15010.0480493875,1.00004557766332,3,NA,NA,NA,FALSE,FALSE,"American Goldfinch"
"a_sp[4]",-0.890810423258782,0.00278775087624651,0.334390858334807,-1.54444364121347,-1.11645707156764,-0.891470274902752,-0.665393724574832,-0.229735568694794,14388.0146104449,1.00009322274587,4,NA,NA,NA,FALSE,FALSE,"American Robin"
"a_sp[5]",-0.911546368321583,0.00274538154527892,0.399704312749729,-1.69922385073337,-1.18053584757368,-0.91076067809504,-0.640746912831948,-0.137206944383143,21196.8950012806,0.999925962426126,5,NA,NA,NA,FALSE,FALSE,"Barn Swallow"
"a_sp[6]",0.364152154065552,0.00418098846155776,0.749035209239197,-1.09837909189102,-0.142119393783828,0.369227980554276,0.864265586532888,1.84292416024942,32095.676006869,0.999949542353555,6,NA,NA,NA,FALSE,FALSE,"Black-and-white Warbler"
"a_sp[7]",0.350687165329726,0.00265239390115545,0.314790203909359,-0.262892923154524,0.137530886174475,0.34985303183889,0.562426892477444,0.971732626416075,14085.3089241719,1.00001520117543,7,NA,NA,NA,FALSE,FALSE,"Blue Grosbeak"
"a_sp[8]",-0.186750528863382,0.00263013547193782,0.313080753026002,-0.803620813639653,-0.394431155604696,-0.187874449036104,0.0229428854542274,0.428863635144055,14169.5644975499,1.00003418769768,8,NA,NA,NA,FALSE,FALSE,"Blue Jay"
"a_sp[9]",0.585913920803477,0.00255017930958929,0.288366859370709,0.0262555835717597,0.391297579368708,0.588103575889953,0.780112279934284,1.14827827711438,12786.4286432831,0.999902264806694,9,NA,NA,NA,FALSE,FALSE,"Blue-gray Gnatcatcher"
"a_sp[10]",0.172470800054834,0.00287333466223642,0.380187283574458,-0.573845792815537,-0.0817929665218639,0.170593861799101,0.427538922051605,0.919675655455833,17507.4441355212,0.999971156792178,10,NA,NA,NA,FALSE,FALSE,"Brown Thrasher"
"a_sp[11]",0.35523087951024,0.00262379871840246,0.332681205261628,-0.290253645746063,0.131508795038267,0.355668390275322,0.578442478698807,1.01652568528542,16076.6479363469,1.00005272170175,11,NA,NA,NA,FALSE,FALSE,"Brown-headed Cowbird"
"a_sp[12]",0.505890701264394,0.00283361989445109,0.427779834902561,-0.331741711001153,0.216552288543943,0.505443816125531,0.792394870293962,1.34581814934822,22790.6877553903,0.999936293379337,12,NA,NA,NA,FALSE,FALSE,"Brown-headed Nuthatch"
"a_sp[13]",-0.0319223862887565,0.00262629721076088,0.299079106841798,-0.615912891604304,-0.234007289813164,-0.0329413334589139,0.170165062888848,0.559163157485203,12968.3405068108,0.99994948909125,13,NA,NA,NA,FALSE,FALSE,"Carolina Chickadee"
"a_sp[14]",1.86760880661841,0.00257712361278093,0.282574774412934,1.32199092372426,1.67814254692889,1.86492271262266,2.05586889698943,2.42347357102064,12022.5413321616,1.00015132187818,14,NA,NA,NA,FALSE,FALSE,"Carolina Wren"
"a_sp[15]",-1.21508712391823,0.00275967368482375,0.344390951051835,-1.88005418650946,-1.45221721977089,-1.21639431807537,-0.978916162395884,-0.540457385285673,15573.5635294051,1.0001178472598,15,NA,NA,NA,FALSE,FALSE,"Chimney Swift"
"a_sp[16]",0.966139733080713,0.0025919621892586,0.280213314317792,0.410242445758357,0.778549972706994,0.966886325604009,1.15379884845203,1.51782403368921,11687.4619517191,0.999919310196788,16,NA,NA,NA,FALSE,FALSE,"Chipping Sparrow"
"a_sp[17]",-2.12511322204222,0.00274549552869594,0.368033681755506,-2.84335159731878,-2.37482151028563,-2.12450795455119,-1.87462490648718,-1.40678222011243,17969.4030989724,0.999963037443177,17,NA,NA,NA,FALSE,FALSE,"Common Grackle"
"a_sp[18]",0.0424501432734116,0.00292086020972225,0.390702732960102,-0.721500840294766,-0.221245520049005,0.0397756361567427,0.306378180669353,0.814061053619833,17892.513490878,0.999943215208844,18,NA,NA,NA,FALSE,FALSE,"Common Yellowthroat"
"a_sp[19]",0.430231095468819,0.00266781900798184,0.33696538564739,-0.232856978317129,0.200065301122455,0.43266704619461,0.659788290128577,1.08971617859683,15953.5690552385,0.999984867756971,19,NA,NA,NA,FALSE,FALSE,"Downy Woodpecker"
"a_sp[20]",0.344506159196091,0.00262981006998386,0.29304202729628,-0.229389874048579,0.146462240916602,0.342870477808089,0.53977586377019,0.922135591333161,12416.8390654964,0.999993882059356,20,NA,NA,NA,FALSE,FALSE,"Eastern Bluebird"
"a_sp[21]",0.200306470486181,0.00295788088998731,0.428763959977874,-0.637573534088676,-0.0863576800020709,0.200034868868553,0.489565684574085,1.04546167009935,21012.3769682049,1.00015489661577,21,NA,NA,NA,FALSE,FALSE,"Eastern Kingbird"
"a_sp[22]",-0.16327806012822,0.00273067826885434,0.390046840369299,-0.934627518112729,-0.425383166299583,-0.159688941737303,0.0991333314786195,0.604521402682851,20402.9262650358,0.999918498831062,22,NA,NA,NA,FALSE,FALSE,"Eastern Meadowlark"
"a_sp[23]",0.661847027469569,0.00269608857925569,0.358228956450281,-0.0334324163989128,0.418182697376784,0.660637367941173,0.904083681412222,1.37318910384215,17654.4040704327,1.00010790790033,23,NA,NA,NA,FALSE,FALSE,"Eastern Phoebe"
"a_sp[24]",-0.601002879021458,0.00261215792088,0.308062232631114,-1.20399147090046,-0.810581791210991,-0.598145908394405,-0.392018962789838,-0.000297277690375524,13908.4283912202,1.00000374569744,24,NA,NA,NA,FALSE,FALSE,"Eastern Towhee"
"a_sp[25]",0.0232244411113134,0.00259636129436735,0.320653537569193,-0.599017437775913,-0.191519159430908,0.0198787764989401,0.240457108165352,0.658908790390843,15252.5275726329,0.999943129532883,25,NA,NA,NA,FALSE,FALSE,"Eastern Wood-Pewee"
"a_sp[26]",-4.57082868869377,0.00323402322514547,0.444944590479378,-5.43953775034493,-4.87268082291917,-4.57024114571511,-4.26710037058554,-3.70855125763258,18928.9094306547,1.00001965418667,26,NA,NA,NA,FALSE,FALSE,"European Starling"
"a_sp[27]",0.0855211051025725,0.00313974982515722,0.496521514454741,-0.886827812349615,-0.244931310353563,0.0891826699545522,0.417942161178847,1.06038182533469,25008.4083950612,1.00000114886415,27,NA,NA,NA,FALSE,FALSE,"Field Sparrow"
"a_sp[28]",1.43355442442858,0.00285486494379795,0.423315524096277,0.613106627302883,1.14544718940898,1.43482773659238,1.72047743550916,2.26329589671779,21986.5584922472,0.999932780508631,28,NA,NA,NA,FALSE,FALSE,"Fish Crow"
"a_sp[29]",0.231549851126545,0.00345553922153599,0.566139222330757,-0.890917331200134,-0.143758534396588,0.233487333587011,0.609955054503009,1.3317611827765,26841.9976849041,0.999956769876079,29,NA,NA,NA,FALSE,FALSE,"Grasshopper Sparrow"
"a_sp[30]",-0.0915893103398425,0.00336103495919686,0.560069506501278,-1.20232974101043,-0.470896586352523,-0.0859631442395121,0.282222478796639,0.988420040287353,27767.5649284134,0.999894501303696,30,NA,NA,NA,FALSE,FALSE,"Gray Catbird"
"a_sp[31]",0.50637637388285,0.00270119174918136,0.34186628980179,-0.161552029201112,0.275707201189362,0.507603934295169,0.73551333374949,1.1718843366127,16017.7580169193,1.00009044580676,31,NA,NA,NA,FALSE,FALSE,"Great Crested Flycatcher"
"a_sp[32]",-0.0451563020188942,0.00380831834552811,0.674101175337527,-1.37202342610216,-0.499675369773931,-0.0484967410772727,0.40740373551707,1.29030266802168,31331.6797637912,0.999916645429878,32,NA,NA,NA,FALSE,FALSE,"Hairy Woodpecker"
"a_sp[33]",0.522969968514901,0.00307451291415538,0.486042985156868,-0.424060522692569,0.196176006173383,0.523162182876699,0.846893883992399,1.47781410967158,24991.7527645411,1.00004544192995,33,NA,NA,NA,FALSE,FALSE,"Hooded Warbler"
