"common_name","sp_id","spqrt_standard"
"Blue Grosbeak",7,258
"Blue Grosbeak",7,259
"Blue Grosbeak",7,260
"Blue Grosbeak",7,261
"Blue Grosbeak",7,262
"Blue Grosbeak",7,263
"Blue Grosbeak",7,264
"Blue Grosbeak",7,265
"Blue Grosbeak",7,266
"Blue Grosbeak",7,267
"Blue Grosbeak",7,268
"Blue Grosbeak",7,269
"Blue Grosbeak",7,270
"Blue Grosbeak",7,271
"Blue Grosbeak",7,272
"Blue Grosbeak",7,273
"Blue Grosbeak",7,274
"Blue Grosbeak",7,275
"Blue Grosbeak",7,276
"Blue Grosbeak",7,277
"Blue Grosbeak",7,278
"Blue Grosbeak",7,279
"Blue Grosbeak",7,280
"Blue Jay",8,281
"Blue Jay",8,282
"Blue Jay",8,283
"Blue Jay",8,284
"Blue Jay",8,285
"Blue Jay",8,286
"Blue Jay",8,287
"Blue Jay",8,288
"Blue Jay",8,289
"Blue Jay",8,290
"Blue Jay",8,291
"Blue Jay",8,292
"Blue Jay",8,293
"Blue Jay",8,294
"Blue Jay",8,295
"Blue Jay",8,296
"Blue Jay",8,297
"Blue Jay",8,298
"Blue Jay",8,299
"Blue Jay",8,300
"Blue Jay",8,301
"Blue Jay",8,302
"Blue Jay",8,303
"Blue Jay",8,304
"Blue Jay",8,305
"Blue Jay",8,306
"Blue Jay",8,307
"Blue Jay",8,308
"Blue Jay",8,309
"Blue Jay",8,310
"Blue Jay",8,311
"Blue Jay",8,312
"Blue Jay",8,313
"Blue Jay",8,314
"Blue Jay",8,315
"Blue Jay",8,316
"Blue Jay",8,317
"Blue Jay",8,318
"Blue Jay",8,319
"Blue Jay",8,320
"Blue Jay",8,321
"Blue Jay",8,322
"Blue Jay",8,323
"Blue Jay",8,324
"Blue Jay",8,325
"Blue Jay",8,326
"Blue Jay",8,327
"Blue Jay",8,328
"Blue Jay",8,329
"Blue Jay",8,330
"Blue Jay",8,331
"Blue Jay",8,332
"Blue Jay",8,333
"Blue Jay",8,334
"Blue Jay",8,335
"Blue Jay",8,336
"Blue-gray Gnatcatcher",9,337
"Blue-gray Gnatcatcher",9,338
"Blue-gray Gnatcatcher",9,339
"Blue-gray Gnatcatcher",9,340
"Blue-gray Gnatcatcher",9,341
"Blue-gray Gnatcatcher",9,342
"Blue-gray Gnatcatcher",9,343
"Blue-gray Gnatcatcher",9,344
"Blue-gray Gnatcatcher",9,345
"Blue-gray Gnatcatcher",9,346
"Blue-gray Gnatcatcher",9,347
"Blue-gray Gnatcatcher",9,348
"Blue-gray Gnatcatcher",9,349
"Blue-gray Gnatcatcher",9,350
"Blue-gray Gnatcatcher",9,351
"Blue-gray Gnatcatcher",9,352
"Blue-gray Gnatcatcher",9,353
"Blue-gray Gnatcatcher",9,354
"Blue-gray Gnatcatcher",9,355
"Blue-gray Gnatcatcher",9,356
"Blue-gray Gnatcatcher",9,357
"Blue-gray Gnatcatcher",9,358
"Blue-gray Gnatcatcher",9,359
"Blue-gray Gnatcatcher",9,360
"Blue-gray Gnatcatcher",9,361
"Blue-gray Gnatcatcher",9,362
"Blue-gray Gnatcatcher",9,363
"Blue-gray Gnatcatcher",9,364
"Blue-gray Gnatcatcher",9,365
"Blue-gray Gnatcatcher",9,366
"Blue-gray Gnatcatcher",9,367
"Blue-gray Gnatcatcher",9,368
"Blue-gray Gnatcatcher",9,369
"Blue-gray Gnatcatcher",9,370
"Blue-gray Gnatcatcher",9,371
"Blue-gray Gnatcatcher",9,372
"Blue-gray Gnatcatcher",9,373
