"prop_posterior_gt_0","common_name_standard","kappa"
0.8440625,1,"_landcover"
0.1490625,2,"_landcover"
0.1228125,3,"_landcover"
0.165,4,"_landcover"
0.10625,5,"_landcover"
0.78,6,"_landcover"
0.1725,7,"_landcover"
0.213125,8,"_landcover"
0.14125,9,"_landcover"
0.1446875,10,"_landcover"
0.116875,11,"_landcover"
0.2175,12,"_landcover"
0.1125,13,"_landcover"
0.1215625,14,"_landcover"
0.1615625,15,"_landcover"
0.1671875,16,"_landcover"
0.1728125,17,"_landcover"
0.1428125,18,"_landcover"
0.133125,19,"_landcover"
0.15125,20,"_landcover"
0.159375,21,"_landcover"
0.2021875,22,"_landcover"
0.23,23,"_landcover"
0.5046875,24,"_landcover"
0.675,25,"_landcover"
0.15125,26,"_landcover"
0.1675,27,"_landcover"
0.1978125,28,"_landcover"
0.188125,29,"_landcover"
0.174375,30,"_landcover"
0.1715625,31,"_landcover"
0.845,32,"_landcover"
0.10375,33,"_landcover"
0.1234375,34,"_landcover"
0.25,35,"_landcover"
0.096875,36,"_landcover"
0.2878125,37,"_landcover"
0.0978125,38,"_landcover"
0.15625,39,"_landcover"
0.120625,40,"_landcover"
0.81,41,"_landcover"
0.1096875,42,"_landcover"
0.1671875,43,"_landcover"
0.830625,44,"_landcover"
0.7853125,45,"_landcover"
0.7846875,46,"_landcover"
0.78875,47,"_landcover"
0.16625,48,"_landcover"
0.1403125,49,"_landcover"
0.70375,50,"_landcover"
0.1228125,51,"_landcover"
0.3109375,52,"_landcover"
0.836875,53,"_landcover"
0.2171875,54,"_landcover"
0.54125,55,"_landcover"
0.2175,56,"_landcover"
0.13375,57,"_landcover"
0.736875,58,"_landcover"
0.8153125,59,"_landcover"
0.386875,60,"_landcover"
0.1834375,61,"_landcover"
0.8153125,62,"_landcover"
0.8071875,63,"_landcover"
0.42625,NA,"_uai"
0.873125,NA,"_forest"
