"rownames","mean","se_mean","sd","conf_2.5","conf_25","conf_50","conf_75","conf_97.5","n_eff","Rhat","sp_id","spqrt_standard","slope","raw","flag_rhat","flag_neff"
"a",-0.0494728436928357,0.000191681510758966,0.0134864568917392,-0.0765527197266348,-0.0583433592187473,-0.0494375774230164,-0.0406000178962484,-0.0224399633432629,4950.34298091947,0.999068089686573,NA,NA,NA,NA,FALSE,FALSE
"sig_spqrt",0.205412243769829,0.00142017111441557,0.0325155179574872,0.137877909379072,0.184428280852382,0.207216094538569,0.227331723185818,0.265636038741273,524.20360450386,1.00894434815619,NA,NA,NA,NA,TRUE,TRUE
"gamma_b",-0.6562063433952,0.0118030444478781,0.918792533793431,-2.43071180273604,-1.25679733263487,-0.638225994159708,-0.0442192186967243,1.15411186036128,6059.64008253205,0.99917975205558,NA,NA,NA,NA,FALSE,FALSE
"sig_b",0.856737908023648,0.0102745648618265,0.63612347958974,0.0324927624439182,0.34181177665107,0.739271042756485,1.24362260453906,2.36103548960313,3833.15142053393,0.999116452550696,NA,NA,NA,NA,FALSE,FALSE
"kappa_uai",-0.153471577527172,0.0117471277178753,0.913957783384651,-1.94684039361653,-0.773379455107026,-0.157215913240764,0.471808456599873,1.65348683882719,6053.2538974357,0.999469947986311,NA,NA,NA,NA,FALSE,FALSE
"kappa_forest",0.856831071999809,0.0266532287394069,2.22925956098385,-3.52195202955168,-0.617295715253696,0.83580908266059,2.35655498014862,5.19294022533161,6995.54610156357,0.999194820316509,NA,NA,NA,NA,FALSE,FALSE
"c_obs",-0.000725646248897271,0.00043241032154636,0.0346399303836046,-0.0680587978575087,-0.024386536821141,-0.00134783345155986,0.0231915572927919,0.0678868582699251,6417.44148221765,0.999245733626888,NA,NA,NA,NA,FALSE,FALSE
"sigma",1.26975682771159,0.000216570848776539,0.00907016676988092,1.25215823909226,1.26349264545117,1.26974739410427,1.27588582110058,1.287296259005,1754.00387094473,0.999826540886992,NA,NA,NA,NA,FALSE,TRUE
"a_spqrt[1]",0.0303475667833598,0.00247115605512544,0.2010491808171,-0.365216038188627,-0.101081990967979,0.0272139537758024,0.16077796455384,0.433324950232663,6619.18121873248,0.998986549269559,NA,1,NA,NA,FALSE,FALSE
"a_spqrt[2]",0.00652627349027626,0.00294048355660114,0.197885975784113,-0.38879474511837,-0.12170997042644,0.00641315925855672,0.13411401847355,0.398814996804138,4528.89782958685,0.99903745182936,NA,2,NA,NA,FALSE,FALSE
"a_spqrt[3]",-0.00164529377477641,0.00235084553247168,0.200585795540188,-0.406355495283431,-0.130091868256098,-0.00108575780699282,0.128560294951859,0.39619885432824,7280.34840090335,0.999047050154003,NA,3,NA,NA,FALSE,FALSE
"a_spqrt[4]",0.0031054125620445,0.00236040283595924,0.203590572536238,-0.394755025821041,-0.134216681460115,0.00355355239342115,0.139825475275621,0.397495380288188,7439.48841591532,0.999268998289805,NA,4,NA,NA,FALSE,FALSE
"a_spqrt[5]",-0.0212877364265352,0.0024347823470614,0.179977120923635,-0.393846912822964,-0.136593553597859,-0.0147400847082873,0.0984699250755978,0.322284422180604,5464.04555746332,0.999226981849073,NA,5,NA,NA,FALSE,FALSE
"a_spqrt[6]",-0.0237359286420134,0.00190809474671455,0.17939648110826,-0.369497210360997,-0.142602398936899,-0.026796427237115,0.0945441095987701,0.332164963235411,8839.50545888304,0.998976928784237,NA,6,NA,NA,FALSE,FALSE
"a_spqrt[7]",0.0335798088346227,0.00216334033131918,0.185172175421553,-0.330978546165744,-0.091668452048281,0.0336345258339836,0.153599007998147,0.401802385809276,7326.58788662019,0.999360733510056,NA,7,NA,NA,FALSE,FALSE
"a_spqrt[8]",-0.00578992003439022,0.00249845420696259,0.18793517706512,-0.377087296828207,-0.127623091850309,-0.00517512548049521,0.119372136606025,0.364803917256716,5658.13580691082,0.999117304354754,NA,8,NA,NA,FALSE,FALSE
"a_spqrt[9]",-0.00274093078237856,0.00213140331376291,0.201836084415038,-0.391870570661864,-0.133954068704729,-0.00143202584298155,0.127691754453624,0.40001856010127,8967.39605746138,0.999063201340859,NA,9,NA,NA,FALSE,FALSE
"a_spqrt[10]",-0.0196919173282756,0.00234928213389142,0.199634086518303,-0.410069442879804,-0.150082576771728,-0.0173817565310175,0.113859400032112,0.364239965370076,7221.02821484253,0.99903528506638,NA,10,NA,NA,FALSE,FALSE
"a_spqrt[11]",0.0108482628328681,0.00230066032147098,0.189356846015412,-0.371813996606672,-0.11070006022627,0.0137689793053101,0.133702358376086,0.378208646614378,6774.18444948374,0.999036439088799,NA,11,NA,NA,FALSE,FALSE
"a_spqrt[12]",0.0476273097754779,0.00253437947044281,0.194017430734354,-0.318754227964367,-0.0814504375178707,0.0425138676101805,0.174429427450775,0.443171714848582,5860.54782595882,0.999698363212497,NA,12,NA,NA,FALSE,FALSE
"a_spqrt[13]",0.0233671086033861,0.00220118453134651,0.181990493612389,-0.339920966587329,-0.100444408096956,0.0239584951060297,0.143547932368771,0.388124002444295,6835.72372030534,0.999385666810982,NA,13,NA,NA,FALSE,FALSE
"a_spqrt[14]",0.0387180368026218,0.0024317771821909,0.194516001030011,-0.340706382053233,-0.0931150969302371,0.0359923755241248,0.168565535164189,0.425735313432723,6398.27801430038,0.999160745541348,NA,14,NA,NA,FALSE,FALSE
"a_spqrt[15]",-0.012256185220326,0.00248589017381265,0.180769291152498,-0.373324318884029,-0.130444885394689,-0.0164423207863985,0.10944679273509,0.354590678297141,5287.92680088348,0.99996991862645,NA,15,NA,NA,FALSE,FALSE
