"prop_posterior_gt_0","common_name_standard","kappa"
0.6009375,1,"_landcover"
0.2325,2,"_landcover"
0.2421875,3,"_landcover"
0.25375,4,"_landcover"
0.280625,5,"_landcover"
0.5465625,6,"_landcover"
0.34625,7,"_landcover"
0.2809375,8,"_landcover"
0.24875,9,"_landcover"
0.2509375,10,"_landcover"
0.2725,11,"_landcover"
0.2634375,12,"_landcover"
0.285625,13,"_landcover"
0.246875,14,"_landcover"
0.24,15,"_landcover"
0.274375,16,"_landcover"
0.224375,17,"_landcover"
0.24875,18,"_landcover"
0.2665625,19,"_landcover"
0.2684375,20,"_landcover"
0.2865625,21,"_landcover"
0.35,22,"_landcover"
0.279375,23,"_landcover"
0.3459375,24,"_landcover"
0.468125,25,"_landcover"
0.266875,26,"_landcover"
0.2853125,27,"_landcover"
0.256875,28,"_landcover"
0.3615625,29,"_landcover"
0.2709375,30,"_landcover"
0.2490625,31,"_landcover"
0.6084375,32,"_landcover"
0.2703125,33,"_landcover"
0.278125,34,"_landcover"
0.300625,35,"_landcover"
0.2271875,36,"_landcover"
0.4115625,37,"_landcover"
0.2528125,38,"_landcover"
0.2646875,39,"_landcover"
0.26125,40,"_landcover"
0.5675,41,"_landcover"
0.2734375,42,"_landcover"
0.3221875,43,"_landcover"
0.588125,44,"_landcover"
0.5484375,45,"_landcover"
0.539375,46,"_landcover"
0.564375,47,"_landcover"
0.3340625,48,"_landcover"
0.253125,49,"_landcover"
0.5028125,50,"_landcover"
0.25875,51,"_landcover"
0.2903125,52,"_landcover"
0.5984375,53,"_landcover"
0.27375,54,"_landcover"
0.4471875,55,"_landcover"
0.2496875,56,"_landcover"
0.2846875,57,"_landcover"
0.498125,58,"_landcover"
0.5771875,59,"_landcover"
0.395,60,"_landcover"
0.325625,61,"_landcover"
0.5909375,62,"_landcover"
0.5784375,63,"_landcover"
0.4334375,NA,"_uai"
0.6428125,NA,"_forest"
