"prop_posterior_gt_0","common_name_standard","kappa"
0.048125,1,"_landcover"
0.79875,2,"_landcover"
0.8071875,3,"_landcover"
0.870625,4,"_landcover"
0.7978125,5,"_landcover"
0.2178125,6,"_landcover"
0.385,7,"_landcover"
0.60125,8,"_landcover"
0.5709375,9,"_landcover"
0.870625,10,"_landcover"
0.8240625,11,"_landcover"
0.76,12,"_landcover"
0.8259375,13,"_landcover"
0.7490625,14,"_landcover"
0.8440625,15,"_landcover"
0.5478125,16,"_landcover"
0.88625,17,"_landcover"
0.633125,18,"_landcover"
0.8078125,19,"_landcover"
0.649375,20,"_landcover"
0.4784375,21,"_landcover"
0.31375,22,"_landcover"
0.69875,23,"_landcover"
0.6221875,24,"_landcover"
0.1384375,25,"_landcover"
0.893125,26,"_landcover"
0.4590625,27,"_landcover"
0.75,28,"_landcover"
0.333125,29,"_landcover"
0.893125,30,"_landcover"
0.7678125,31,"_landcover"
0.0465625,32,"_landcover"
0.889375,33,"_landcover"
0.953125,34,"_landcover"
0.3659375,35,"_landcover"
0.936875,36,"_landcover"
0.175,37,"_landcover"
0.920625,38,"_landcover"
0.719375,39,"_landcover"
0.8615625,40,"_landcover"
0.149375,41,"_landcover"
0.864375,42,"_landcover"
0.425,43,"_landcover"
0.093125,44,"_landcover"
0.0690625,45,"_landcover"
0.1615625,46,"_landcover"
0.025625,47,"_landcover"
0.4215625,48,"_landcover"
0.7271875,49,"_landcover"
0.2221875,50,"_landcover"
0.8596875,51,"_landcover"
0.5503125,52,"_landcover"
0.130625,53,"_landcover"
0.7925,54,"_landcover"
0.080625,55,"_landcover"
0.7125,56,"_landcover"
0.6846875,57,"_landcover"
0.0859375,58,"_landcover"
0.0875,59,"_landcover"
0.2240625,60,"_landcover"
0.3109375,61,"_landcover"
0.030625,62,"_landcover"
0.038125,63,"_landcover"
0.93125,NA,"_uai"
0.061875,NA,"_forest"
