"genus","species","english_common_name","aou","binomial","shannonE_diet"
"Acanthis","flammea","Common Redpoll",5280,"Acanthis flammea",0.472903250637018
"Acanthis","hornemanni","Hoary Redpoll",5270,"Acanthis hornemanni",0.292285253238629
"Acridotheres","tristis","Common Myna",4932,"Acridotheres tristis",0.759176003468815
"Aeronautes","saxatalis","White-throated Swift",4250,"Aeronautes saxatalis",0
"Agelaius","phoeniceus","Red-winged Blackbird",4980,"Agelaius phoeniceus",0.301029995663981
"Agelaius","tricolor","Tricolored Blackbird",5000,"Agelaius tricolor",0.265294995574121
"Aimophila","ruficeps","Rufous-crowned Sparrow",5800,"Aimophila ruficeps",0.301029995663981
"Alauda","arvensis","Eurasian Skylark",4730,"Alauda arvensis",0.458146007804834
"Alectoris","chukar","Chukar",2882,"Alectoris chukar",0.348225372857224
"Amazilia","violiceps","Violet-crowned Hummingbird",4391,"Amazilia violiceps",0.141181741504608
"Amazilia","yucatanensis","Buff-bellied Hummingbird",4390,"Amazilia yucatanensis",0.141181741504608
"Amazona","viridigenalis","Red-crowned Parrot",3826,"Amazona viridigenalis",0.472903250637018
"Ammodramus","bairdii","Baird's Sparrow",5450,"Ammodramus bairdii",0.301029995663981
"Ammodramus","caudacutus","Saltmarsh Sparrow",5490,"Ammodramus caudacutus",0.217322011273649
"Ammodramus","henslowii","Henslow's Sparrow",5470,"Ammodramus henslowii",0.265294995574121
"Ammodramus","leconteii","Le Conte's Sparrow",5480,"Ammodramus leconteii",0.217322011273649
"Ammodramus","maritimus","Seaside Sparrow",5500,"Ammodramus maritimus",0
"Ammodramus","nelsoni","Nelson's Sparrow",5491,"Ammodramus nelsoni",0.301029995663981
"Ammodramus","savannarum","Grasshopper Sparrow",5460,"Ammodramus savannarum",0.292285253238629
"Amphispiza","belli","Sage Sparrow",5740,"Amphispiza belli",0.292285253238629
"Amphispiza","bilineata","Black-throated Sparrow",5730,"Amphispiza bilineata",0.301029995663981
"Anthus","cervinus","Red-throated Pipit",6990,"Anthus cervinus",0.141181741504608
"Anthus","rubescens","American Pipit",6970,"Anthus rubescens",0.277528010406445
"Anthus","spragueii","Sprague's Pipit",7000,"Anthus spragueii",0.217322011273649
"Aphelocoma","californica","California Scrub-Jay",4812,"Aphelocoma californica",0.759176003468815
"Aphelocoma","californica","Western Scrub-Jay",4810,"Aphelocoma californica",0.759176003468815
"Aphelocoma","coerulescens","Florida Scrub-Jay",4790,"Aphelocoma coerulescens",0.759176003468815
"Aphelocoma","insularis","Island Scrub-Jay",4811,"Aphelocoma insularis",0.590308998699194
"Aphelocoma","wollweberi","Mexican Jay",4820,"Aphelocoma wollweberi",0.819382002601611
"Aratinga","nenday","Nanday Parakeet",51830,"Aratinga nenday",0.472903250637018
"Archilochus","alexandri","Black-chinned Hummingbird",4290,"Archilochus alexandri",0.141181741504608
"Archilochus","colubris","Ruby-throated Hummingbird",4280,"Archilochus colubris",0.292285253238629
"Arremonops","rufivirgatus","Olive Sparrow",5860,"Arremonops rufivirgatus",0.458146007804834
"Auriparus","flaviceps","Verdin",7460,"Auriparus flaviceps",0.40843137199002
"Baeolophus","atricristatus","Black-crested Titmouse",7320,"Baeolophus atricristatus",0.412697251504221
"Baeolophus","bicolor","Tufted Titmouse",7310,"Baeolophus bicolor",0.292285253238629
"Baeolophus","inornatus","Oak Titmouse",7330,"Baeolophus inornatus",0.472903250637018
"Baeolophus","ridgwayi","Juniper Titmouse",7331,"Baeolophus ridgwayi",0.472903250637018
"Baeolophus","wollweberi","Bridled Titmouse",7340,"Baeolophus wollweberi",0
"Bombycilla","cedrorum","Cedar Waxwing",6190,"Bombycilla cedrorum",0.348225372857224
"Bombycilla","garrulus","Bohemian Waxwing",6180,"Bombycilla garrulus",0.447172622283296
"Bonasa","umbellus","Ruffed Grouse",3000,"Bonasa umbellus",0.348225372857224
"Brotogeris","chiriri","Yellow-chevroned Parakeet",52021,"Brotogeris chiriri",0.530102999566398
"Calamospiza","melanocorys","Lark Bunting",6050,"Calamospiza melanocorys",0.389972873353915
"Calcarius","lapponicus","Lapland Longspur",5360,"Calcarius lapponicus",0.301029995663981
"Calcarius","ornatus","Chestnut-collared Longspur",5380,"Calcarius ornatus",0.292285253238629
"Calcarius","pictus","Smith's Longspur",5370,"Calcarius pictus",0.301029995663981
"Callipepla","californica","California Quail",2940,"Callipepla californica",0.301029995663981
"Callipepla","gambelii","Gambel's Quail",2950,"Callipepla gambelii",0.409691001300806
"Callipepla","squamata","Scaled Quail",2930,"Callipepla squamata",0.472903250637018
"Calothorax","lucifer","Lucifer Hummingbird",4370,"Calothorax lucifer",0.141181741504608
"Calypte","anna","Anna's Hummingbird",4310,"Calypte anna",0.141181741504608
"Calypte","costae","Costa's Hummingbird",4300,"Calypte costae",0.141181741504608
"Camptostoma","imberbe","Northern Beardless-Tyrannulet",4720,"Camptostoma imberbe",0.265294995574121
"Campylorhynchus","brunneicapillus","Cactus Wren",7130,"Campylorhynchus brunneicapillus",0.348225372857224
"Cardellina","canadensis","Canada Warbler",6860,"Cardellina canadensis",0.141181741504608
"Cardellina","pusilla","Wilson's Warbler",6850,"Cardellina pusilla",0.277528010406445
"Cardellina","rubrifrons","Red-faced Warbler",6900,"Cardellina rubrifrons",0
"Cardinalis","cardinalis","Northern Cardinal",5930,"Cardinalis cardinalis",0.348225372857224
"Cardinalis","sinuatus","Pyrrhuloxia",5940,"Cardinalis sinuatus",0.265294995574121
"Catharus","bicknelli","Bicknell's Thrush",7571,"Catharus bicknelli",0.141181741504608
"Catharus","fuscescens","Veery",7560,"Catharus fuscescens",0.409691001300806
"Catharus","guttatus","Hermit Thrush",7590,"Catharus guttatus",0.217322011273649
"Catharus","minimus","Gray-cheeked Thrush",7570,"Catharus minimus",0.217322011273649
"Catharus","ustulatus","Swainson's Thrush",7580,"Catharus ustulatus",0.292285253238629
"Catherpes","mexicanus","Canyon Wren",7170,"Catherpes mexicanus",0
"Centrocercus","minimus","Gunnison Sage-Grouse",3089,"Centrocercus minimus",0.141181741504608
"Centrocercus","urophasianus","Greater Sage-Grouse",3090,"Centrocercus urophasianus",0.141181741504608
"Certhia","americana","Brown Creeper",7260,"Certhia americana",0.348225372857224
"Chaetura","pelagica","Chimney Swift",4230,"Chaetura pelagica",0
"Chaetura","vauxi","Vaux's Swift",4240,"Chaetura vauxi",0
"Chamaea","fasciata","Wrentit",7420,"Chamaea fasciata",0.447172622283296
"Chondestes","grammacus","Lark Sparrow",5520,"Chondestes grammacus",0.265294995574121
"Cistothorus","palustris","Marsh Wren",7250,"Cistothorus palustris",0
"Cistothorus","platensis","Sedge Wren",7240,"Cistothorus platensis",0
"Coccothraustes","vespertinus","Evening Grosbeak",5140,"Coccothraustes vespertinus",0.55583362792012
"Coccyzus","americanus","Yellow-billed Cuckoo",3870,"Coccyzus americanus",0.472903250637018
"Coccyzus","erythropthalmus","Black-billed Cuckoo",3880,"Coccyzus erythropthalmus",0.533109249769814
"Coccyzus","minor","Mangrove Cuckoo",3860,"Coccyzus minor",0.348225372857224
"Colaptes","auratus","Northern Flicker",4120,"Colaptes auratus",0.348225372857224
"Colaptes","chrysoides","Gilded Flicker",4140,"Colaptes chrysoides",0.412697251504221
"Colinus","virginianus","Northern Bobwhite",2890,"Colinus virginianus",0.265294995574121
"Columba","livia","Rock Pigeon",3131,"Columba livia",0.389972873353915
"Columbina","inca","Inca Dove",3210,"Columbina inca",0.217322011273649
"Columbina","passerina","Common Ground-Dove",3200,"Columbina passerina",0.409691001300806
"Columbina","talpacoti","Ruddy Ground-Dove",3201,"Columbina talpacoti",0.141181741504608
"Contopus","cooperi","Olive-sided Flycatcher",4590,"Contopus cooperi",0
"Contopus","pertinax","Greater Pewee",4600,"Contopus pertinax",0.141181741504608
"Contopus","sordidulus","Western Wood-Pewee",4620,"Contopus sordidulus",0.141181741504608
"Contopus","virens","Eastern Wood-Pewee",4610,"Contopus virens",0.141181741504608
"Corvus","brachyrhynchos","American Crow",4880,"Corvus brachyrhynchos",0.819382002601611
"Corvus","caurinus","Northwestern Crow",4890,"Corvus caurinus",0.653521248035406
"Corvus","corax","Common Raven",4860,"Corvus corax",0.879588001734407
"Corvus","cryptoleucus","Chihuahuan Raven",4870,"Corvus cryptoleucus",0.796657624451305
"Corvus","ossifragus","Fish Crow",4900,"Corvus ossifragus",0.676245626185712
"Crotophaga","ani","Smooth-billed Ani",3830,"Crotophaga ani",0.638764005203223
"Crotophaga","sulcirostris","Groove-billed Ani",3840,"Crotophaga sulcirostris",0.472903250637018
"Cyanocitta","cristata","Blue Jay",4770,"Cyanocitta cristata",0.638764005203223
"Cyanocitta","stelleri","Steller's Jay",4780,"Cyanocitta stelleri",0.698970004336019
"Cyanocorax","yncas","Green Jay",4830,"Cyanocorax yncas",0.51835200693763
"Cynanthus","latirostris","Broad-billed Hummingbird",4410,"Cynanthus latirostris",0.141181741504608
"Cypseloides","niger","Black Swift",4220,"Cypseloides niger",0
"Cyrtonyx","montezumae","Montezuma Quail",2960,"Cyrtonyx montezumae",0.51835200693763
"Dendragapus","fuliginosus","Sooty Grouse",2971,"Dendragapus fuliginosus",0.217322011273649
"Dendragapus","obscurus","Dusky Grouse",2970,"Dendragapus obscurus",0.217322011273649
"Dolichonyx","oryzivorus","Bobolink",4940,"Dolichonyx oryzivorus",0.389972873353915
"Dryocopus","pileatus","Pileated Woodpecker",4050,"Dryocopus pileatus",0.348225372857224
"Dumetella","carolinensis","Gray Catbird",7040,"Dumetella carolinensis",0.292285253238629
"Empidonax","alnorum","Alder Flycatcher",4661,"Empidonax alnorum",0.217322011273649
"Empidonax","difficilis","Pacific-slope Flycatcher",4641,"Empidonax difficilis",0.141181741504608
"Empidonax","flaviventris","Yellow-bellied Flycatcher",4630,"Empidonax flaviventris",0.141181741504608
"Empidonax","fulvifrons","Buff-breasted Flycatcher",4700,"Empidonax fulvifrons",0
"Empidonax","hammondii","Hammond's Flycatcher",4680,"Empidonax hammondii",0
"Empidonax","minimus","Least Flycatcher",4670,"Empidonax minimus",0.141181741504608
"Empidonax","oberholseri","Dusky Flycatcher",4690,"Empidonax oberholseri",0
"Empidonax","occidentalis","Cordilleran Flycatcher",4640,"Empidonax occidentalis",0.141181741504608
"Empidonax","traillii","Willow Flycatcher",4660,"Empidonax traillii",0.141181741504608
"Empidonax","virescens","Acadian Flycatcher",4650,"Empidonax virescens",0.217322011273649
"Empidonax","wrightii","Gray Flycatcher",4691,"Empidonax wrightii",0.141181741504608
"Eremophila","alpestris","Horned Lark",4740,"Eremophila alpestris",0.301029995663981
"Eugenes","fulgens","Magnificent Hummingbird",4260,"Eugenes fulgens",0.141181741504608
"Euphagus","carolinus","Rusty Blackbird",5090,"Euphagus carolinus",0
"Euphagus","cyanocephalus","Brewer's Blackbird",5100,"Euphagus cyanocephalus",0
"Euplectes","franciscanus","Northern Red Bishop",19500,"Euplectes franciscanus",0.217322011273649
"Falcipennis","canadensis","Spruce Grouse",2980,"Falcipennis canadensis",0.141181741504608
"Geococcyx","californianus","Greater Roadrunner",3850,"Geococcyx californianus",0.653521248035406
"Geothlypis","formosa","Kentucky Warbler",6770,"Geothlypis formosa",0.277528010406445
"Geothlypis","philadelphia","Mourning Warbler",6790,"Geothlypis philadelphia",0.141181741504608
"Geothlypis","tolmiei","MacGillivray's Warbler",6800,"Geothlypis tolmiei",0
"Geothlypis","trichas","Common Yellowthroat",6810,"Geothlypis trichas",0
"Gymnorhinus","cyanocephalus","Pinyon Jay",4920,"Gymnorhinus cyanocephalus",0.472903250637018
"Haemorhous","cassinii","Cassin's Finch",5180,"Haemorhous cassinii",0.458146007804834
"Haemorhous","mexicanus","House Finch",5190,"Haemorhous mexicanus",0.570590870752304
"Haemorhous","purpureus","Purple Finch",5170,"Haemorhous purpureus",0.638764005203223
"Helmitheros","vermivorum","Worm-eating Warbler",6390,"Helmitheros vermivorum",0
"Hirundo","rustica","Barn Swallow",6130,"Hirundo rustica",0.277528010406445
"Hylocichla","mustelina","Wood Thrush",7550,"Hylocichla mustelina",0.292285253238629
"Icteria","virens","Yellow-breasted Chat",6830,"Icteria virens",0.217322011273649
"Icterus","bullockii","Bullock's Oriole",5080,"Icterus bullockii",0.389972873353915
"Icterus","cucullatus","Hooded Oriole",5050,"Icterus cucullatus",0.55583362792012
"Icterus","galbula","Baltimore Oriole",5070,"Icterus galbula",0.412697251504221
