file,spp_name,file_binomial,english_common_name,species_id,aou,french_common_name,spanish_common_name,sporder,family,genus,species,binomial,old_genus,new_binomial,matched_filename,climate_vol_2.1
Icterus_spurius_22724134.shp,Icterus_spurius,Icterus spurius,Orchard Oriole,1486,5060,Oriole des vergers,Icterus spurius,Passeriformes,Icteridae,Icterus,spurius,Icterus spurius,NA,NA,Icterus_spurius,0.20757477
Melanerpes_carolinus_22680856.shp,Melanerpes_carolinus,Melanerpes carolinus,Red-bellied Woodpecker,734,4090,Pic à ventre roux,Melanerpes carolinus,Piciformes,Picidae,Melanerpes,carolinus,Melanerpes carolinus,NA,NA,Melanerpes_carolinus,0.111901489
Mimus_polyglottos_22711026.shp,Mimus_polyglottos,Mimus polyglottos,Northern Mockingbird,1180,7030,Moqueur polyglotte,Mimus polyglottos,Passeriformes,Mimidae,Mimus,polyglottos,Mimus polyglottos,NA,NA,Mimus_polyglottos,0.759214799
Molothrus_ater_22724354.shp,Molothrus_ater,Molothrus ater,Brown-headed Cowbird,1480,4950,Vacher à tête brune,Molothrus ater,Passeriformes,Icteridae,Molothrus,ater,Molothrus ater,NA,NA,Molothrus_ater,0.752951182
Myiarchus_crinitus_22700433.shp,Myiarchus_crinitus,Myiarchus crinitus,Great Crested Flycatcher,900,4520,Tyran huppé,Myiarchus crinitus,Passeriformes,Tyrannidae,Myiarchus,crinitus,Myiarchus crinitus,NA,NA,Myiarchus_crinitus,0.241334648
Parula_americana_22721639.shp,Parula_americana,Parula americana,Northern Parula,1284,6480,Paruline à collier,Setophaga americana,Passeriformes,Parulidae,Setophaga,americana,Setophaga americana,Parula,Parula americana,Parula_americana,0.24858087
Parus_carolinensis_22711708.shp,Parus_carolinensis,Parus carolinensis,Carolina Chickadee,1030,7360,Mésange de Caroline,Poecile carolinensis,Passeriformes,Paridae,Poecile,carolinensis,Poecile carolinensis,Parus,Parus carolinensis,Parus_carolinensis,0.090220429
Passer_domesticus_22718174.shp,Passer_domesticus,Passer domesticus,House Sparrow,1195,6882,Moineau domestique,Passer domesticus,Passeriformes,Passeridae,Passer,domesticus,Passer domesticus,NA,NA,Passer_domesticus,0.918889016
Passerina_caerulea_22723939.shp,Passerina_caerulea,Passerina caerulea,Blue Grosbeak,1454,5970,Guiraca bleu,Passerina caerulea,Passeriformes,Cardinalidae,Passerina,caerulea,Passerina caerulea,NA,NA,Passerina_caerulea,0.533930232
Passerina_cyanea_22723951.shp,Passerina_cyanea,Passerina cyanea,Indigo Bunting,1456,5980,Passerin indigo,Passerina cyanea,Passeriformes,Cardinalidae,Passerina,cyanea,Passerina cyanea,NA,NA,Passerina_cyanea,0.414397966
Pipilo_erythrophthalmus_22721310.shp,Pipilo_erythrophthalmus,Pipilo erythrophthalmus,Eastern Towhee,1359,5870,Tohi à flancs roux,Pipilo erythrophthalmus,Passeriformes,Emberizidae,Pipilo,erythrophthalmus,Pipilo erythrophthalmus,NA,NA,Pipilo_erythrophthalmus,NA
Piranga_olivacea_22722466.shp,Piranga_olivacea,Piranga olivacea,Scarlet Tanager,1434,6080,Piranga écarlate,Piranga olivacea,Passeriformes,Cardinalidae,Piranga,olivacea,Piranga olivacea,NA,NA,Piranga_olivacea,0.089889498
Piranga_rubra_22722456.shp,Piranga_rubra,Piranga rubra,Summer Tanager,1433,6100,Piranga vermillon,Piranga rubra,Passeriformes,Cardinalidae,Piranga,rubra,Piranga rubra,NA,NA,Piranga_rubra,0.291976845
Polioptila_caerulea_22711581.shp,Polioptila_caerulea,Polioptila caerulea,Blue-gray Gnatcatcher,1089,7510,Gobemoucheron gris-bleu,Polioptila caerulea,Passeriformes,Polioptilidae,Polioptila,caerulea,Polioptila caerulea,NA,NA,Polioptila_caerulea,0.638231311
Quiscalus_quiscula_22724320.shp,Quiscalus_quiscula,Quiscalus quiscula,Common Grackle,1474,5110,Quiscale bronzé,Quiscalus quiscula,Passeriformes,Icteridae,Quiscalus,quiscula,Quiscalus quiscula,NA,NA,Quiscalus_quiscula,0.395474948
Sayornis_phoebe_22699886.shp,Sayornis_phoebe,Sayornis phoebe,Eastern Phoebe,891,4560,Moucherolle phébi,Sayornis phoebe,Passeriformes,Tyrannidae,Sayornis,phoebe,Sayornis phoebe,NA,NA,Sayornis_phoebe,0.249017737
Seiurus_aurocapilla_22721779.shp,Seiurus_aurocapilla,Seiurus aurocapilla,Ovenbird,1251,6740,Paruline couronnée,Seiurus aurocapilla,Passeriformes,Parulidae,Seiurus,aurocapilla,Seiurus aurocapilla,NA,NA,Seiurus_aurocapilla,0.218092368
Sialia_sialis_22708550.shp,Sialia_sialis,Sialia sialis,Eastern Bluebird,1129,7660,Merlebleu de l'Est,Sialia sialis,Passeriformes,Turdidae,Sialia,sialis,Sialia sialis,NA,NA,Sialia_sialis,0.351228442
Sitta_carolinensis_22711202.shp,Sitta_carolinensis,Sitta carolinensis,White-breasted Nuthatch,1051,7270,Sittelle à poitrine blanche,Sitta carolinensis,Passeriformes,Sittidae,Sitta,carolinensis,Sitta carolinensis,NA,NA,Sitta_carolinensis,0.706987519
Spizella_passerina_22721162.shp,Spizella_passerina,Spizella passerina,Chipping Sparrow,1381,5600,Bruant familier,Spizella passerina,Passeriformes,Emberizidae,Spizella,passerina,Spizella passerina,NA,NA,Spizella_passerina,0.836785824
Spizella_pusilla_22721179.shp,Spizella_pusilla,Spizella pusilla,Field Sparrow,1384,5630,Bruant des champs,Spizella pusilla,Passeriformes,Emberizidae,Spizella,pusilla,Spizella pusilla,NA,NA,Spizella_pusilla,0.164344719
Sturnella_magna_22735434.shp,Sturnella_magna,Sturnella magna,Eastern Meadowlark,1467,5010,Sturnelle des prés,Sturnella magna,Passeriformes,Icteridae,Sturnella,magna,Sturnella magna,NA,NA,Sturnella_magna,0.42095809
Sturnus_vulgaris_22710886.shp,Sturnus_vulgaris,Sturnus vulgaris,European Starling,1181,4930,Étourneau sansonnet,Sturnus vulgaris,Passeriformes,Sturnidae,Sturnus,vulgaris,Sturnus vulgaris,NA,NA,Sturnus_vulgaris,NA
Thryothorus_ludovicianus_22711450.shp,Thryothorus_ludovicianus,Thryothorus ludovicianus,Carolina Wren,1069,7180,Troglodyte de Caroline,Thryothorus ludovicianus,Passeriformes,Troglodytidae,Thryothorus,ludovicianus,Thryothorus ludovicianus,NA,NA,Thryothorus_ludovicianus,NA
Toxostoma_rufum_22711099.shp,Toxostoma_rufum,Toxostoma rufum,Brown Thrasher,1168,7050,Moqueur roux,Toxostoma rufum,Passeriformes,Mimidae,Toxostoma,rufum,Toxostoma rufum,NA,NA,Toxostoma_rufum,NA
Turdus_migratorius_22708958.shp,Turdus_migratorius,Turdus migratorius,American Robin,1158,7610,Merle d'Amérique,Turdus migratorius,Passeriformes,Turdidae,Turdus,migratorius,Turdus migratorius,NA,NA,Turdus_migratorius,NA
Tyrannus_tyrannus_22700506.shp,Tyrannus_tyrannus,Tyrannus tyrannus,Eastern Kingbird,918,4440,Tyran tritri,Tyrannus tyrannus,Passeriformes,Tyrannidae,Tyrannus,tyrannus,Tyrannus tyrannus,NA,NA,Tyrannus_tyrannus,NA
Vireo_flavifrons_22705237.shp,Vireo_flavifrons,Vireo flavifrons,Yellow-throated Vireo,957,6280,Viréo à gorge jaune,Vireo flavifrons,Passeriformes,Vireonidae,Vireo,flavifrons,Vireo flavifrons,NA,NA,Vireo_flavifrons,NA
Vireo_griseus_22705188.shp,Vireo_griseus,Vireo griseus,White-eyed Vireo,949,6310,Viréo aux yeux blancs,Vireo griseus,Passeriformes,Vireonidae,Vireo,griseus,Vireo griseus,NA,NA,Vireo_griseus,NA
Vireo_olivaceus_22705243.shp,Vireo_olivaceus,Vireo olivaceus,Red-eyed Vireo,966,6240,Viréo aux yeux rouges,Vireo olivaceus,Passeriformes,Vireonidae,Vireo,olivaceus,Vireo olivaceus,NA,NA,Vireo_olivaceus,NA
Wilsonia_citrina_22721876.shp,Wilsonia_citrina,Wilsonia citrina,Hooded Warbler,1279,6840,Paruline à capuchon,Setophaga citrina,Passeriformes,Parulidae,Setophaga,citrina,Setophaga citrina,Wilsonia,Wilsonia citrina,Wilsonia_citrina,NA
Zenaida_macroura_22690736.shp,Zenaida_macroura,Zenaida macroura,Mourning Dove,158,3160,Tourterelle triste,Zenaida macroura,Columbiformes,Columbidae,Zenaida,macroura,Zenaida macroura,NA,NA,Zenaida_macroura,NA
