"common_name","sp_id","sample_size","pch_scale"
"Acadian Flycatcher",1,48,4.37120101090789
"American Crow",2,118,5.27068462446567
"American Goldfinch",3,81,4.89444915467244
"American Robin",4,75,4.81748811353631
"Barn Swallow",5,41,4.21357206670431
"Black-and-white Warbler",6,10,2.80258509299405
"Blue Grosbeak",7,84,4.93081679884331
"Blue Jay",8,89,4.98863636973214
"Blue-gray Gnatcatcher",9,110,5.20048036579242
"Brown Thrasher",10,65,4.67438726989564
"Brown-headed Cowbird",11,73,4.79045944114839
"Brown-headed Nuthatch",12,44,4.28418963391826
"Carolina Chickadee",13,103,5.13472898822964
"Carolina Wren",14,120,5.28749174278205
"Chimney Swift",15,69,4.73410650459726
"Chipping Sparrow",16,116,5.25359019110636
"Common Grackle",17,63,4.64313472639153
"Common Yellowthroat",18,50,4.41202300542815
"Downy Woodpecker",19,70,4.74849524204936
"Eastern Bluebird",20,104,5.14439089914137
"Eastern Kingbird",21,31,3.93398720448515
"Eastern Meadowlark",22,45,4.30666248977032
"Eastern Phoebe",23,62,4.62713438504509
"Eastern Towhee",24,89,4.98863636973214
"Eastern Wood-Pewee",25,90,4.99980967033027
"European Starling",26,37,4.11091791264422
"Field Sparrow",27,23,3.63549421592915
"Fish Crow",28,42,4.23766961828337
"Grasshopper Sparrow",29,13,3.06494935746154
"Gray Catbird",30,18,3.39037175789616
"Great Crested Flycatcher",31,80,4.88202663467388
"Hooded Warbler",32,33,3.99650756146648
"House Finch",33,55,4.50733318523247
"House Sparrow",34,8,2.57944154167984
"Indigo Bunting",35,106,5.16343909411207
"Mourning Dove",36,115,5.24493212836325
"Northern Bobwhite",37,19,3.44443897916644
"Northern Cardinal",38,120,5.28749174278205
"Northern Flicker",39,14,3.13905732961526
"Northern Mockingbird",40,99,5.09511985013459
"Northern Parula",41,40,4.18887945411394
"Northern Rough-winged Swallow",42,9,2.69722457733622
"Orchard Oriole",43,20,3.49573227355399
"Ovenbird",44,80,4.88202663467388
"Pileated Woodpecker",45,23,3.63549421592915
"Pine Warbler",46,105,5.15396035015752
"Prairie Warbler",47,28,3.8322045101752
"Purple Martin",48,9,2.69722457733622
"Red-bellied Woodpecker",49,107,5.17282883446191
"Red-eyed Vireo",50,112,5.21849887129509
"Red-winged Blackbird",51,25,3.7188758248682
"Ruby-throated Hummingbird",52,12,2.984906649788
"Scarlet Tanager",53,33,3.99650756146648
"Song Sparrow",54,10,2.80258509299405
"Summer Tanager",55,87,4.96590811865458
"Tufted Titmouse",56,119,5.27912349311153
"White-breasted Nuthatch",57,60,4.5943445622221
"White-eyed Vireo",58,61,4.61087386417331
"Wood Thrush",59,93,5.03259949315326
"Yellow-billed Cuckoo",60,55,4.50733318523247
"Yellow-breasted Chat",61,47,4.35014760171006
"Yellow-throated Vireo",62,35,4.05534806148941
"Yellow-throated Warbler",63,37,4.11091791264422
