"common_name","sp_id"
"Acadian Flycatcher",1
"American Crow",2
"American Goldfinch",3
"American Robin",4
"Barn Swallow",5
"Black-and-white Warbler",6
"Blue Grosbeak",7
"Blue Jay",8
"Blue-gray Gnatcatcher",9
"Brown Thrasher",10
"Brown-headed Cowbird",11
"Brown-headed Nuthatch",12
"Carolina Chickadee",13
"Carolina Wren",14
"Chimney Swift",15
"Chipping Sparrow",16
"Common Grackle",17
"Common Yellowthroat",18
"Downy Woodpecker",19
"Eastern Bluebird",20
"Eastern Kingbird",21
"Eastern Meadowlark",22
"Eastern Phoebe",23
"Eastern Towhee",24
"Eastern Wood-Pewee",25
"European Starling",26
"Field Sparrow",27
"Fish Crow",28
"Grasshopper Sparrow",29
"Gray Catbird",30
"Great Crested Flycatcher",31
"Hooded Warbler",32
"House Finch",33
"House Sparrow",34
"Indigo Bunting",35
"Mourning Dove",36
"Northern Bobwhite",37
"Northern Cardinal",38
"Northern Flicker",39
"Northern Mockingbird",40
"Northern Parula",41
"Northern Rough-winged Swallow",42
"Orchard Oriole",43
"Ovenbird",44
"Pileated Woodpecker",45
"Pine Warbler",46
"Prairie Warbler",47
"Purple Martin",48
"Red-bellied Woodpecker",49
"Red-eyed Vireo",50
"Red-winged Blackbird",51
"Ruby-throated Hummingbird",52
"Scarlet Tanager",53
"Song Sparrow",54
"Summer Tanager",55
"Tufted Titmouse",56
"White-breasted Nuthatch",57
"White-eyed Vireo",58
"Wood Thrush",59
"Yellow-billed Cuckoo",60
"Yellow-breasted Chat",61
"Yellow-throated Vireo",62
"Yellow-throated Warbler",63
