"rownames","mean","se_mean","sd","conf_2.5","conf_25","conf_50","conf_75","conf_97.5","n_eff","Rhat","sp_id","spqrt_standard","slope","raw","flag_rhat","flag_neff"
"a",-0.452680791732567,0.00729103218559109,0.280447492961348,-1.01526328271616,-0.644798846870121,-0.457704292443493,-0.257418162748857,0.100255278423815,1479.53448875872,0.999940756421431,NA,NA,NA,NA,FALSE,TRUE
"sig_sp",0.615013555112775,0.00478957886458714,0.144896627326106,0.338331870746754,0.518532385183901,0.612988399956395,0.715733790603895,0.902315480461113,915.212401086937,1.00571642140072,NA,NA,NA,NA,TRUE,TRUE
"b_landcover_change[1]",0.733051863793913,0.187176656584924,3.17950947169332,-5.54373652323014,-1.36276669899512,0.806885197121893,2.84709550729177,6.88725175325467,288.547207181272,1.00318681689789,1,NA,"landcover, forest_positive",NA,FALSE,TRUE
"b_landcover_change[2]",0.16168005501635,0.0863454313766427,1.20500809753201,-2.34578611874062,-0.593955546899856,0.234897277108996,0.964291609514827,2.44944884866865,194.760644734117,1.01771612768413,2,NA,"landcover, forest_positive",NA,TRUE,TRUE
"b_landcover_change[3]",0.262059169180373,0.0812102053997049,1.18853830075419,-2.04798734248875,-0.529008929024407,0.2993536192828,1.05087893698102,2.47794723776784,214.192936601749,1.01545771873321,3,NA,"landcover, forest_positive",NA,TRUE,TRUE
"b_landcover_change[4]",0.44586421489183,0.113760567700366,1.63743461306821,-2.85124854042829,-0.634790045851601,0.446377035363408,1.60628480892083,3.59721346278851,207.178379473481,1.0207759570984,4,NA,"landcover, forest_positive",NA,TRUE,TRUE
"b_landcover_change[5]",0.0704873393092832,0.0920788705272351,1.38423366859231,-2.73201906882908,-0.826188543756704,0.0864630507859226,1.00998658650603,2.75351027409672,225.995009908028,1.01484760249755,5,NA,"landcover, forest_positive",NA,TRUE,TRUE
"b_landcover_change[6]",0.542896925224724,0.103655388785128,1.74352224947397,-2.92355391459387,-0.60918662799645,0.598283039040132,1.68390633963424,3.86563199950921,282.924930544086,1.00736838660985,6,NA,"landcover, forest_positive",NA,TRUE,TRUE
"b_landcover_change[7]",-0.37642505893299,0.123035639335015,2.08295446533921,-4.27303669124761,-1.79758334099258,-0.437560568127875,0.967388403854865,3.94747187683291,286.614192265345,1.00590869282549,7,NA,"landcover, forest_positive",NA,TRUE,TRUE
"b_landcover_change[8]",0.177799354531703,0.0832060209861013,1.17491518513335,-2.35934772896767,-0.558315446720873,0.261489623219929,0.970494051230204,2.32998581431906,199.390069933324,1.01764214325073,8,NA,"landcover, forest_positive",NA,TRUE,TRUE
"b_landcover_change[9]",0.153704808348873,0.0809503293956829,1.19042962134798,-2.33426043656027,-0.589992484964446,0.234231424786307,0.952572295101217,2.39655086925084,216.257017490174,1.01326702545475,9,NA,"landcover, forest_positive",NA,TRUE,TRUE
