"prop_posterior_gt_0","common_name_standard","kappa"
0.603125,1,"_landcover"
0.5828125,2,"_landcover"
0.6090625,3,"_landcover"
0.6009375,4,"_landcover"
0.52625,5,"_landcover"
0.6365625,6,"_landcover"
0.4159375,7,"_landcover"
0.5875,8,"_landcover"
0.5784375,9,"_landcover"
0.60375,10,"_landcover"
0.569375,11,"_landcover"
0.62125,12,"_landcover"
0.565,13,"_landcover"
0.5803125,14,"_landcover"
0.605,15,"_landcover"
0.54625,16,"_landcover"
0.60625,17,"_landcover"
0.5625,18,"_landcover"
0.58375,19,"_landcover"
0.6090625,20,"_landcover"
0.4909375,21,"_landcover"
0.4315625,22,"_landcover"
0.6209375,23,"_landcover"
0.643125,24,"_landcover"
0.5615625,25,"_landcover"
0.5859375,26,"_landcover"
0.513125,27,"_landcover"
0.623125,28,"_landcover"
0.416875,29,"_landcover"
0.5975,30,"_landcover"
0.58375,31,"_landcover"
0.5728125,32,"_landcover"
0.56375,33,"_landcover"
0.5721875,34,"_landcover"
0.5265625,35,"_landcover"
0.571875,36,"_landcover"
0.405625,37,"_landcover"
0.5509375,38,"_landcover"
0.5953125,39,"_landcover"
0.586875,40,"_landcover"
0.6234375,41,"_landcover"
0.535,42,"_landcover"
0.4384375,43,"_landcover"
0.624375,44,"_landcover"
0.52375,45,"_landcover"
0.61625,46,"_landcover"
0.493125,47,"_landcover"
0.4375,48,"_landcover"
0.5809375,49,"_landcover"
0.6284375,50,"_landcover"
0.5684375,51,"_landcover"
0.616875,52,"_landcover"
0.6215625,53,"_landcover"
0.6175,54,"_landcover"
0.4875,55,"_landcover"
0.6234375,56,"_landcover"
0.5490625,57,"_landcover"
0.5746875,58,"_landcover"
0.6015625,59,"_landcover"
0.4821875,60,"_landcover"
0.4328125,61,"_landcover"
0.5259375,62,"_landcover"
0.509375,63,"_landcover"
0.5940625,NA,"_forest"
0.60375,NA,"_uai"
