"rownames","mean","se_mean","sd","conf_2.5","conf_25","conf_50","conf_75","conf_97.5","n_eff","Rhat","sp_id","q_rt_standard","slope","raw","flag_rhat","flag_neff","common_name"
"a",-0.29316089007582,0.00269681101626641,0.138719762787249,-0.565526276371751,-0.384629200333547,-0.295591861039853,-0.201332583205387,-0.0211899075310384,2645.91353443354,1.00155786576354,NA,NA,NA,NA,FALSE,FALSE,NA
"sig_sp",0.857848363809888,0.00144637574272838,0.0866767156838056,0.703400979166711,0.798090562689978,0.851853298843426,0.912884062871239,1.04387983481539,3591.22515547543,1.0006429775022,NA,NA,NA,NA,FALSE,FALSE,NA
"b_landcover_change[1]",0.0508545671258094,0.0855743646655579,2.6346882634995,-5.04046152342875,-1.72325599585799,0.0644943877459849,1.8330471771111,5.17212724795188,947.918734643606,1.00717510165655,1,NA,"landcover, dev+barren",NA,TRUE,TRUE,"Acadian Flycatcher"
"b_landcover_change[2]",-1.9015690950469,0.0424904426596048,1.0113297462547,-3.89297246955406,-2.5712871219721,-1.89266033414407,-1.21662363102907,-0.0040452326875576,566.504092496372,1.00490621646885,2,NA,"landcover, dev+barren",NA,FALSE,TRUE,"American Crow"
"b_landcover_change[3]",-2.1084551713759,0.0461308913128024,1.06096664968819,-4.28744007750362,-2.78251115773939,-2.09486567276224,-1.3926799148751,-0.0890633207614198,528.956274818279,1.00572175223335,3,NA,"landcover, dev+barren",NA,TRUE,TRUE,"American Goldfinch"
"b_landcover_change[4]",-2.41928889078131,0.0526052895153673,1.41176274057268,-5.25209317890737,-3.34497063718704,-2.39922368725499,-1.4846290847077,0.33414942126845,720.219044867371,1.00654605983981,4,NA,"landcover, dev+barren",NA,TRUE,TRUE,"American Robin"
"b_landcover_change[5]",-2.14414917766272,0.0506784160647385,1.18471749161177,-4.45878197196989,-2.95551956198183,-2.15985102619891,-1.34381160994175,0.199777706218461,546.49165645811,1.00317537438017,5,NA,"landcover, dev+barren",NA,FALSE,TRUE,"Barn Swallow"
"b_landcover_change[6]",-1.17470580462026,0.0489897104322993,1.44850392904662,-3.97892967562818,-2.12266186705573,-1.17673519776402,-0.220677932453184,1.67805481100233,874.23785997866,1.00879290958155,6,NA,"landcover, dev+barren",NA,TRUE,TRUE,"Black-and-white Warbler"
"b_landcover_change[7]",-1.45204758381594,0.0602261061555025,1.83616323861238,-5.05869627292433,-2.70893944451999,-1.45205306354567,-0.221396536956157,2.16390148254958,929.507730100211,1.00307360204997,7,NA,"landcover, dev+barren",NA,FALSE,TRUE,"Blue Grosbeak"
"b_landcover_change[8]",-1.79161223390005,0.0426388045399927,0.995767133688907,-3.74442385916272,-2.46082882686024,-1.78049534696404,-1.14520755226675,0.128534176174827,545.387946987108,1.00490680488186,8,NA,"landcover, dev+barren",NA,FALSE,TRUE,"Blue Jay"
