"common_name","sp_id","sample_size","pch_scale"
"Acadian Flycatcher",1,53,4.47029191355212
"American Crow",2,133,5.39034912822175
"American Goldfinch",3,83,4.9188406077966
"American Robin",4,90,4.99980967033027
"Barn Swallow",5,48,4.37120101090789
"Black-and-white Warbler",6,6,2.29175946922805
"Blue Grosbeak",7,98,5.08496747867057
"Blue Jay",8,94,5.04329478227
"Blue-gray Gnatcatcher",9,122,5.30402104473326
"Brown Thrasher",10,62,4.62713438504509
"Brown-headed Cowbird",11,82,4.90671924726425
"Brown-headed Nuthatch",12,45,4.30666248977032
"Carolina Chickadee",13,112,5.21849887129509
"Carolina Wren",14,136,5.41265488573605
"Chimney Swift",15,77,4.84380542185368
"Chipping Sparrow",16,131,5.37519732320115
"Common Grackle",17,70,4.74849524204936
"Common Yellowthroat",18,52,4.45124371858143
"Downy Woodpecker",19,84,4.93081679884331
"Eastern Bluebird",20,121,5.29579054559674
"Eastern Kingbird",21,38,4.13758615972639
"Eastern Meadowlark",22,49,4.39182029811063
"Eastern Phoebe",23,69,4.73410650459726
"Eastern Towhee",24,106,5.16343909411207
"Eastern Wood-Pewee",25,89,4.98863636973214
"European Starling",26,52,4.45124371858143
"Field Sparrow",27,25,3.7188758248682
"Fish Crow",28,48,4.37120101090789
"Grasshopper Sparrow",29,17,3.33321334405622
"Gray Catbird",30,24,3.67805383034795
"Great Crested Flycatcher",31,78,4.85670882668959
"Hairy Woodpecker",32,10,2.80258509299405
"Hooded Warbler",33,28,3.8322045101752
"House Finch",34,71,4.76267987704132
"House Sparrow",35,15,3.20805020110221
"Indigo Bunting",36,117,5.26217393479776
"Mourning Dove",37,132,5.38280192258637
"Northern Bobwhite",38,20,3.49573227355399
"Northern Cardinal",39,136,5.41265488573605
"Northern Flicker",40,15,3.20805020110221
"Northern House Wren",41,6,2.29175946922805
"Northern Mockingbird",42,120,5.28749174278205
"Northern Parula",43,43,4.26120011569356
"Northern Rough-winged Swallow",44,15,3.20805020110221
"Orchard Oriole",45,20,3.49573227355399
"Ovenbird",46,72,4.77666611901606
"Pileated Woodpecker",47,21,3.54452243772342
"Pine Warbler",48,118,5.27068462446567
"Prairie Warbler",49,28,3.8322045101752
"Purple Martin",50,11,2.89789527279837
"Red-bellied Woodpecker",51,110,5.20048036579242
"Red-eyed Vireo",52,122,5.30402104473326
"Red-headed Woodpecker",53,3,1.59861228866811
"Red-winged Blackbird",54,29,3.86729582998647
"Ruby-throated Hummingbird",55,10,2.80258509299405
"Scarlet Tanager",56,32,3.96573590279973
"Song Sparrow",57,16,3.27258872223978
"Summer Tanager",58,94,5.04329478227
"Tufted Titmouse",59,135,5.40527477843843
"White-breasted Nuthatch",60,64,4.65888308335967
"White-eyed Vireo",61,61,4.61087386417331
"Wild Turkey",62,8,2.57944154167984
"Wood Thrush",63,95,5.05387689160054
"Yellow-billed Cuckoo",64,68,4.71950770517611
"Yellow-breasted Chat",65,52,4.45124371858143
"Yellow-throated Vireo",66,28,3.8322045101752
"Yellow-throated Warbler",67,40,4.18887945411394
