# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=2118644611
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model/simple_bayes_observer_only/_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,a.1.1,a.2.1,a.3.1,a.4.1,a.5.1,a.6.1,a.7.1,a.8.1,a.9.1,a.10.1,a.11.1,a.12.1,a.13.1,a.14.1,a.15.1,a.16.1,a.17.1,a.18.1,a.19.1,a.20.1,a.21.1,a.22.1,a.23.1,a.24.1,a.25.1,a.26.1,a.27.1,a.28.1,a.29.1,a.30.1,a.31.1,a.32.1,a.33.1,a.34.1,a.1.2,a.2.2,a.3.2,a.4.2,a.5.2,a.6.2,a.7.2,a.8.2,a.9.2,a.10.2,a.11.2,a.12.2,a.13.2,a.14.2,a.15.2,a.16.2,a.17.2,a.18.2,a.19.2,a.20.2,a.21.2,a.22.2,a.23.2,a.24.2,a.25.2,a.26.2,a.27.2,a.28.2,a.29.2,a.30.2,a.31.2,a.32.2,a.33.2,a.34.2,a_bar.1,a_bar.2,sigma_a,gamma_b,sig_b
-1834.56,0.938052,0.00173754,6,63,0,1970.11,-0.0179492,0.0164837,1.32925,-1.57094,1.3109,-1.16364,-1.45723,-1.0415,0.139537,-0.0452774,-1.54668,-0.293912,-0.164022,1.34819,0.946849,1.60087,-1.21691,-0.956533,0.773164,1.18733,-0.0833901,0.479089,-0.554663,1.71153,-1.12159,-0.606557,-1.95457,1.17389,-0.361852,-0.696038,-0.472889,1.34113,0.416875,1.66824,0.601646,-1.62524,0.322508,-0.757541,-1.07649,0.354912,1.40314,0.772328,1.68906,0.43868,1.12304,0.603689,-1.12183,-1.12534,0.192033,1.20165,0.83167,-1.01747,0.975446,1.30863,-0.389954,1.08203,-0.185063,0.402498,-0.140299,0.0871999,0.963354,0.981797,1.73512,1.71702,0.399864,-1.64589,-1.53265,0.949368,1.02945,-0.498414,1.75254,0.229165,0.748187,1.41663,5.07642
-1188.96,0.51895,0.00271381,6,63,0,1867.51,-0.0107104,0.0163901,1.15815,-1.4964,1.00495,-1.07913,-1.31102,-1.12914,0.209012,-0.169387,-1.33648,-0.29086,-0.0926274,1.11224,0.886518,1.38199,-1.26126,-0.763831,0.639766,1.03353,-0.0168321,0.398668,-0.300009,1.37965,-1.06414,-0.333355,-1.83397,1.04218,-0.26212,-0.641906,-0.189979,1.04392,0.435138,1.38549,0.59299,-1.46979,0.357981,-0.436639,-0.775725,0.315132,1.06788,0.903888,1.54766,0.548776,1.21712,0.563792,-0.953478,-0.790959,0.391065,1.44928,0.660878,-0.538828,0.790744,0.954792,-0.30931,0.984947,0.247866,0.609539,0.0696179,0.371794,0.996616,1.0672,1.83387,1.52125,1.09612,-1.2783,-1.34651,0.824589,0.898921,-0.395492,1.8597,0.164559,0.921135,1.2831,4.38875
200.416,0.957917,0.00114797,8,255,0,1219.86,0.0101426,-0.00587917,0.491935,-1.4694,0.126752,-0.7308,-1.10261,-1.38529,0.166883,-0.496305,-0.855916,-0.207093,-0.254138,0.112496,0.75701,0.518492,-0.884355,-0.465804,-0.132367,0.254648,-0.130591,0.19123,0.112834,0.468105,-0.903087,0.0159927,-1.9093,0.542996,0.801531,0.243837,0.802134,0.233287,0.486368,0.406994,0.231668,-1.78879,0.555745,0.60572,-0.0649766,0.0226816,0.666024,1.47815,1.31379,0.908549,1.18946,0.954043,0.836786,0.277099,1.00418,2.08415,0.0644044,0.958325,0.965418,-0.275124,0.0445489,0.475817,1.60061,1.17705,0.833167,1.20008,1.06748,0.898788,2.05866,1.44773,2.3597,-0.0410852,-0.678928,1.20681,0.598157,-0.254169,1.84,0.238129,0.817145,0.69392,5.08229
656.393,0.935399,0.00196052,7,127,0,-163.267,0.0222186,-0.0195164,-0.0346984,-1.41061,-0.467495,-1.02007,-0.70612,-1.5224,-0.0194812,-0.708705,-0.663399,-0.433942,-0.732228,-0.542612,0.476114,0.254999,-0.485575,-0.387044,-0.391096,-0.379312,-0.1139,-0.317287,0.31034,0.24401,-0.489273,0.0386803,-1.85482,0.0517659,0.838403,0.220268,0.877263,-0.243502,0.331497,-0.0526534,-0.157496,-1.74281,0.961643,1.46168,0.51959,0.150388,1.05727,1.70496,1.55314,1.12129,1.49715,1.25447,2.17492,1.23589,0.999884,2.14596,-0.113555,1.67327,1.14641,-0.57896,0.636379,0.583624,1.84841,1.35492,1.4721,1.39382,1.11088,0.985804,2.33651,1.71051,1.91412,0.956088,0.104698,1.43188,1.07515,0.0655219,1.56414,0.405862,0.862858,0.328935,4.80265
658.096,0.16804,0.00313385,2,6,1,-609.736,0.018719,-0.0185912,-0.0351507,-1.41462,-0.469004,-1.02243,-0.703228,-1.51859,-0.0207037,-0.717515,-0.663987,-0.433437,-0.727184,-0.542847,0.476568,0.258555,-0.491217,-0.38667,-0.39018,-0.377954,-0.110891,-0.322574,0.314298,0.23956,-0.481326,0.0382836,-1.85938,0.0517916,0.845696,0.223785,0.879809,-0.242646,0.334511,-0.0527746,-0.155782,-1.74844,0.956473,1.46752,0.515273,0.148038,1.06152,1.70631,1.55262,1.12084,1.49768,1.25301,2.17762,1.23883,0.997016,2.14567,-0.114667,1.67885,1.14382,-0.574161,0.638913,0.582869,1.85031,1.35621,1.47332,1.39666,1.11081,0.986997,2.3381,1.70566,1.91986,0.951802,0.103668,1.43199,1.06921,0.0712565,1.56489,0.405726,0.866018,0.335309,4.82367
762.587,0.999021,0.000465371,10,1023,0,-624.181,0.0202622,-0.0265068,-0.181817,-1.37443,-0.669498,-1.02451,-0.590463,-1.54912,0.0252186,-0.664412,-0.333319,-0.426022,-0.705792,-0.463742,0.336523,0.263253,-0.455583,-0.157258,-0.377263,-0.648355,-0.252048,-0.512153,0.30385,0.166725,-0.439066,0.147539,-2.02108,0.0502278,0.58194,0.402757,0.969139,-0.292782,0.180089,-0.213792,-0.397516,-1.66158,0.994893,1.55352,0.667749,0.326838,1.19834,1.76441,1.60182,1.02476,1.583,1.38315,2.28821,1.46103,1.33516,2.36225,-0.299919,1.82285,1.34233,-0.434101,0.713588,0.647467,1.94098,1.41818,1.48984,1.52142,1.24769,1.22072,2.38886,1.64431,2.29992,1.34266,0.489629,1.46651,1.23722,-0.0490732,1.44316,0.500329,0.88781,0.207639,4.59009
924.686,0.999848,0.000919939,10,1023,0,-730.308,0.017671,-0.080525,-0.30894,-0.834898,-1.64492,0.0186086,-0.516062,-1.06143,-0.531518,-1.54017,0.590414,-0.480284,-0.750076,-1.3781,0.393615,-0.995534,0.289035,0.611502,-1.72973,-1.89857,-0.107344,-0.929139,0.682829,0.201481,-0.402,0.206426,-1.0828,-0.974887,0.73884,0.729733,0.911194,-0.480318,-0.112131,-0.624976,-1.40037,-1.1745,1.82131,2.41215,1.817,0.715887,1.87428,2.63316,2.54221,2.01456,2.3832,1.79893,2.83364,2.16739,2.2431,3.14997,0.210385,2.56779,2.02018,-0.0276277,1.15774,1.51963,2.72129,2.20701,2.12655,2.37471,2.1665,1.91688,3.05773,2.5865,2.96544,2.43527,2.57355,2.2722,2.09047,1.0823,1.88631,0.750933,1.33589,-0.268512,3.80289
962.382,0.885967,0.0018143,9,511,0,-897.03,0.0348435,-0.0521387,-0.297669,-0.855794,-1.62486,-0.590861,-0.61098,-1.07482,-0.687136,-1.87417,-0.416108,-0.348787,-0.476527,-1.63718,0.106737,-0.50674,-0.519024,-0.0663948,-2.59713,-2.53768,-0.437109,-0.729017,0.0810317,-0.0430998,-0.727604,-0.112782,-1.20473,-1.51478,0.544832,0.224046,0.751831,-0.744122,-0.462034,-0.958955,-1.30915,-1.07655,1.40984,1.96207,0.990293,0.904614,1.53065,1.99691,2.03659,1.48999,1.9651,1.69342,2.33253,1.64652,1.73383,2.73683,0.323302,2.13687,1.63078,-0.178893,1.42995,1.41659,2.36521,1.67734,1.63134,1.88892,1.60904,1.65112,2.68997,2.1539,2.54375,1.73835,0.943953,1.63282,1.48343,0.867192,1.52475,0.538641,1.31511,0.0492665,3.13228
985.092,0.892116,0.00251696,8,255,0,-924.28,0.0349409,-0.0579437,-0.653992,-0.53283,-1.41298,-0.726911,-1.16222,-0.940745,-0.72722,-1.38123,-0.176322,-0.554979,-0.723921,-1.96064,0.00433545,-0.493133,-0.155922,0.0110965,-2.57794,-2.38246,-0.929867,-0.723293,0.337542,-0.311245,-0.515567,-0.426104,-1.30392,-1.4525,0.523641,0.321599,0.718817,-0.872927,-0.539563,-0.707196,-1.55737,-1.00449,1.48914,2.0817,1.53812,0.726049,1.67268,2.04453,2.23806,1.55998,1.74496,1.61222,2.58663,1.93194,1.97347,2.79621,0.361827,2.23681,1.76538,-0.24621,1.10711,1.00562,2.2478,1.95695,1.8821,2.05855,1.71854,1.68422,2.77199,2.39607,2.89152,2.05669,1.64275,2.07447,1.80545,0.564347,1.20621,0.661999,1.47882,-0.0736863,2.47024
985.136,0.200036,0.00354831,2,5,1,-955.843,0.0338511,-0.0584683,-0.657209,-0.529528,-1.41637,-0.732577,-1.16159,-0.940739,-0.729577,-1.37942,-0.178195,-0.552677,-0.727993,-1.96369,0.00164606,-0.493169,-0.153145,0.0110253,-2.57551,-2.38175,-0.924663,-0.724477,0.339981,-0.312621,-0.517343,-0.427413,-1.30598,-1.45554,0.524591,0.319069,0.722524,-0.870211,-0.538409,-0.705393,-1.55098,-0.999544,1.48907,2.08437,1.537,0.720828,1.67398,2.04667,2.23174,1.5635,1.74555,1.61431,2.58794,1.92805,1.9728,2.7938,0.365986,2.23278,1.76419,-0.245464,1.10899,1.01112,2.24629,1.95661,1.88807,2.0588,1.72438,1.68695,2.77458,2.39675,2.88976,2.0553,1.64468,2.08053,1.80604,0.56802,1.20123,0.666881,1.47504,-0.0801008,2.47289
