"common_name","sp_id","sample_size","pch_scale","ebird_code","ebirdst_association_forest","ebirdst_association_grassland","City","Sample","UAI","SD","scale_UAI","scale_eaforest","scale_eagrassland"
"Acadian Flycatcher",1,136,5.41265488573605,"acafly",0.416986428062597,0.0919052324113029,"Charlotte_US",2179,1.601909893,1.259270373,-0.304957050414446,2.99820734406081,-1.54836809166969
"American Crow",2,136,5.41265488573605,"amecro",0.128250948052969,0.147234372257411,"Charlotte_US",36767,1.827793549,1.196459017,0.226221671371905,-0.23251120057987,-0.176370824405686
"American Goldfinch",3,136,5.41265488573605,"amegfi",0.120850256404915,0.168339778853184,"Charlotte_US",30143,1.913136425,1.141502312,0.426910471039868,-0.315319007052903,0.346980166671271
"American Robin",4,136,5.41265488573605,"amerob",0.117677890347459,0.145016234829709,"Charlotte_US",34340,2.264461791,1.122981954,1.25307276249402,-0.350815239978174,-0.231374001713118
"Barn Swallow",5,136,5.41265488573605,"barswa",0.0735951305721456,0.214169576455872,"Charlotte_US",6113,1.829232913,1.256184549,0.229606420597432,-0.844065981107377,1.48342214363024
"Black-and-white Warbler",6,136,5.41265488573605,"bawwar",0.260590926899908,0.120727184408132,"Charlotte_US",3436,1.876645975,1.360710414,0.341101028552321,1.24826706693302,-0.833669842485804
"Blue Grosbeak",7,136,5.41265488573605,"blugrb1",0.0613290319287356,0.231235493628838,"Charlotte_US",3761,1.118124764,1.09791903,-1.44260627653404,-0.981313791304915,1.90660587267045
"Blue Jay",8,136,5.41265488573605,"blujay",0.137478732576522,0.144285084636364,"Charlotte_US",33288,1.786477147,1.168971131,0.129063718504474,-0.129259689594117,-0.249504340807833
"Blue-gray Gnatcatcher",9,136,5.41265488573605,"buggna",0.117788815581208,0.178212449428024,"Charlotte_US",11002,1.776286608,1.254872576,0.105100065816233,-0.349574075540296,0.591792883567882
"Brown Thrasher",10,136,5.41265488573605,"brnthr",0.112891087714458,0.135847267689961,"Charlotte_US",20664,2.167179486,1.141510695,1.024307692292,-0.404375723904346,-0.458736977070353
"Brown-headed Cowbird",11,136,5.41265488573605,"bnhcow",0.0848571215695181,0.207755066733378,"Charlotte_US",12098,1.917314834,1.205358735,0.436736245914525,-0.718053330484826,1.32436147804646
"Brown-headed Nuthatch",12,136,5.41265488573605,"bnhnut",0.135002957082975,0.12153821285406,"Charlotte_US",19088,2.020540387,1.125093186,0.679477213849936,-0.156961632559707,-0.813558761515063
"Carolina Chickadee",13,136,5.41265488573605,"carchi",0.0890181060354387,0.233806158927839,"Charlotte_US",50841,1.913244447,1.13737001,0.427164491135438,-0.671495250135424,1.97035068733935
"Carolina Wren",14,136,5.41265488573605,"carwre",0.0903980845568188,0.191892974735098,"Charlotte_US",51661,1.975662648,1.163896817,0.573944567261811,-0.656054396797691,0.931029014623728
"Chimney Swift",15,136,5.41265488573605,"chiswi",0.116331542360139,0.142329025695496,"Charlotte_US",9611,2.144786672,1.196866644,0.971649671218886,-0.365879794601074,-0.298008755099157
"Chipping Sparrow",16,136,5.41265488573605,"chispa",0.116513470394303,0.156604281037736,"Charlotte_US",19162,1.6674344,1.185698618,-0.150872312765517,-0.363844165748866,0.055974902942959
"Common Grackle",17,136,5.41265488573605,"comgra",0.115570064379659,0.15439065136295,"Charlotte_US",16147,2.295524964,1.167889602,1.32611964344573,-0.374400122732519,0.00108350443236876
"Common Yellowthroat",18,136,5.41265488573605,"comyel",0.112590352594468,0.125340736265273,"Charlotte_US",6676,1.71276152,1.2568525,-0.0442829202870437,-0.407740708800362,-0.719267548179697
"Downy Woodpecker",19,136,5.41265488573605,"dowwoo",0.103232013060844,0.165359911798234,"Charlotte_US",33404,2.003607264,1.140305475,0.639657977742871,-0.512453025684019,0.273088371722483
