"common_name","n_qr_countover0"
"Acadian Flycatcher",93
"American Crow",136
"American Goldfinch",117
"American Redstart",12
"American Robin",118
"Baltimore Oriole",0
"Barn Swallow",66
"Black-and-white Warbler",21
"Blackpoll Warbler",2
"Blue Grosbeak",120
"Blue Jay",129
"Blue-gray Gnatcatcher",133
"Blue-headed Vireo",4
"Brown Thrasher",114
"Brown-headed Cowbird",120
"Brown-headed Nuthatch",81
"Carolina Chickadee",132
"Carolina Wren",136
"Cedar Waxwing",16
"Chimney Swift",106
"Chipping Sparrow",135
"Chuck-will's-widow",6
"Cliff Swallow",1
"Common Grackle",108
"Common Nighthawk",1
"Common Yellowthroat",91
"Dickcissel",2
"Downy Woodpecker",112
"Eastern Bluebird",135
"Eastern Kingbird",62
"Eastern Meadowlark",67
"Eastern Phoebe",117
"Eastern Towhee",127
"Eastern Whip-poor-will",16
"Eastern Wood-Pewee",116
"European Starling",77
"Field Sparrow",52
"Fish Crow",90
"Grasshopper Sparrow",20
"Gray Catbird",62
"Great Crested Flycatcher",128
"Hairy Woodpecker",40
"Hooded Warbler",53
"Horned Lark",1
"House Finch",106
"House Sparrow",27
"Indigo Bunting",132
"Kentucky Warbler",11
"Loggerhead Shrike",4
"Louisiana Waterthrush",17
"Mourning Dove",136
"Northern Bobwhite",37
"Northern Cardinal",136
"Northern Flicker",46
"Northern House Wren",28
"Northern Mockingbird",133
"Northern Parula",86
"Northern Rough-winged Swallow",42
"Orchard Oriole",61
"Ovenbird",107
"Pileated Woodpecker",73
"Pine Warbler",133
"Prairie Warbler",51
"Prothonotary Warbler",6
"Purple Martin",32
"Red-bellied Woodpecker",130
"Red-eyed Vireo",132
"Red-headed Woodpecker",23
"Red-winged Blackbird",62
"Ruby-throated Hummingbird",50
"Scarlet Tanager",63
"Song Sparrow",29
"Summer Tanager",129
"Swainson's Thrush",3
"Tree Swallow",9
"Tufted Titmouse",136
"Warbling Vireo",2
"White-breasted Nuthatch",104
"White-eyed Vireo",104
"Wild Turkey",30
"Willow Flycatcher",1
"Wood Thrush",122
"Worm-eating Warbler",1
"Yellow Warbler",4
"Yellow-billed Cuckoo",101
"Yellow-breasted Chat",80
"Yellow-throated Vireo",67
"Yellow-throated Warbler",77
