common_name,usgs_trend_estimate,usgs_2.5CI,usgs_97.5CI,usgs_startyear,usgs_endyear,usgs_note
Acadian Flycatcher,2.12,1.37,2.86,2000,2022,"despite that we're now cutting off 2 extra years of data compared to just one year of data with the bbsBayes, these are much more narrow estimates.."
American Crow,-1.58,-1.95,-1.2,2000,2022,
American Goldfinch,0.13,-0.62,0.94,2000,2022,
American Robin,-1.03,-1.38,-0.66,2000,2022,
Barn Swallow,-1.66,-2.33,-1,2000,2022,
Blue Grosbeak,0.43,-0.18,1.09,2000,2022,
Blue Jay,-1.28,-1.75,-0.82,2000,2022,
Blue-gray Gnatcatcher,-1.89,-2.68,-1.12,2000,2022,
Brown Thrasher,0.04,-0.52,0.6,2000,2022,"has been declining overall, it's just the 2000-2022 trend where maybe it's not changing. BUT AGAIN that's what we want :) just the trend that matches how they're doing right now for the MBBS years"
Brown-headed Cowbird,0.26,-0.4,0.9,2000,2022,
Brown-headed Nuthatch,0.27,-1.21,1.74,2000,2022,
Canada Goose,-3.09,-6.43,0.29,2000,2022,
Carolina Chickadee,-1.47,-2.14,-0.8,2000,2022,
Carolina Wren,1.78,1.29,2.27,2000,2022,
Chimney Swift,-3.57,-4.37,-2.8,2000,2022,
Chipping Sparrow,0.63,0.16,1.11,2000,2022,
Common Grackle,-4.9,-5.59,-4.22,2000,2022,
Common Yellowthroat,-1.44,-2.04,-0.83,2000,2022,
Downy Woodpecker,-0.47,-1.2,0.26,2000,2022,
Eastern Bluebird,0.27,-0.37,0.91,2000,2022,
Eastern Kingbird,-2.09,-2.81,-1.35,2000,2022,
Eastern Meadowlark,-2.32,-3.04,-1.61,2000,2022,
Eastern Phoebe,0.63,-0.08,1.34,2000,2022,
Eastern Towhee,-1.15,-1.65,-0.65,2000,2022,
Eastern Whip-poor-will,-2.33,-4.4,-0.13,2000,2022,
Eastern Wood-Pewee,-0.58,-1.11,-0.03,2000,2022,
European Starling,-2.33,-3.08,-1.6,2000,2022,
Field Sparrow,-2.92,-3.63,-2.23,2000,2022,
Fish Crow,3.11,1.61,4.71,2000,2022,
Grasshopper Sparrow,-3.15,-4.53,-1.77,2000,2022,
Gray Catbird,-0.06,-0.58,0.46,2000,2022,"yeah, really closely matches the estimates from the bbsBayes2 model that incorporated trends all across the US."
Great Blue Heron,0.25,-1.15,1.62,2000,2022,
Great Crested Flycatcher,0.34,-0.3,0.98,2000,2022,
Hooded Warbler,0.99,-0.24,2.31,2000,2022,
House Finch,-0.25,-1.29,0.79,2000,2022,
House Sparrow,-2.31,-3.21,-1.34,2000,2022,
Indigo Bunting,-1.7,-2.05,-1.34,2000,2022,
Killdeer,-1.93,-2.98,-0.89,2000,2022,
Mourning Dove,-0.25,-0.63,0.14,2000,2022,
Northern Bobwhite,-6.38,-7.39,-5.37,2000,2022,
Northern Cardinal,0.43,0.14,0.73,2000,2022,
Northern Mockingbird,-0.56,-0.96,-0.17,2000,2022,
Northern Parula,1.56,0.52,2.58,2000,2022,
Orchard Oriole,-0.01,-0.84,0.81,2000,2022,
Ovenbird,0.2,-0.56,0.99,2000,2022,
Pileated Woodpecker,2.28,1.3,3.34,2000,2022,
Pine Warbler,-0.42,-1.23,0.4,2000,2022,
Prairie Warbler,-3.45,-4.37,-2.49,2000,2022,
Purple Martin,-1.58,-3.13,0.07,2000,2022,
Red-bellied Woodpecker,0.57,0.06,1.08,2000,2022,
Red-eyed Vireo,-0.46,-0.92,-0.03,2000,2022,
Red-shouldered Hawk,5.19,3.88,6.58,2000,2022,
Red-winged Blackbird,-1.06,-1.73,-0.34,2000,2022,
Ruby-throated Hummingbird,0.24,-0.91,1.37,2000,2022,
Scarlet Tanager,-0.1,-1.02,0.83,2000,2022,
Song Sparrow,-0.23,-0.78,0.3,2000,2022,
Summer Tanager,0.9,0.14,1.7,2000,2022,
Tufted Titmouse,0.26,-0.28,0.82,2000,2022,
White-breasted Nuthatch,3.07,1.94,4.25,2000,2022,
White-eyed Vireo,3.78,2.99,4.54,2000,2022,
Wood Thrush,-1,-1.59,-0.43,2000,2022,
Yellow-billed Cuckoo,-0.18,-1.23,0.87,2000,2022,
Yellow-breasted Chat,-1.81,-2.41,-1.19,2000,2022,
Yellow-throated Vireo,0.95,-0.01,1.9,2000,2022,
Yellow-throated Warbler,2.82,1.01,4.87,2000,2022,
