"spp","ssi"
"ovenbi1",1.39563070904644
"pacwre1",1.37282298265133
"paired",1.8323872401882
"palwar",1.39092418727466
"pasfly",1.00348945978983
"phaino",2.00256290473364
"phivir",1.2869877954255
"pilwoo",1.12583436934064
"pingro",0.879233741189945
"pinjay",2.13884789347923
"pinsis",0.945446925234791
"pinwar",1.30971289515863
"placha",2.24034516789857
"plsvir",1.42890100804215
"prawar",1.5157239679175
"prowar",1.43020358553626
"purfin",1.30103046478294
"purmar",1.14800458557315
"pygnut",1.48627959546269
"pyrrhu",2.44191038937075
"rebnut",1.11704939141774
"rebpig1",2.08740060621555
"rebsap",1.34366965531368
"rebwoo",1.30938509290113
"recpar",2.10134446703809
"recwoo",2.50806140463877
"redcro",1.05960883927537
"reevir1",0.983753285583172
"refwar",1.8557739550972
"rehwoo",1.30311205009945
"rensap",1.48916703482463
"rewbla",0.925534530607289
"rinphe",1.98947466071976
"robgro",1.40168573796246
"rocpig",1.59381815855702
"rocwre",1.49634519673542
"rthhum",1.32932791762195
"ruckin",0.830773869684443
"rucspa",1.51489564738198
"rufgro",1.24265884491451
"rufhum",1.32424752036764
"rusbla",1.12771598533431
"ruwspa",2.25950360686288
"saggro",2.52052293428528
"sagspa1",2.53993531534637
"sagthr",2.26538956564324
"savspa",0.711988009066209
"saypho",1.36474430536078
"scaqua",2.68266595854014
"scatan",1.69686065505645
"scoori",2.30568578603398
"sctfly",1.26512093312902
"seaspa",2.50637280101634
"sedwre",1.80802757812515
"shicow",4.43763703015004
"shtgro",2.17226357286606
"smbani",4.46972213534874
"smilon",1.9975210474853
"snobun",1.74464363046212
"sonspa",0.919682095295494
"soogro1",1.80788033597687
"spodov",3.67247774905052
"spotow",1.15468332429001
"sprpip",2.13600738613552
"sstspa",2.90617915399435
"stejay",1.11974809296215
"subfly",2.12670603155204
"sumtan",1.06919681186832
"swaspa",0.898568648890207
"swathr",0.816546108715379
"swawar",1.65623030253202
"tenwar",1.00480981594848
"thbkin",3.4224002726836
"towsol",1.30531510058719
"towwar",1.4470162536545
"treswa",0.700439682326962
"tribla",1.57233424440495
"trokin",1.96945047720072
"tropar",2.59071427753203
"tuftit",1.35864607860063
"varbun",2.54494496214616
"varthr",1.4146599442631
"vauswi",1.74749558045297
"veery",1.48397704083552
"verdin",2.37012670937696
"verfly",1.79052306294782
"vesspa",1.65315597316693
"vichum",3.38106757336267
"vigswa",1.07175520445371
"virwar",1.56406268104209
"warvir",0.951999031687621
"wesblu",1.17357463793636
"weskin",1.43750907086972
"wesmea",1.83520611982536
"westan",0.987134118826806
"wewpew",0.839014284571606
"whbnut",1.28369160336369
"whcpig2",4.25865848114293
"whcspa",0.926063747725904
"whevir",1.20845804657058
"whhwoo",1.73216813946319
"whiwag",3.00091953698313
"whtdov",2.00703882815113
"whtspa",0.96065541386175
"whtswi",1.3884910766508
"whwcro",0.926195289121655
"whwdov",1.72225778720256
"wilfly",1.24863452754224
"wilsap",1.72226514814443
"wiltur",1.18060056396746
"winwre3",1.26692908842839
"wlswar",0.961026234503995
"woewar1",2.07995500978475
"wooscj2",1.46525010027297
"woothr",1.53281536307901
"wrenti",1.2189670080006
"yebcha",0.935136314393677
"yebcuc",1.01018288198464
"yebfly",1.08531903150034
"yebmag",1.70753259502601
"yebsap",1.25355550460342
"yecpar",2.6705116169791
"yeejun",1.38393471095827
"yehbla",1.9194598011859
"yelwar",0.469767903319589
"yetvir",1.37775876888657
"yetwar",1.47036029222265
