"spp_code","common_name","lc_evenness","lc_dominance","lc_dominance_class"
"abetow","Abert's Towhee",0.613140386060055,0.214164229645305,"Nighttime Lights"
"acafly","Acadian Flycatcher",0.67916942066312,0.160551966534161,"Open Forests"
"acowoo","Acorn Woodpecker",0.572400240883816,0.244788750505635,"Sparse Forests"
"aldfly","Alder Flycatcher",0.703252641529782,0.164379739921344,"Nighttime Lights"
"allhum","Allen's Hummingbird",0.705982688789392,0.21643256871284,"Sparse Forests"
"altori","Altamira Oriole",0.751992879821458,0.174225527351112,"Nighttime Lights"
"amecro","American Crow",0.683135186811272,0.221391704820869,"Nighttime Lights"
"amegfi","American Goldfinch",0.682689306435433,0.214133905622982,"Nighttime Lights"
"amepip","American Pipit",0.615133400099117,0.24099236822374,"Dense Herbaceous"
"amered","American Redstart",0.69544893533604,0.192136394845732,"Nighttime Lights"
"amerob","American Robin",0.677230283361057,0.22353918619179,"Nighttime Lights"
"amtspa","American Tree Sparrow",0.643113485796325,0.207343613442165,"Nighttime Lights"
"annhum","Anna's Hummingbird",0.641444364576306,0.282969804024044,"Nighttime Lights"
"arcwar1","Arctic Warbler",0.682053089530604,0.290588334868117,"Shrubland/Grassland Mosaics"
"ariwoo","Arizona Woodpecker",0.593283846274676,0.223241070406056,"Shrubland/Grassland Mosaics"
"astfly","Ash-throated Flycatcher",0.644838710507152,0.215553039574931,"Nighttime Lights"
"attwoo1","American Three-toed Woodpecker",0.630534263388048,0.256247302870598,"Open Forests"
"audori","Audubon's Oriole",0.610436363726197,0.226227955209515,"Nighttime Lights"
"babwar","Bay-breasted Warbler",0.682793656032325,0.196912878813701,"Nighttime Lights"
"bacspa","Bachman's Sparrow",0.616721961608031,0.329502690540798,"Nighttime Lights"
"baispa","Baird's Sparrow",0.371132671123978,0.500716888636547,"Nighttime Lights"
"balori","Baltimore Oriole",0.690602411256259,0.213546810729241,"Nighttime Lights"
"banswa","Bank Swallow",0.604269191587569,0.237650176879401,"Nighttime Lights"
"barswa","Barn Swallow",0.646705392834475,0.230358749691412,"Nighttime Lights"
"batpig1","Band-tailed Pigeon",0.53279611830743,0.240481101590691,"Sparse Forests"
"bawwar","Black-and-white Warbler",0.718826230226653,0.177330008903653,"Nighttime Lights"
"bcrfin","Brown-capped Rosy-Finch",0.605734753190594,0.261150496498694,"Open Forests"
"belspa2","Bell's Sparrow",0.614280684196135,0.272668017712334,"Nighttime Lights"
"belvir","Bell's Vireo",0.580287738961551,0.263181742095102,"Nighttime Lights"
"benthr","Bendire's Thrasher",0.538191065834939,0.356163688904979,"Sparse Shrublands"
"bewwre","Bewick's Wren",0.641927865966232,0.210872720975645,"Nighttime Lights"
"bicthr","Bicknell's Thrush",0.548213915327138,0.322706343790678,"Open Forests"
"bkbcuc","Black-billed Cuckoo",0.73110146388123,0.128486476808434,"Open Forests"
"bkbmag1","Black-billed Magpie",0.64985629413543,0.203518437407404,"Nighttime Lights"
"bkbwar","Blackburnian Warbler",0.66504054158463,0.196323457935212,"Nighttime Lights"
"bkbwoo","Black-backed Woodpecker",0.637838789872197,0.209768571442714,"Open Forests"
"bkcchi","Black-capped Chickadee",0.68991162495899,0.207191625183485,"Nighttime Lights"
"bkchum","Black-chinned Hummingbird",0.606934350314219,0.248333051337211,"Nighttime Lights"
"bkcspa","Black-chinned Sparrow",0.569534687987613,0.238702541989139,"Nighttime Lights"
"bkcvir1","Black-capped Vireo",0.512327878865422,0.401218240233813,"Nighttime Lights"
"bkhgro","Black-headed Grosbeak",0.646323493791978,0.201819985967494,"Nighttime Lights"
"bkhpar","Nanday Parakeet",0.57471290587172,0.438273554344072,"Nighttime Lights"
"bkpwar","Blackpoll Warbler",0.689838627188249,0.190939602940728,"Nighttime Lights"
"bkrfin","Black Rosy-Finch",0.549411348135158,0.269074719098176,"Dense Herbaceous"
"bktgna","Black-tailed Gnatcatcher",0.627326240040247,0.191987837688693,"Sparse Shrublands"
"bktspa","Black-throated Sparrow",0.594080721490866,0.256830452133618,"Nighttime Lights"
"bkwvir","Black-whiskered Vireo",0.762834823261637,0.143096241379446,"Nighttime Lights"
"blctit4","Black-crested Titmouse",0.550546697221703,0.242365043642676,"Nighttime Lights"
"blkpho","Black Phoebe",0.639467959379672,0.209333547009939,"Dense Herbaceous"
"blkswi","Black Swift",0.579123069040506,0.242908238835236,"Nighttime Lights"
"blueth","Bluethroat",0.669616258058961,0.173055924523324,"Dense Herbaceous"
"blugrb1","Blue Grosbeak",0.634047555602252,0.229322942472054,"Nighttime Lights"
"blujay","Blue Jay",0.695343851350227,0.223423048087231,"Nighttime Lights"
"bncfly","Brown-crested Flycatcher",0.674986751285999,0.202334527958973,"Nighttime Lights"
"bnhcow","Brown-headed Cowbird",0.652867197976963,0.226682445005304,"Nighttime Lights"
"bnhnut","Brown-headed Nuthatch",0.726811958014189,0.19215317046497,"Open Forests"
"boboli","Bobolink",0.60875057303562,0.291657341776381,"Nighttime Lights"
"bohwax","Bohemian Waxwing",0.622737473009472,0.300829158504304,"Nighttime Lights"
"borchi2","Boreal Chickadee",0.671146541143224,0.187924407989228,"Open Forests"
"botgra","Boat-tailed Grackle",0.733050694765343,0.171219395305131,"Ocean"
"botspa","Botteri's Sparrow",0.412238460807162,0.455317803909206,"Dense Herbaceous"
"brbhum","Broad-billed Hummingbird",0.631865681100185,0.236682747500674,"Nighttime Lights"
"brebla","Brewer's Blackbird",0.592715108560013,0.238694611093241,"Dense Herbaceous"
"brespa","Brewer's Sparrow",0.584325188867308,0.272349358262288,"Nighttime Lights"
"britit","Bridled Titmouse",0.574690487010938,0.25354324953161,"Sparse Forests"
"brncre","Brown Creeper",0.691427781992176,0.172608621410747,"Nighttime Lights"
"brnthr","Brown Thrasher",0.701239342025377,0.195814825988091,"Nighttime Lights"
"brocow","Bronzed Cowbird",0.632775291580633,0.273791666590353,"Nighttime Lights"
"brthum","Broad-tailed Hummingbird",0.579097556318931,0.253955228212745,"Dense Herbaceous"
"btbwar","Black-throated Blue Warbler",0.725940267976674,0.187743695785225,"Nighttime Lights"
"btnwar","Black-throated Green Warbler",0.68877554565526,0.189297586357305,"Nighttime Lights"
"btywar","Black-throated Gray Warbler",0.641979332553593,0.222285520779983,"Nighttime Lights"
"bubfly","Buff-breasted Flycatcher",0.586544947241188,0.233038542129156,"Nighttime Lights"
"bubhum","Buff-bellied Hummingbird",0.70879011704566,0.193538136724405,"Nighttime Lights"
"buggna","Blue-gray Gnatcatcher",0.662961719759072,0.202172757877142,"Nighttime Lights"
"buhvir","Blue-headed Vireo",0.723272765458711,0.161994996813651,"Nighttime Lights"
"bulori","Bullock's Oriole",0.622304993499517,0.210180849714791,"Nighttime Lights"
"bushti","Bushtit",0.585731276191427,0.285487448935234,"Nighttime Lights"
"buwwar","Blue-winged Warbler",0.687477154460617,0.165553758960451,"Sparse Forests"
"cacwre","Cactus Wren",0.626437643859842,0.203009339101208,"Dense Herbaceous"
"calgna","California Gnatcatcher",0.709744332873999,0.188558191220552,"Nighttime Lights"
"calhum","Calliope Hummingbird",0.61687805361587,0.210800598417434,"Nighttime Lights"
"calqua","California Quail",0.653381832747968,0.243737227316774,"Nighttime Lights"
