"ID","NLCD Land Cover Class","route","stop_num"
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Evergreen Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Woody Wetlands","cthm-01",1
1,"Woody Wetlands","cthm-01",1
1,"Woody Wetlands","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Woody Wetlands","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Evergreen Forest","cthm-01",1
1,"Evergreen Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Deciduous Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Evergreen Forest","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Developed, Open Space","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Mixed Forest","cthm-01",1
1,"Evergreen Forest","cthm-01",1
