"common_name","sp_id"
"Acadian Flycatcher",1
"American Crow",2
"American Goldfinch",3
"American Robin",4
"Barn Swallow",5
"Black-and-white Warbler",6
"Blue Grosbeak",7
"Blue Jay",8
"Blue-gray Gnatcatcher",9
"Brown Thrasher",10
"Brown-headed Cowbird",11
"Brown-headed Nuthatch",12
"Carolina Chickadee",13
"Carolina Wren",14
"Chimney Swift",15
"Chipping Sparrow",16
"Common Grackle",17
"Common Yellowthroat",18
"Downy Woodpecker",19
"Eastern Bluebird",20
"Eastern Kingbird",21
"Eastern Meadowlark",22
"Eastern Phoebe",23
"Eastern Towhee",24
"Eastern Wood-Pewee",25
"European Starling",26
"Field Sparrow",27
"Fish Crow",28
"Grasshopper Sparrow",29
"Gray Catbird",30
"Great Crested Flycatcher",31
"Hairy Woodpecker",32
"Hooded Warbler",33
"House Finch",34
"House Sparrow",35
"Indigo Bunting",36
"Mourning Dove",37
"Northern Bobwhite",38
"Northern Cardinal",39
"Northern Flicker",40
"Northern House Wren",41
"Northern Mockingbird",42
"Northern Parula",43
"Northern Rough-winged Swallow",44
"Orchard Oriole",45
"Ovenbird",46
"Pileated Woodpecker",47
"Pine Warbler",48
"Prairie Warbler",49
"Purple Martin",50
"Red-bellied Woodpecker",51
"Red-eyed Vireo",52
"Red-headed Woodpecker",53
"Red-winged Blackbird",54
"Ruby-throated Hummingbird",55
"Scarlet Tanager",56
"Song Sparrow",57
"Summer Tanager",58
"Tufted Titmouse",59
"White-breasted Nuthatch",60
"White-eyed Vireo",61
"Wild Turkey",62
"Wood Thrush",63
"Yellow-billed Cuckoo",64
"Yellow-breasted Chat",65
"Yellow-throated Vireo",66
"Yellow-throated Warbler",67
