ID,route,stop_num,year,nlcd_code,count,numpix,percent,class,ijbg_class,description,color
6,cthm-01,6,2025,23,28,556,5.035971223,developed,developed,"Developed, Medium Intensity",#ED0000
6,cthm-01,6,2025,24,1,556,0.179856115,developed,developed,"Developed, High Intensity",#AA0000
6,cthm-01,6,2025,41,7,556,1.258992806,forest,deciduous forest,Deciduous Forest,#68AA63
6,cthm-01,6,2025,42,221,556,39.74820144,forest,evergreen forest,Evergreen Forest,#1C6330
6,cthm-01,6,2025,43,88,556,15.82733813,forest,mixed forest,Mixed Forest,#B5C98E
6,cthm-01,6,2025,81,13,556,2.338129496,planted,pasture,Pasture/Hay,#DBD83D
6,cthm-01,6,2025,90,10,556,1.798561151,wetlands,wetlands,Woody Wetlands,#BAD8EA
7,cthm-01,7,2025,21,76,554,13.71841155,developed,developed,"Developed, Open Space",#DDC9C9
7,cthm-01,7,2025,22,11,554,1.985559567,developed,developed,"Developed, Low Intensity",#D89382
7,cthm-01,7,2025,23,1,554,0.180505415,developed,developed,"Developed, Medium Intensity",#ED0000
7,cthm-01,7,2025,41,257,554,46.3898917,forest,deciduous forest,Deciduous Forest,#68AA63
7,cthm-01,7,2025,42,68,554,12.27436823,forest,evergreen forest,Evergreen Forest,#1C6330
7,cthm-01,7,2025,43,136,554,24.54873646,forest,mixed forest,Mixed Forest,#B5C98E
7,cthm-01,7,2025,81,5,554,0.902527076,planted,pasture,Pasture/Hay,#DBD83D
8,cthm-01,8,2025,11,4,555,0.720720721,water,water,Open Water,#476BA0
8,cthm-01,8,2025,21,53,555,9.54954955,developed,developed,"Developed, Open Space",#DDC9C9
8,cthm-01,8,2025,22,4,555,0.720720721,developed,developed,"Developed, Low Intensity",#D89382
8,cthm-01,8,2025,41,171,555,30.81081081,forest,deciduous forest,Deciduous Forest,#68AA63
8,cthm-01,8,2025,42,102,555,18.37837838,forest,evergreen forest,Evergreen Forest,#1C6330
8,cthm-01,8,2025,43,199,555,35.85585586,forest,mixed forest,Mixed Forest,#B5C98E
8,cthm-01,8,2025,81,22,555,3.963963964,planted,pasture,Pasture/Hay,#DBD83D
9,cthm-01,9,2025,21,54,560,9.642857143,developed,developed,"Developed, Open Space",#DDC9C9
9,cthm-01,9,2025,22,5,560,0.892857143,developed,developed,"Developed, Low Intensity",#D89382
9,cthm-01,9,2025,41,326,560,58.21428571,forest,deciduous forest,Deciduous Forest,#68AA63
9,cthm-01,9,2025,42,33,560,5.892857143,forest,evergreen forest,Evergreen Forest,#1C6330
9,cthm-01,9,2025,43,127,560,22.67857143,forest,mixed forest,Mixed Forest,#B5C98E
9,cthm-01,9,2025,52,13,560,2.321428571,shrubland,shrubland,Scrub/Shrub,#CCBA7C
9,cthm-01,9,2025,81,2,560,0.357142857,planted,pasture,Pasture/Hay,#DBD83D
10,cthm-01,10,2025,21,98,560,17.5,developed,developed,"Developed, Open Space",#DDC9C9
10,cthm-01,10,2025,22,11,560,1.964285714,developed,developed,"Developed, Low Intensity",#D89382
10,cthm-01,10,2025,41,290,560,51.78571429,forest,deciduous forest,Deciduous Forest,#68AA63
10,cthm-01,10,2025,42,35,560,6.25,forest,evergreen forest,Evergreen Forest,#1C6330
10,cthm-01,10,2025,43,83,560,14.82142857,forest,mixed forest,Mixed Forest,#B5C98E
10,cthm-01,10,2025,52,12,560,2.142857143,shrubland,shrubland,Scrub/Shrub,#CCBA7C
10,cthm-01,10,2025,71,20,560,3.571428571,herbaceous,herbaceous,Grassland/Herbaceous,#E2E2C1
10,cthm-01,10,2025,81,1,560,0.178571429,planted,pasture,Pasture/Hay,#DBD83D
10,cthm-01,10,2025,90,10,560,1.785714286,wetlands,wetlands,Woody Wetlands,#BAD8EA
11,cthm-01,11,2025,21,115,558,20.609319,developed,developed,"Developed, Open Space",#DDC9C9
11,cthm-01,11,2025,22,77,558,13.79928315,developed,developed,"Developed, Low Intensity",#D89382
11,cthm-01,11,2025,23,29,558,5.197132616,developed,developed,"Developed, Medium Intensity",#ED0000
11,cthm-01,11,2025,41,49,558,8.781362007,forest,deciduous forest,Deciduous Forest,#68AA63
11,cthm-01,11,2025,42,152,558,27.24014337,forest,evergreen forest,Evergreen Forest,#1C6330
11,cthm-01,11,2025,43,62,558,11.11111111,forest,mixed forest,Mixed Forest,#B5C98E
11,cthm-01,11,2025,52,16,558,2.867383513,shrubland,shrubland,Scrub/Shrub,#CCBA7C
11,cthm-01,11,2025,71,39,558,6.989247312,herbaceous,herbaceous,Grassland/Herbaceous,#E2E2C1
11,cthm-01,11,2025,81,19,558,3.405017921,planted,pasture,Pasture/Hay,#DBD83D
12,cthm-01,12,2025,11,1,554,0.180505415,water,water,Open Water,#476BA0
12,cthm-01,12,2025,21,114,554,20.57761733,developed,developed,"Developed, Open Space",#DDC9C9
12,cthm-01,12,2025,22,53,554,9.566787004,developed,developed,"Developed, Low Intensity",#D89382
12,cthm-01,12,2025,41,144,554,25.99277978,forest,deciduous forest,Deciduous Forest,#68AA63
12,cthm-01,12,2025,42,63,554,11.37184116,forest,evergreen forest,Evergreen Forest,#1C6330
12,cthm-01,12,2025,43,144,554,25.99277978,forest,mixed forest,Mixed Forest,#B5C98E
12,cthm-01,12,2025,71,1,554,0.180505415,herbaceous,herbaceous,Grassland/Herbaceous,#E2E2C1
12,cthm-01,12,2025,81,34,554,6.137184116,planted,pasture,Pasture/Hay,#DBD83D
13,cthm-01,13,2025,11,3,560,0.535714286,water,water,Open Water,#476BA0
13,cthm-01,13,2025,21,111,560,19.82142857,developed,developed,"Developed, Open Space",#DDC9C9
13,cthm-01,13,2025,22,36,560,6.428571429,developed,developed,"Developed, Low Intensity",#D89382
13,cthm-01,13,2025,23,1,560,0.178571429,developed,developed,"Developed, Medium Intensity",#ED0000
13,cthm-01,13,2025,41,81,560,14.46428571,forest,deciduous forest,Deciduous Forest,#68AA63
13,cthm-01,13,2025,42,105,560,18.75,forest,evergreen forest,Evergreen Forest,#1C6330
13,cthm-01,13,2025,43,133,560,23.75,forest,mixed forest,Mixed Forest,#B5C98E
13,cthm-01,13,2025,71,15,560,2.678571429,herbaceous,herbaceous,Grassland/Herbaceous,#E2E2C1
13,cthm-01,13,2025,81,72,560,12.85714286,planted,pasture,Pasture/Hay,#DBD83D
13,cthm-01,13,2025,82,3,560,0.535714286,planted,cultivated crops,Cultivated Crops,#AA7028
14,cthm-01,14,2025,21,64,561,11.40819964,developed,developed,"Developed, Open Space",#DDC9C9
14,cthm-01,14,2025,22,17,561,3.03030303,developed,developed,"Developed, Low Intensity",#D89382
14,cthm-01,14,2025,41,245,561,43.67201426,forest,deciduous forest,Deciduous Forest,#68AA63
14,cthm-01,14,2025,42,94,561,16.75579323,forest,evergreen forest,Evergreen Forest,#1C6330
14,cthm-01,14,2025,43,102,561,18.18181818,forest,mixed forest,Mixed Forest,#B5C98E
14,cthm-01,14,2025,52,10,561,1.782531194,shrubland,shrubland,Scrub/Shrub,#CCBA7C
14,cthm-01,14,2025,71,3,561,0.534759358,herbaceous,herbaceous,Grassland/Herbaceous,#E2E2C1
14,cthm-01,14,2025,81,26,561,4.634581105,planted,pasture,Pasture/Hay,#DBD83D
15,cthm-01,15,2025,21,118,560,21.07142857,developed,developed,"Developed, Open Space",#DDC9C9
15,cthm-01,15,2025,22,74,560,13.21428571,developed,developed,"Developed, Low Intensity",#D89382
15,cthm-01,15,2025,23,1,560,0.178571429,developed,developed,"Developed, Medium Intensity",#ED0000
15,cthm-01,15,2025,41,139,560,24.82142857,forest,deciduous forest,Deciduous Forest,#68AA63
15,cthm-01,15,2025,42,51,560,9.107142857,forest,evergreen forest,Evergreen Forest,#1C6330
15,cthm-01,15,2025,43,141,560,25.17857143,forest,mixed forest,Mixed Forest,#B5C98E
15,cthm-01,15,2025,52,2,560,0.357142857,shrubland,shrubland,Scrub/Shrub,#CCBA7C
15,cthm-01,15,2025,71,2,560,0.357142857,herbaceous,herbaceous,Grassland/Herbaceous,#E2E2C1
15,cthm-01,15,2025,81,32,560,5.714285714,planted,pasture,Pasture/Hay,#DBD83D
16,cthm-01,16,2025,21,143,560,25.53571429,developed,developed,"Developed, Open Space",#DDC9C9
16,cthm-01,16,2025,22,98,560,17.5,developed,developed,"Developed, Low Intensity",#D89382
16,cthm-01,16,2025,23,1,560,0.178571429,developed,developed,"Developed, Medium Intensity",#ED0000
16,cthm-01,16,2025,41,152,560,27.14285714,forest,deciduous forest,Deciduous Forest,#68AA63
16,cthm-01,16,2025,42,84,560,15,forest,evergreen forest,Evergreen Forest,#1C6330
16,cthm-01,16,2025,43,67,560,11.96428571,forest,mixed forest,Mixed Forest,#B5C98E
16,cthm-01,16,2025,71,1,560,0.178571429,herbaceous,herbaceous,Grassland/Herbaceous,#E2E2C1
16,cthm-01,16,2025,81,14,560,2.5,planted,pasture,Pasture/Hay,#DBD83D
17,cthm-01,17,2025,11,17,560,3.035714286,water,water,Open Water,#476BA0
17,cthm-01,17,2025,21,127,560,22.67857143,developed,developed,"Developed, Open Space",#DDC9C9
17,cthm-01,17,2025,22,59,560,10.53571429,developed,developed,"Developed, Low Intensity",#D89382
17,cthm-01,17,2025,41,43,560,7.678571429,forest,deciduous forest,Deciduous Forest,#68AA63
17,cthm-01,17,2025,42,229,560,40.89285714,forest,evergreen forest,Evergreen Forest,#1C6330
17,cthm-01,17,2025,43,70,560,12.5,forest,mixed forest,Mixed Forest,#B5C98E
17,cthm-01,17,2025,52,4,560,0.714285714,shrubland,shrubland,Scrub/Shrub,#CCBA7C
17,cthm-01,17,2025,71,4,560,0.714285714,herbaceous,herbaceous,Grassland/Herbaceous,#E2E2C1
17,cthm-01,17,2025,81,7,560,1.25,planted,pasture,Pasture/Hay,#DBD83D
18,cthm-01,18,2025,11,6,559,1.073345259,water,water,Open Water,#476BA0
18,cthm-01,18,2025,21,142,559,25.40250447,developed,developed,"Developed, Open Space",#DDC9C9
18,cthm-01,18,2025,22,58,559,10.37567084,developed,developed,"Developed, Low Intensity",#D89382
18,cthm-01,18,2025,23,3,559,0.53667263,developed,developed,"Developed, Medium Intensity",#ED0000
18,cthm-01,18,2025,41,81,559,14.490161,forest,deciduous forest,Deciduous Forest,#68AA63
18,cthm-01,18,2025,42,61,559,10.91234347,forest,evergreen forest,Evergreen Forest,#1C6330
18,cthm-01,18,2025,43,117,559,20.93023256,forest,mixed forest,Mixed Forest,#B5C98E
18,cthm-01,18,2025,71,1,559,0.178890877,herbaceous,herbaceous,Grassland/Herbaceous,#E2E2C1
18,cthm-01,18,2025,81,90,559,16.10017889,planted,pasture,Pasture/Hay,#DBD83D
19,cthm-01,19,2025,11,3,563,0.53285968,water,water,Open Water,#476BA0
19,cthm-01,19,2025,21,128,563,22.73534636,developed,developed,"Developed, Open Space",#DDC9C9
19,cthm-01,19,2025,22,46,563,8.170515098,developed,developed,"Developed, Low Intensity",#D89382
19,cthm-01,19,2025,23,2,563,0.355239787,developed,developed,"Developed, Medium Intensity",#ED0000
19,cthm-01,19,2025,41,111,563,19.71580817,forest,deciduous forest,Deciduous Forest,#68AA63
19,cthm-01,19,2025,42,132,563,23.44582593,forest,evergreen forest,Evergreen Forest,#1C6330
19,cthm-01,19,2025,43,101,563,17.93960924,forest,mixed forest,Mixed Forest,#B5C98E
19,cthm-01,19,2025,52,2,563,0.355239787,shrubland,shrubland,Scrub/Shrub,#CCBA7C
19,cthm-01,19,2025,71,2,563,0.355239787,herbaceous,herbaceous,Grassland/Herbaceous,#E2E2C1
19,cthm-01,19,2025,81,36,563,6.394316163,planted,pasture,Pasture/Hay,#DBD83D
20,cthm-01,20,2025,11,26,556,4.676258993,water,water,Open Water,#476BA0
20,cthm-01,20,2025,21,107,556,19.24460432,developed,developed,"Developed, Open Space",#DDC9C9
20,cthm-01,20,2025,22,55,556,9.892086331,developed,developed,"Developed, Low Intensity",#D89382
20,cthm-01,20,2025,23,3,556,0.539568345,developed,developed,"Developed, Medium Intensity",#ED0000
20,cthm-01,20,2025,41,205,556,36.8705036,forest,deciduous forest,Deciduous Forest,#68AA63
20,cthm-01,20,2025,42,33,556,5.935251799,forest,evergreen forest,Evergreen Forest,#1C6330
20,cthm-01,20,2025,43,115,556,20.68345324,forest,mixed forest,Mixed Forest,#B5C98E
20,cthm-01,20,2025,71,4,556,0.71942446,herbaceous,herbaceous,Grassland/Herbaceous,#E2E2C1
20,cthm-01,20,2025,81,8,556,1.438848921,planted,pasture,Pasture/Hay,#DBD83D
21,cthm-02,1,2025,21,41,555,7.387387387,developed,developed,"Developed, Open Space",#DDC9C9
21,cthm-02,1,2025,22,8,555,1.441441441,developed,developed,"Developed, Low Intensity",#D89382
21,cthm-02,1,2025,23,1,555,0.18018018,developed,developed,"Developed, Medium Intensity",#ED0000
21,cthm-02,1,2025,24,3,555,0.540540541,developed,developed,"Developed, High Intensity",#AA0000
21,cthm-02,1,2025,41,8,555,1.441441441,forest,deciduous forest,Deciduous Forest,#68AA63
21,cthm-02,1,2025,42,353,555,63.6036036,forest,evergreen forest,Evergreen Forest,#1C6330
21,cthm-02,1,2025,43,42,555,7.567567568,forest,mixed forest,Mixed Forest,#B5C98E
21,cthm-02,1,2025,52,25,555,4.504504505,shrubland,shrubland,Scrub/Shrub,#CCBA7C
21,cthm-02,1,2025,71,49,555,8.828828829,herbaceous,herbaceous,Grassland/Herbaceous,#E2E2C1
21,cthm-02,1,2025,81,2,555,0.36036036,planted,pasture,Pasture/Hay,#DBD83D
21,cthm-02,1,2025,82,1,555,0.18018018,planted,cultivated crops,Cultivated Crops,#AA7028
21,cthm-02,1,2025,90,22,555,3.963963964,wetlands,wetlands,Woody Wetlands,#BAD8EA
22,cthm-02,2,2025,21,47,555,8.468468468,developed,developed,"Developed, Open Space",#DDC9C9
22,cthm-02,2,2025,22,7,555,1.261261261,developed,developed,"Developed, Low Intensity",#D89382
22,cthm-02,2,2025,41,40,555,7.207207207,forest,deciduous forest,Deciduous Forest,#68AA63
22,cthm-02,2,2025,42,135,555,24.32432432,forest,evergreen forest,Evergreen Forest,#1C6330
22,cthm-02,2,2025,43,286,555,51.53153153,forest,mixed forest,Mixed Forest,#B5C98E
22,cthm-02,2,2025,90,40,555,7.207207207,wetlands,wetlands,Woody Wetlands,#BAD8EA
23,cthm-02,3,2025,21,63,553,11.39240506,developed,developed,"Developed, Open Space",#DDC9C9
23,cthm-02,3,2025,22,12,553,2.169981917,developed,developed,"Developed, Low Intensity",#D89382
23,cthm-02,3,2025,41,9,553,1.627486438,forest,deciduous forest,Deciduous Forest,#68AA63
23,cthm-02,3,2025,42,317,553,57.32368897,forest,evergreen forest,Evergreen Forest,#1C6330
23,cthm-02,3,2025,43,119,553,21.51898734,forest,mixed forest,Mixed Forest,#B5C98E
23,cthm-02,3,2025,81,1,553,0.180831826,planted,pasture,Pasture/Hay,#DBD83D
23,cthm-02,3,2025,90,32,553,5.786618445,wetlands,wetlands,Woody Wetlands,#BAD8EA
24,cthm-02,4,2025,21,39,560,6.964285714,developed,developed,"Developed, Open Space",#DDC9C9
24,cthm-02,4,2025,22,12,560,2.142857143,developed,developed,"Developed, Low Intensity",#D89382
24,cthm-02,4,2025,41,24,560,4.285714286,forest,deciduous forest,Deciduous Forest,#68AA63
24,cthm-02,4,2025,42,18,560,3.214285714,forest,evergreen forest,Evergreen Forest,#1C6330
24,cthm-02,4,2025,43,14,560,2.5,forest,mixed forest,Mixed Forest,#B5C98E
24,cthm-02,4,2025,90,453,560,80.89285714,wetlands,wetlands,Woody Wetlands,#BAD8EA
25,cthm-02,5,2025,21,97,559,17.35241503,developed,developed,"Developed, Open Space",#DDC9C9
25,cthm-02,5,2025,22,194,559,34.70483005,developed,developed,"Developed, Low Intensity",#D89382
25,cthm-02,5,2025,23,61,559,10.91234347,developed,developed,"Developed, Medium Intensity",#ED0000
25,cthm-02,5,2025,24,6,559,1.073345259,developed,developed,"Developed, High Intensity",#AA0000
25,cthm-02,5,2025,41,14,559,2.504472272,forest,deciduous forest,Deciduous Forest,#68AA63
25,cthm-02,5,2025,42,86,559,15.38461538,forest,evergreen forest,Evergreen Forest,#1C6330
25,cthm-02,5,2025,43,72,559,12.88014311,forest,mixed forest,Mixed Forest,#B5C98E
25,cthm-02,5,2025,90,29,559,5.18783542,wetlands,wetlands,Woody Wetlands,#BAD8EA
26,cthm-02,6,2025,21,91,554,16.42599278,developed,developed,"Developed, Open Space",#DDC9C9
26,cthm-02,6,2025,22,192,554,34.65703971,developed,developed,"Developed, Low Intensity",#D89382
26,cthm-02,6,2025,23,126,554,22.74368231,developed,developed,"Developed, Medium Intensity",#ED0000
26,cthm-02,6,2025,24,1,554,0.180505415,developed,developed,"Developed, High Intensity",#AA0000
26,cthm-02,6,2025,41,69,554,12.45487365,forest,deciduous forest,Deciduous Forest,#68AA63
26,cthm-02,6,2025,42,14,554,2.527075812,forest,evergreen forest,Evergreen Forest,#1C6330
26,cthm-02,6,2025,43,24,554,4.332129964,forest,mixed forest,Mixed Forest,#B5C98E
26,cthm-02,6,2025,81,37,554,6.678700361,planted,pasture,Pasture/Hay,#DBD83D
27,cthm-02,7,2025,21,77,559,13.7745975,developed,developed,"Developed, Open Space",#DDC9C9
27,cthm-02,7,2025,22,81,559,14.490161,developed,developed,"Developed, Low Intensity",#D89382
27,cthm-02,7,2025,23,52,559,9.302325581,developed,developed,"Developed, Medium Intensity",#ED0000
27,cthm-02,7,2025,41,104,559,18.60465116,forest,deciduous forest,Deciduous Forest,#68AA63
27,cthm-02,7,2025,42,61,559,10.91234347,forest,evergreen forest,Evergreen Forest,#1C6330
27,cthm-02,7,2025,43,42,559,7.513416816,forest,mixed forest,Mixed Forest,#B5C98E
27,cthm-02,7,2025,52,4,559,0.715563506,shrubland,shrubland,Scrub/Shrub,#CCBA7C
27,cthm-02,7,2025,71,17,559,3.041144902,herbaceous,herbaceous,Grassland/Herbaceous,#E2E2C1
27,cthm-02,7,2025,81,9,559,1.610017889,planted,pasture,Pasture/Hay,#DBD83D
27,cthm-02,7,2025,90,112,559,20.03577818,wetlands,wetlands,Woody Wetlands,#BAD8EA
28,cthm-02,8,2025,11,13,559,2.325581395,water,water,Open Water,#476BA0
28,cthm-02,8,2025,21,70,559,12.52236136,developed,developed,"Developed, Open Space",#DDC9C9
28,cthm-02,8,2025,22,155,559,27.72808587,developed,developed,"Developed, Low Intensity",#D89382
28,cthm-02,8,2025,23,31,559,5.545617174,developed,developed,"Developed, Medium Intensity",#ED0000
28,cthm-02,8,2025,24,2,559,0.357781753,developed,developed,"Developed, High Intensity",#AA0000
28,cthm-02,8,2025,41,56,559,10.01788909,forest,deciduous forest,Deciduous Forest,#68AA63
28,cthm-02,8,2025,42,114,559,20.39355993,forest,evergreen forest,Evergreen Forest,#1C6330
28,cthm-02,8,2025,43,116,559,20.75134168,forest,mixed forest,Mixed Forest,#B5C98E
28,cthm-02,8,2025,90,2,559,0.357781753,wetlands,wetlands,Woody Wetlands,#BAD8EA
29,cthm-02,9,2025,11,4,558,0.716845878,water,water,Open Water,#476BA0
29,cthm-02,9,2025,21,34,558,6.093189964,developed,developed,"Developed, Open Space",#DDC9C9
29,cthm-02,9,2025,22,68,558,12.18637993,developed,developed,"Developed, Low Intensity",#D89382
29,cthm-02,9,2025,23,11,558,1.971326165,developed,developed,"Developed, Medium Intensity",#ED0000
29,cthm-02,9,2025,NA,1,558,0.17921147,NA,NA,Barren Land,NA
29,cthm-02,9,2025,41,46,558,8.243727599,forest,deciduous forest,Deciduous Forest,#68AA63
29,cthm-02,9,2025,42,164,558,29.390681,forest,evergreen forest,Evergreen Forest,#1C6330
29,cthm-02,9,2025,43,116,558,20.78853047,forest,mixed forest,Mixed Forest,#B5C98E
29,cthm-02,9,2025,71,24,558,4.301075269,herbaceous,herbaceous,Grassland/Herbaceous,#E2E2C1
29,cthm-02,9,2025,81,89,558,15.94982079,planted,pasture,Pasture/Hay,#DBD83D
29,cthm-02,9,2025,82,1,558,0.17921147,planted,cultivated crops,Cultivated Crops,#AA7028
30,cthm-02,10,2025,11,6,560,1.071428571,water,water,Open Water,#476BA0
30,cthm-02,10,2025,21,43,560,7.678571429,developed,developed,"Developed, Open Space",#DDC9C9
30,cthm-02,10,2025,22,27,560,4.821428571,developed,developed,"Developed, Low Intensity",#D89382
30,cthm-02,10,2025,41,3,560,0.535714286,forest,deciduous forest,Deciduous Forest,#68AA63
30,cthm-02,10,2025,42,294,560,52.5,forest,evergreen forest,Evergreen Forest,#1C6330
30,cthm-02,10,2025,43,100,560,17.85714286,forest,mixed forest,Mixed Forest,#B5C98E
30,cthm-02,10,2025,52,17,560,3.035714286,shrubland,shrubland,Scrub/Shrub,#CCBA7C
30,cthm-02,10,2025,71,36,560,6.428571429,herbaceous,herbaceous,Grassland/Herbaceous,#E2E2C1
30,cthm-02,10,2025,81,34,560,6.071428571,planted,pasture,Pasture/Hay,#DBD83D
31,cthm-02,11,2025,21,56,560,10,developed,developed,"Developed, Open Space",#DDC9C9
31,cthm-02,11,2025,22,61,560,10.89285714,developed,developed,"Developed, Low Intensity",#D89382
31,cthm-02,11,2025,23,11,560,1.964285714,developed,developed,"Developed, Medium Intensity",#ED0000
31,cthm-02,11,2025,24,1,560,0.178571429,developed,developed,"Developed, High Intensity",#AA0000
31,cthm-02,11,2025,41,11,560,1.964285714,forest,deciduous forest,Deciduous Forest,#68AA63
31,cthm-02,11,2025,42,261,560,46.60714286,forest,evergreen forest,Evergreen Forest,#1C6330
31,cthm-02,11,2025,43,113,560,20.17857143,forest,mixed forest,Mixed Forest,#B5C98E
31,cthm-02,11,2025,71,4,560,0.714285714,herbaceous,herbaceous,Grassland/Herbaceous,#E2E2C1
31,cthm-02,11,2025,81,20,560,3.571428571,planted,pasture,Pasture/Hay,#DBD83D
31,cthm-02,11,2025,90,22,560,3.928571429,wetlands,wetlands,Woody Wetlands,#BAD8EA
32,cthm-02,12,2025,11,121,555,21.8018018,water,water,Open Water,#476BA0
32,cthm-02,12,2025,21,34,555,6.126126126,developed,developed,"Developed, Open Space",#DDC9C9
32,cthm-02,12,2025,22,39,555,7.027027027,developed,developed,"Developed, Low Intensity",#D89382
32,cthm-02,12,2025,23,3,555,0.540540541,developed,developed,"Developed, Medium Intensity",#ED0000
32,cthm-02,12,2025,41,21,555,3.783783784,forest,deciduous forest,Deciduous Forest,#68AA63
32,cthm-02,12,2025,42,167,555,30.09009009,forest,evergreen forest,Evergreen Forest,#1C6330
32,cthm-02,12,2025,43,73,555,13.15315315,forest,mixed forest,Mixed Forest,#B5C98E
32,cthm-02,12,2025,71,6,555,1.081081081,herbaceous,herbaceous,Grassland/Herbaceous,#E2E2C1
32,cthm-02,12,2025,90,71,555,12.79279279,wetlands,wetlands,Woody Wetlands,#BAD8EA
32,cthm-02,12,2025,95,20,555,3.603603604,wetlands,wetlands,Emergent Herbaceous Wetlands,#70A3BA
33,cthm-02,13,2025,21,28,558,5.017921147,developed,developed,"Developed, Open Space",#DDC9C9
33,cthm-02,13,2025,22,41,558,7.347670251,developed,developed,"Developed, Low Intensity",#D89382
33,cthm-02,13,2025,23,28,558,5.017921147,developed,developed,"Developed, Medium Intensity",#ED0000
33,cthm-02,13,2025,41,53,558,9.498207885,forest,deciduous forest,Deciduous Forest,#68AA63
33,cthm-02,13,2025,42,243,558,43.5483871,forest,evergreen forest,Evergreen Forest,#1C6330
33,cthm-02,13,2025,43,99,558,17.74193548,forest,mixed forest,Mixed Forest,#B5C98E
33,cthm-02,13,2025,52,2,558,0.358422939,shrubland,shrubland,Scrub/Shrub,#CCBA7C
