"route","stop_num","year","perc_barren"
"cthm-02",9,1999,0.3584229390681
"cthm-03",15,1999,3.6036036036036
"cthm-09",20,1999,2.15439856373429
"cthm-10",14,1999,0.894454382826476
"cthm-10",15,1999,0.359712230215827
"cthm-14",1,1999,1.07719928186715
"drhm-04",12,1999,0.180505415162455
"drhm-04",13,1999,0.359712230215827
"drhm-04",19,1999,7.1301247771836
"drhm-08",13,1999,0.359066427289048
"orng-06",12,1999,7.66488413547237
"cthm-03",15,2000,3.6036036036036
"cthm-09",20,2000,1.79533213644524
"cthm-10",14,2000,0.894454382826476
"cthm-10",15,2000,0.359712230215827
"cthm-14",1,2000,1.07719928186715
"drhm-04",12,2000,0.180505415162455
"drhm-04",13,2000,0.359712230215827
"drhm-04",19,2000,7.1301247771836
"drhm-08",13,2000,0.359066427289048
"orng-06",12,2000,7.66488413547237
"cthm-03",15,2001,3.6036036036036
"cthm-09",20,2001,1.97486535008977
"cthm-10",14,2001,0.894454382826476
"cthm-10",15,2001,0.359712230215827
"cthm-14",1,2001,1.07719928186715
"drhm-04",13,2001,0.179856115107914
"drhm-04",19,2001,7.1301247771836
"drhm-08",13,2001,1.43626570915619
"orng-06",12,2001,7.30837789661319
"cthm-03",15,2002,3.6036036036036
"cthm-09",20,2002,2.15439856373429
"cthm-10",14,2002,0.715563506261181
"cthm-10",15,2002,0.359712230215827
"cthm-14",1,2002,1.07719928186715
"drhm-04",19,2002,8.37789661319073
"drhm-08",13,2002,1.25673249551167
"orng-01",15,2002,0.53475935828877
"orng-06",12,2002,6.95187165775401
"cthm-03",15,2003,3.6036036036036
"cthm-09",20,2003,2.15439856373429
"cthm-10",14,2003,0.715563506261181
"cthm-10",15,2003,0.359712230215827
"cthm-14",1,2003,1.07719928186715
"drhm-04",19,2003,11.2299465240642
"drhm-08",13,2003,0.359066427289048
"drhm-08",15,2003,1.7825311942959
"orng-01",15,2003,0.53475935828877
"orng-06",12,2003,4.45632798573975
"cthm-03",9,2004,0.54249547920434
"cthm-03",15,2004,3.6036036036036
"cthm-09",20,2004,2.15439856373429
"cthm-10",14,2004,0.715563506261181
"cthm-10",15,2004,0.359712230215827
"cthm-14",1,2004,1.07719928186715
"drhm-04",19,2004,11.4081996434938
"drhm-08",13,2004,0.359066427289048
"orng-06",12,2004,4.27807486631016
"cthm-03",9,2005,1.08499095840868
"cthm-03",15,2005,3.6036036036036
"cthm-09",20,2005,2.15439856373429
"cthm-10",14,2005,0.715563506261181
"cthm-10",15,2005,0.359712230215827
"cthm-13",6,2005,0.35650623885918
"cthm-14",1,2005,1.07719928186715
"drhm-04",19,2005,11.4081996434938
"drhm-08",13,2005,0.359066427289048
"orng-06",12,2005,4.09982174688057
"cthm-02",15,2006,0.17825311942959
"cthm-03",9,2006,1.80831826401447
"cthm-03",15,2006,3.78378378378378
"cthm-09",20,2006,2.15439856373429
"cthm-10",14,2006,0.715563506261181
"cthm-10",15,2006,0.359712230215827
"cthm-13",6,2006,0.35650623885918
"cthm-14",1,2006,1.07719928186715
"drhm-04",19,2006,11.5864527629234
"drhm-08",13,2006,0.179533213644524
"orng-06",12,2006,3.92156862745098
"cthm-03",9,2007,1.80831826401447
"cthm-03",15,2007,3.78378378378378
"cthm-09",20,2007,1.97486535008977
"cthm-10",14,2007,0.715563506261181
"cthm-10",15,2007,0.359712230215827
"cthm-13",6,2007,0.17825311942959
"cthm-14",1,2007,1.07719928186715
"drhm-04",19,2007,11.7647058823529
"drhm-08",13,2007,0.179533213644524
"orng-06",12,2007,3.92156862745098
"cthm-03",9,2008,1.44665461121157
"cthm-03",15,2008,6.30630630630631
"cthm-09",20,2008,2.15439856373429
"cthm-10",14,2008,0.715563506261181
"cthm-10",15,2008,0.359712230215827
"cthm-13",6,2008,0.17825311942959
"cthm-14",1,2008,1.07719928186715
"drhm-04",19,2008,12.2994652406417
"drhm-08",13,2008,0.179533213644524
"orng-06",12,2008,3.92156862745098
"cthm-03",9,2009,1.44665461121157
"cthm-03",15,2009,6.84684684684685
"cthm-09",20,2009,2.15439856373429
"cthm-10",14,2009,0.715563506261181
"cthm-10",15,2009,0.359712230215827
"cthm-14",1,2009,1.07719928186715
"drhm-04",19,2009,12.2994652406417
"drhm-08",13,2009,0.179533213644524
"orng-06",12,2009,3.92156862745098
"cthm-03",9,2010,1.26582278481013
"cthm-03",15,2010,11.5315315315315
"cthm-09",20,2010,2.15439856373429
"cthm-10",14,2010,0.715563506261181
"cthm-10",15,2010,0.359712230215827
"cthm-14",1,2010,1.07719928186715
"drhm-04",19,2010,12.2994652406417
"orng-06",12,2010,3.92156862745098
"cthm-03",9,2011,1.26582278481013
"cthm-03",15,2011,11.8918918918919
"cthm-09",20,2011,2.15439856373429
"cthm-10",14,2011,0.715563506261181
