"County_Route","nlcd","year","routequarter","frequency","totpix","class","ijbg_class","description","color","percent"
"Chatham-01","11",2001,1,9,2793,"water","water","Open Water","#476BA0",0.322234156820623
"Chatham-01","11",2004,1,23,2793,"water","water","Open Water","#476BA0",0.823487289652703
"Chatham-01","11",2006,1,24,2793,"water","water","Open Water","#476BA0",0.859291084854995
"Chatham-01","11",2008,1,23,2793,"water","water","Open Water","#476BA0",0.823487289652703
"Chatham-01","11",2011,1,24,2793,"water","water","Open Water","#476BA0",0.859291084854995
"Chatham-01","11",2013,1,22,2793,"water","water","Open Water","#476BA0",0.787683494450412
"Chatham-01","11",2016,1,23,2793,"water","water","Open Water","#476BA0",0.823487289652703
"Chatham-01","11",2019,1,23,2793,"water","water","Open Water","#476BA0",0.823487289652703
"Chatham-01","11",2021,1,23,2793,"water","water","Open Water","#476BA0",0.823487289652703
"Chatham-01","21",2001,1,337,2793,"developed","developed","Developed, Open Space","#DDC9C9",12.0658789831722
"Chatham-01","21",2004,1,337,2793,"developed","developed","Developed, Open Space","#DDC9C9",12.0658789831722
"Chatham-01","21",2006,1,337,2793,"developed","developed","Developed, Open Space","#DDC9C9",12.0658789831722
"Chatham-01","21",2008,1,337,2793,"developed","developed","Developed, Open Space","#DDC9C9",12.0658789831722
"Chatham-01","21",2011,1,337,2793,"developed","developed","Developed, Open Space","#DDC9C9",12.0658789831722
"Chatham-01","21",2013,1,337,2793,"developed","developed","Developed, Open Space","#DDC9C9",12.0658789831722
"Chatham-01","21",2016,1,337,2793,"developed","developed","Developed, Open Space","#DDC9C9",12.0658789831722
"Chatham-01","21",2019,1,377,2793,"developed","developed","Developed, Open Space","#DDC9C9",13.4980307912639
"Chatham-01","21",2021,1,377,2793,"developed","developed","Developed, Open Space","#DDC9C9",13.4980307912639
"Chatham-01","22",2001,1,59,2793,"developed","developed","Developed, Low Intensity","#D89382",2.1124239169352
"Chatham-01","22",2004,1,59,2793,"developed","developed","Developed, Low Intensity","#D89382",2.1124239169352
"Chatham-01","22",2006,1,59,2793,"developed","developed","Developed, Low Intensity","#D89382",2.1124239169352
"Chatham-01","22",2008,1,59,2793,"developed","developed","Developed, Low Intensity","#D89382",2.1124239169352
"Chatham-01","22",2011,1,59,2793,"developed","developed","Developed, Low Intensity","#D89382",2.1124239169352
"Chatham-01","22",2013,1,59,2793,"developed","developed","Developed, Low Intensity","#D89382",2.1124239169352
"Chatham-01","22",2016,1,59,2793,"developed","developed","Developed, Low Intensity","#D89382",2.1124239169352
"Chatham-01","22",2019,1,93,2793,"developed","developed","Developed, Low Intensity","#D89382",3.3297529538131
"Chatham-01","22",2021,1,93,2793,"developed","developed","Developed, Low Intensity","#D89382",3.3297529538131
"Chatham-01","23",2001,1,8,2793,"developed","developed","Developed, Medium Intensity","#ED0000",0.286430361618332
"Chatham-01","23",2004,1,8,2793,"developed","developed","Developed, Medium Intensity","#ED0000",0.286430361618332
"Chatham-01","23",2006,1,11,2793,"developed","developed","Developed, Medium Intensity","#ED0000",0.393841747225206
"Chatham-01","23",2008,1,11,2793,"developed","developed","Developed, Medium Intensity","#ED0000",0.393841747225206
"Chatham-01","23",2011,1,11,2793,"developed","developed","Developed, Medium Intensity","#ED0000",0.393841747225206
"Chatham-01","23",2013,1,11,2793,"developed","developed","Developed, Medium Intensity","#ED0000",0.393841747225206
"Chatham-01","23",2016,1,11,2793,"developed","developed","Developed, Medium Intensity","#ED0000",0.393841747225206
"Chatham-01","23",2019,1,37,2793,"developed","developed","Developed, Medium Intensity","#ED0000",1.32474042248478
"Chatham-01","23",2021,1,37,2793,"developed","developed","Developed, Medium Intensity","#ED0000",1.32474042248478
"Chatham-01","24",2001,1,0,2793,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2004,1,0,2793,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2006,1,0,2793,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2008,1,0,2793,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2011,1,0,2793,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2013,1,0,2793,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2016,1,0,2793,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2019,1,3,2793,"developed","developed","Developed, High Intensity","#AA0000",0.107411385606874
"Chatham-01","24",2021,1,3,2793,"developed","developed","Developed, High Intensity","#AA0000",0.107411385606874
"Chatham-01","31",2001,1,7,2793,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.25062656641604
"Chatham-01","31",2004,1,2,2793,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0716075904045829
"Chatham-01","31",2006,1,1,2793,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0358037952022914
"Chatham-01","31",2008,1,2,2793,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0716075904045829
"Chatham-01","31",2011,1,1,2793,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.0358037952022914
"Chatham-01","31",2013,1,3,2793,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.107411385606874
"Chatham-01","31",2016,1,5,2793,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.179018976011457
"Chatham-01","31",2019,1,3,2793,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.107411385606874
"Chatham-01","31",2021,1,3,2793,"barren","barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",0.107411385606874
"Chatham-01","41",2001,1,906,2793,"forest","deciduous forest","Deciduous Forest","#68AA63",32.438238453276
"Chatham-01","41",2004,1,874,2793,"forest","deciduous forest","Deciduous Forest","#68AA63",31.2925170068027
"Chatham-01","41",2006,1,873,2793,"forest","deciduous forest","Deciduous Forest","#68AA63",31.2567132116004
"Chatham-01","41",2008,1,876,2793,"forest","deciduous forest","Deciduous Forest","#68AA63",31.3641245972073
"Chatham-01","41",2011,1,876,2793,"forest","deciduous forest","Deciduous Forest","#68AA63",31.3641245972073
"Chatham-01","41",2013,1,876,2793,"forest","deciduous forest","Deciduous Forest","#68AA63",31.3641245972073
"Chatham-01","41",2016,1,872,2793,"forest","deciduous forest","Deciduous Forest","#68AA63",31.2209094163981
"Chatham-01","41",2019,1,829,2793,"forest","deciduous forest","Deciduous Forest","#68AA63",29.6813462226996
"Chatham-01","41",2021,1,829,2793,"forest","deciduous forest","Deciduous Forest","#68AA63",29.6813462226996
