"ID","route","stop_num","year","nlcd_code","count","numpix","percent","class","ijbg_class","description","color"
1,"cthm-01",1,2011,81,20,560,3.57142857142857,"planted","pasture","Pasture/Hay","#DBD83D"
1,"cthm-01",1,2011,90,4,560,0.714285714285714,"wetlands","wetlands","Woody Wetlands","#BAD8EA"
1,"cthm-01",1,2012,21,81,560,14.4642857142857,"developed","developed","Developed, Open Space","#DDC9C9"
1,"cthm-01",1,2012,22,5,560,0.892857142857143,"developed","developed","Developed, Low Intensity","#D89382"
1,"cthm-01",1,2012,23,1,560,0.178571428571429,"developed","developed","Developed, Medium Intensity","#ED0000"
1,"cthm-01",1,2012,41,224,560,40,"forest","deciduous forest","Deciduous Forest","#68AA63"
1,"cthm-01",1,2012,42,52,560,9.28571428571429,"forest","evergreen forest","Evergreen Forest","#1C6330"
1,"cthm-01",1,2012,43,153,560,27.3214285714286,"forest","mixed forest","Mixed Forest","#B5C98E"
1,"cthm-01",1,2012,52,20,560,3.57142857142857,"shrubland","shrubland","Scrub/Shrub","#CCBA7C"
1,"cthm-01",1,2012,71,1,560,0.178571428571429,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1"
1,"cthm-01",1,2012,81,19,560,3.39285714285714,"planted","pasture","Pasture/Hay","#DBD83D"
1,"cthm-01",1,2012,90,4,560,0.714285714285714,"wetlands","wetlands","Woody Wetlands","#BAD8EA"
1,"cthm-01",1,2013,21,81,560,14.4642857142857,"developed","developed","Developed, Open Space","#DDC9C9"
1,"cthm-01",1,2013,22,5,560,0.892857142857143,"developed","developed","Developed, Low Intensity","#D89382"
1,"cthm-01",1,2013,23,1,560,0.178571428571429,"developed","developed","Developed, Medium Intensity","#ED0000"
1,"cthm-01",1,2013,41,224,560,40,"forest","deciduous forest","Deciduous Forest","#68AA63"
1,"cthm-01",1,2013,42,66,560,11.7857142857143,"forest","evergreen forest","Evergreen Forest","#1C6330"
1,"cthm-01",1,2013,43,155,560,27.6785714285714,"forest","mixed forest","Mixed Forest","#B5C98E"
1,"cthm-01",1,2013,52,4,560,0.714285714285714,"shrubland","shrubland","Scrub/Shrub","#CCBA7C"
1,"cthm-01",1,2013,71,1,560,0.178571428571429,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1"
1,"cthm-01",1,2013,81,19,560,3.39285714285714,"planted","pasture","Pasture/Hay","#DBD83D"
1,"cthm-01",1,2013,90,4,560,0.714285714285714,"wetlands","wetlands","Woody Wetlands","#BAD8EA"
1,"cthm-01",1,2014,21,81,560,14.4642857142857,"developed","developed","Developed, Open Space","#DDC9C9"
1,"cthm-01",1,2014,22,5,560,0.892857142857143,"developed","developed","Developed, Low Intensity","#D89382"
1,"cthm-01",1,2014,23,1,560,0.178571428571429,"developed","developed","Developed, Medium Intensity","#ED0000"
1,"cthm-01",1,2014,41,224,560,40,"forest","deciduous forest","Deciduous Forest","#68AA63"
1,"cthm-01",1,2014,42,69,560,12.3214285714286,"forest","evergreen forest","Evergreen Forest","#1C6330"
1,"cthm-01",1,2014,43,155,560,27.6785714285714,"forest","mixed forest","Mixed Forest","#B5C98E"
1,"cthm-01",1,2014,52,1,560,0.178571428571429,"shrubland","shrubland","Scrub/Shrub","#CCBA7C"
1,"cthm-01",1,2014,71,1,560,0.178571428571429,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1"
1,"cthm-01",1,2014,81,19,560,3.39285714285714,"planted","pasture","Pasture/Hay","#DBD83D"
1,"cthm-01",1,2014,90,4,560,0.714285714285714,"wetlands","wetlands","Woody Wetlands","#BAD8EA"
1,"cthm-01",1,2015,21,81,560,14.4642857142857,"developed","developed","Developed, Open Space","#DDC9C9"
1,"cthm-01",1,2015,22,5,560,0.892857142857143,"developed","developed","Developed, Low Intensity","#D89382"
1,"cthm-01",1,2015,23,1,560,0.178571428571429,"developed","developed","Developed, Medium Intensity","#ED0000"
1,"cthm-01",1,2015,41,224,560,40,"forest","deciduous forest","Deciduous Forest","#68AA63"
1,"cthm-01",1,2015,42,70,560,12.5,"forest","evergreen forest","Evergreen Forest","#1C6330"
1,"cthm-01",1,2015,43,155,560,27.6785714285714,"forest","mixed forest","Mixed Forest","#B5C98E"
1,"cthm-01",1,2015,71,1,560,0.178571428571429,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1"
1,"cthm-01",1,2015,81,19,560,3.39285714285714,"planted","pasture","Pasture/Hay","#DBD83D"
1,"cthm-01",1,2015,90,4,560,0.714285714285714,"wetlands","wetlands","Woody Wetlands","#BAD8EA"
1,"cthm-01",1,2016,21,83,560,14.8214285714286,"developed","developed","Developed, Open Space","#DDC9C9"
1,"cthm-01",1,2016,22,4,560,0.714285714285714,"developed","developed","Developed, Low Intensity","#D89382"
1,"cthm-01",1,2016,41,224,560,40,"forest","deciduous forest","Deciduous Forest","#68AA63"
1,"cthm-01",1,2016,42,70,560,12.5,"forest","evergreen forest","Evergreen Forest","#1C6330"
1,"cthm-01",1,2016,43,155,560,27.6785714285714,"forest","mixed forest","Mixed Forest","#B5C98E"
1,"cthm-01",1,2016,71,1,560,0.178571428571429,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1"
1,"cthm-01",1,2016,81,19,560,3.39285714285714,"planted","pasture","Pasture/Hay","#DBD83D"
1,"cthm-01",1,2016,90,4,560,0.714285714285714,"wetlands","wetlands","Woody Wetlands","#BAD8EA"
1,"cthm-01",1,2017,21,84,560,15,"developed","developed","Developed, Open Space","#DDC9C9"
1,"cthm-01",1,2017,22,4,560,0.714285714285714,"developed","developed","Developed, Low Intensity","#D89382"
1,"cthm-01",1,2017,41,223,560,39.8214285714286,"forest","deciduous forest","Deciduous Forest","#68AA63"
1,"cthm-01",1,2017,42,70,560,12.5,"forest","evergreen forest","Evergreen Forest","#1C6330"
1,"cthm-01",1,2017,43,156,560,27.8571428571429,"forest","mixed forest","Mixed Forest","#B5C98E"
1,"cthm-01",1,2017,71,1,560,0.178571428571429,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1"
1,"cthm-01",1,2017,81,18,560,3.21428571428571,"planted","pasture","Pasture/Hay","#DBD83D"
1,"cthm-01",1,2017,90,4,560,0.714285714285714,"wetlands","wetlands","Woody Wetlands","#BAD8EA"
1,"cthm-01",1,2018,21,84,560,15,"developed","developed","Developed, Open Space","#DDC9C9"
1,"cthm-01",1,2018,22,4,560,0.714285714285714,"developed","developed","Developed, Low Intensity","#D89382"
1,"cthm-01",1,2018,41,223,560,39.8214285714286,"forest","deciduous forest","Deciduous Forest","#68AA63"
1,"cthm-01",1,2018,42,70,560,12.5,"forest","evergreen forest","Evergreen Forest","#1C6330"
1,"cthm-01",1,2018,43,156,560,27.8571428571429,"forest","mixed forest","Mixed Forest","#B5C98E"
1,"cthm-01",1,2018,71,1,560,0.178571428571429,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1"
1,"cthm-01",1,2018,81,18,560,3.21428571428571,"planted","pasture","Pasture/Hay","#DBD83D"
1,"cthm-01",1,2018,90,4,560,0.714285714285714,"wetlands","wetlands","Woody Wetlands","#BAD8EA"
1,"cthm-01",1,2019,21,84,560,15,"developed","developed","Developed, Open Space","#DDC9C9"
1,"cthm-01",1,2019,22,4,560,0.714285714285714,"developed","developed","Developed, Low Intensity","#D89382"
1,"cthm-01",1,2019,41,223,560,39.8214285714286,"forest","deciduous forest","Deciduous Forest","#68AA63"
1,"cthm-01",1,2019,42,70,560,12.5,"forest","evergreen forest","Evergreen Forest","#1C6330"
1,"cthm-01",1,2019,43,156,560,27.8571428571429,"forest","mixed forest","Mixed Forest","#B5C98E"
1,"cthm-01",1,2019,71,1,560,0.178571428571429,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1"
1,"cthm-01",1,2019,81,18,560,3.21428571428571,"planted","pasture","Pasture/Hay","#DBD83D"
1,"cthm-01",1,2019,90,4,560,0.714285714285714,"wetlands","wetlands","Woody Wetlands","#BAD8EA"
1,"cthm-01",1,2020,21,84,560,15,"developed","developed","Developed, Open Space","#DDC9C9"
1,"cthm-01",1,2020,22,4,560,0.714285714285714,"developed","developed","Developed, Low Intensity","#D89382"
1,"cthm-01",1,2020,41,223,560,39.8214285714286,"forest","deciduous forest","Deciduous Forest","#68AA63"
1,"cthm-01",1,2020,42,70,560,12.5,"forest","evergreen forest","Evergreen Forest","#1C6330"
1,"cthm-01",1,2020,43,156,560,27.8571428571429,"forest","mixed forest","Mixed Forest","#B5C98E"
1,"cthm-01",1,2020,71,1,560,0.178571428571429,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1"
1,"cthm-01",1,2020,81,18,560,3.21428571428571,"planted","pasture","Pasture/Hay","#DBD83D"
1,"cthm-01",1,2020,90,4,560,0.714285714285714,"wetlands","wetlands","Woody Wetlands","#BAD8EA"
1,"cthm-01",1,2021,21,84,560,15,"developed","developed","Developed, Open Space","#DDC9C9"
1,"cthm-01",1,2021,22,4,560,0.714285714285714,"developed","developed","Developed, Low Intensity","#D89382"
1,"cthm-01",1,2021,41,223,560,39.8214285714286,"forest","deciduous forest","Deciduous Forest","#68AA63"
1,"cthm-01",1,2021,42,70,560,12.5,"forest","evergreen forest","Evergreen Forest","#1C6330"
1,"cthm-01",1,2021,43,156,560,27.8571428571429,"forest","mixed forest","Mixed Forest","#B5C98E"
1,"cthm-01",1,2021,71,1,560,0.178571428571429,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1"
1,"cthm-01",1,2021,81,18,560,3.21428571428571,"planted","pasture","Pasture/Hay","#DBD83D"
1,"cthm-01",1,2021,90,4,560,0.714285714285714,"wetlands","wetlands","Woody Wetlands","#BAD8EA"
1,"cthm-01",1,2022,21,84,560,15,"developed","developed","Developed, Open Space","#DDC9C9"
1,"cthm-01",1,2022,22,4,560,0.714285714285714,"developed","developed","Developed, Low Intensity","#D89382"
1,"cthm-01",1,2022,41,223,560,39.8214285714286,"forest","deciduous forest","Deciduous Forest","#68AA63"
1,"cthm-01",1,2022,42,71,560,12.6785714285714,"forest","evergreen forest","Evergreen Forest","#1C6330"
1,"cthm-01",1,2022,43,155,560,27.6785714285714,"forest","mixed forest","Mixed Forest","#B5C98E"
1,"cthm-01",1,2022,71,1,560,0.178571428571429,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1"
1,"cthm-01",1,2022,81,18,560,3.21428571428571,"planted","pasture","Pasture/Hay","#DBD83D"
1,"cthm-01",1,2022,90,4,560,0.714285714285714,"wetlands","wetlands","Woody Wetlands","#BAD8EA"
1,"cthm-01",1,2023,21,84,560,15,"developed","developed","Developed, Open Space","#DDC9C9"
1,"cthm-01",1,2023,22,4,560,0.714285714285714,"developed","developed","Developed, Low Intensity","#D89382"
1,"cthm-01",1,2023,41,223,560,39.8214285714286,"forest","deciduous forest","Deciduous Forest","#68AA63"
1,"cthm-01",1,2023,42,72,560,12.8571428571429,"forest","evergreen forest","Evergreen Forest","#1C6330"
1,"cthm-01",1,2023,43,154,560,27.5,"forest","mixed forest","Mixed Forest","#B5C98E"
1,"cthm-01",1,2023,71,1,560,0.178571428571429,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1"
1,"cthm-01",1,2023,81,18,560,3.21428571428571,"planted","pasture","Pasture/Hay","#DBD83D"
1,"cthm-01",1,2023,90,4,560,0.714285714285714,"wetlands","wetlands","Woody Wetlands","#BAD8EA"
1,"cthm-01",1,2024,21,84,560,15,"developed","developed","Developed, Open Space","#DDC9C9"
1,"cthm-01",1,2024,22,4,560,0.714285714285714,"developed","developed","Developed, Low Intensity","#D89382"
1,"cthm-01",1,2024,41,223,560,39.8214285714286,"forest","deciduous forest","Deciduous Forest","#68AA63"
1,"cthm-01",1,2024,42,72,560,12.8571428571429,"forest","evergreen forest","Evergreen Forest","#1C6330"
1,"cthm-01",1,2024,43,154,560,27.5,"forest","mixed forest","Mixed Forest","#B5C98E"
1,"cthm-01",1,2024,71,1,560,0.178571428571429,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1"
1,"cthm-01",1,2024,81,18,560,3.21428571428571,"planted","pasture","Pasture/Hay","#DBD83D"
1,"cthm-01",1,2024,90,4,560,0.714285714285714,"wetlands","wetlands","Woody Wetlands","#BAD8EA"
1,"cthm-01",1,2025,21,84,561,14.97326203,"developed","developed","Developed, Open Space","#DDC9C9"
1,"cthm-01",1,2025,22,4,561,0.713012478,"developed","developed","Developed, Low Intensity","#D89382"
1,"cthm-01",1,2025,41,223,561,39.75044563,"forest","deciduous forest","Deciduous Forest","#68AA63"
1,"cthm-01",1,2025,42,72,561,12.8342246,"forest","evergreen forest","Evergreen Forest","#1C6330"
1,"cthm-01",1,2025,43,155,561,27.62923351,"forest","mixed forest","Mixed Forest","#B5C98E"
1,"cthm-01",1,2025,71,1,561,0.178253119,"herbaceous","herbaceous","Grassland/Herbaceous","#E2E2C1"
1,"cthm-01",1,2025,81,18,561,3.20855615,"planted","pasture","Pasture/Hay","#DBD83D"
1,"cthm-01",1,2025,90,4,561,0.713012478,"wetlands","wetlands","Woody Wetlands","#BAD8EA"
2,"cthm-01",2,1999,21,50,558,8.96057347670251,"developed","developed","Developed, Open Space","#DDC9C9"
2,"cthm-01",2,1999,22,2,558,0.3584229390681,"developed","developed","Developed, Low Intensity","#D89382"
2,"cthm-01",2,1999,23,3,558,0.537634408602151,"developed","developed","Developed, Medium Intensity","#ED0000"
