"County_Route","nlcd","year","routehalf","frequency","totpix","class","ijbg_class","description","color","percent"
"Chatham-01","11",2001,1,23,5578,"water","water","Open Water","#476BA0",0.412334169953388
"Chatham-01","11",2004,1,37,5578,"water","water","Open Water","#476BA0",0.663320186446755
"Chatham-01","11",2006,1,39,5578,"water","water","Open Water","#476BA0",0.699175331660093
"Chatham-01","11",2008,1,36,5578,"water","water","Open Water","#476BA0",0.645392613840086
"Chatham-01","11",2011,1,37,5578,"water","water","Open Water","#476BA0",0.663320186446755
"Chatham-01","11",2013,1,36,5578,"water","water","Open Water","#476BA0",0.645392613840086
"Chatham-01","11",2016,1,37,5578,"water","water","Open Water","#476BA0",0.663320186446755
"Chatham-01","11",2019,1,37,5578,"water","water","Open Water","#476BA0",0.663320186446755
"Chatham-01","11",2021,1,36,5578,"water","water","Open Water","#476BA0",0.645392613840086
"Chatham-01","21",2001,1,651,5578,"developed","developed","Developed, Open Space","#DDC9C9",11.6708497669416
"Chatham-01","21",2004,1,651,5578,"developed","developed","Developed, Open Space","#DDC9C9",11.6708497669416
"Chatham-01","21",2006,1,651,5578,"developed","developed","Developed, Open Space","#DDC9C9",11.6708497669416
"Chatham-01","21",2008,1,651,5578,"developed","developed","Developed, Open Space","#DDC9C9",11.6708497669416
"Chatham-01","21",2011,1,651,5578,"developed","developed","Developed, Open Space","#DDC9C9",11.6708497669416
"Chatham-01","21",2013,1,651,5578,"developed","developed","Developed, Open Space","#DDC9C9",11.6708497669416
"Chatham-01","21",2016,1,651,5578,"developed","developed","Developed, Open Space","#DDC9C9",11.6708497669416
"Chatham-01","21",2019,1,720,5578,"developed","developed","Developed, Open Space","#DDC9C9",12.9078522768017
"Chatham-01","21",2021,1,720,5578,"developed","developed","Developed, Open Space","#DDC9C9",12.9078522768017
"Chatham-01","22",2001,1,77,5578,"developed","developed","Developed, Low Intensity","#D89382",1.38042309071352
"Chatham-01","22",2004,1,77,5578,"developed","developed","Developed, Low Intensity","#D89382",1.38042309071352
"Chatham-01","22",2006,1,78,5578,"developed","developed","Developed, Low Intensity","#D89382",1.39835066332019
"Chatham-01","22",2008,1,78,5578,"developed","developed","Developed, Low Intensity","#D89382",1.39835066332019
"Chatham-01","22",2011,1,78,5578,"developed","developed","Developed, Low Intensity","#D89382",1.39835066332019
"Chatham-01","22",2013,1,78,5578,"developed","developed","Developed, Low Intensity","#D89382",1.39835066332019
"Chatham-01","22",2016,1,78,5578,"developed","developed","Developed, Low Intensity","#D89382",1.39835066332019
"Chatham-01","22",2019,1,126,5578,"developed","developed","Developed, Low Intensity","#D89382",2.2588741484403
"Chatham-01","22",2021,1,125,5578,"developed","developed","Developed, Low Intensity","#D89382",2.24094657583363
"Chatham-01","23",2001,1,12,5578,"developed","developed","Developed, Medium Intensity","#ED0000",0.215130871280029
"Chatham-01","23",2004,1,12,5578,"developed","developed","Developed, Medium Intensity","#ED0000",0.215130871280029
"Chatham-01","23",2006,1,15,5578,"developed","developed","Developed, Medium Intensity","#ED0000",0.268913589100036
"Chatham-01","23",2008,1,15,5578,"developed","developed","Developed, Medium Intensity","#ED0000",0.268913589100036
"Chatham-01","23",2011,1,15,5578,"developed","developed","Developed, Medium Intensity","#ED0000",0.268913589100036
"Chatham-01","23",2013,1,15,5578,"developed","developed","Developed, Medium Intensity","#ED0000",0.268913589100036
"Chatham-01","23",2016,1,15,5578,"developed","developed","Developed, Medium Intensity","#ED0000",0.268913589100036
"Chatham-01","23",2019,1,63,5578,"developed","developed","Developed, Medium Intensity","#ED0000",1.12943707422015
"Chatham-01","23",2021,1,64,5578,"developed","developed","Developed, Medium Intensity","#ED0000",1.14736464682682
"Chatham-01","24",2001,1,0,5578,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2004,1,0,5578,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2006,1,0,5578,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2008,1,0,5578,"developed","developed","Developed, High Intensity","#AA0000",0
"Chatham-01","24",2011,1,0,5578,"developed","developed","Developed, High Intensity","#AA0000",0
