"route","stop_num","year","perc_grassland_stop","quarter_route","perc_grassland_quarter"
"cthm-01",1,1999,3.92156862745098,1,11.7133008570942
"cthm-01",1,2000,3.20855614973262,1,11.2219887036753
"cthm-01",1,2001,3.20855614973262,1,11.3561568610993
"cthm-01",1,2002,3.20855614973262,1,13.3686792224588
"cthm-01",1,2003,3.20855614973262,1,11.6232787813058
"cthm-01",1,2004,3.38680926916221,1,11.1940719152477
"cthm-01",1,2005,3.38680926916221,1,11.2658236221661
"cthm-01",1,2006,6.95187165775401,1,11.9074714192792
"cthm-01",1,2007,7.48663101604278,1,11.8713703362467
"cthm-01",1,2008,7.66488413547237,1,11.6568244637637
"cthm-01",1,2009,7.66488413547237,1,11.2644759309977
"cthm-01",1,2010,7.66488413547237,1,11.0489657073882
"cthm-01",1,2011,7.66488413547237,1,11.084808001295
"cthm-01",1,2012,7.1301247771836,1,10.9777920110435
"cthm-01",1,2013,4.27807486631016,1,10.2999833843359
"cthm-01",1,2014,3.74331550802139,1,10.2288096879912
"cthm-01",1,2015,3.5650623885918,1,10.1211552548437
"cthm-01",1,2016,3.5650623885918,1,10.1211552548436
"cthm-01",1,2017,3.38680926916221,1,9.94226369251798
"cthm-01",1,2018,3.38680926916221,1,14.5663039748693
"cthm-01",1,2019,3.38680926916221,1,14.521581255728
"cthm-01",1,2020,3.38680926916221,1,14.5215011074858
"cthm-01",1,2021,3.38680926916221,1,14.3871726535775
"cthm-01",1,2022,3.38680926916221,1,14.4320548120027
"cthm-01",1,2023,3.38680926916221,1,14.2536422532892
"cthm-01",2,1999,33.4525939177102,1,11.7133008570942
"cthm-01",2,2000,32.2003577817531,1,11.2219887036753
"cthm-01",2,2001,32.737030411449,1,11.3561568610993
"cthm-01",2,2002,40.7871198568873,1,13.3686792224588
"cthm-01",2,2003,40.2504472271914,1,11.6232787813058
"cthm-01",2,2004,37.9248658318426,1,11.1940719152477
"cthm-01",2,2005,37.9248658318426,1,11.2658236221661
"cthm-01",2,2006,37.567084078712,1,11.9074714192792
"cthm-01",2,2007,37.567084078712,1,11.8713703362467
"cthm-01",2,2008,37.567084078712,1,11.6568244637637
"cthm-01",2,2009,37.567084078712,1,11.2644759309977
"cthm-01",2,2010,37.2093023255814,1,11.0489657073882
"cthm-01",2,2011,37.2093023255814,1,11.084808001295
"cthm-01",2,2012,37.3881932021466,1,10.9777920110435
"cthm-01",2,2013,37.030411449016,1,10.2999833843359
"cthm-01",2,2014,37.2093023255814,1,10.2288096879912
"cthm-01",2,2015,37.0304114490161,1,10.1211552548437
"cthm-01",2,2016,37.0304114490161,1,10.1211552548436
"cthm-01",2,2017,36.6726296958855,1,9.94226369251798
"cthm-01",2,2018,36.6726296958855,1,14.5663039748693
"cthm-01",2,2019,36.4937388193202,1,14.521581255728
"cthm-01",2,2020,36.6726296958855,1,14.5215011074858
"cthm-01",2,2021,36.4937388193202,1,14.3871726535775
"cthm-01",2,2022,36.8515205724508,1,14.4320548120027
"cthm-01",2,2023,36.6726296958855,1,14.2536422532892
"cthm-01",3,1999,3.5650623885918,1,11.7133008570942
"cthm-01",3,2000,3.5650623885918,1,11.2219887036753
"cthm-01",3,2001,3.5650623885918,1,11.3561568610993
"cthm-01",3,2002,3.5650623885918,1,13.3686792224588
"cthm-01",3,2003,8.02139037433155,1,11.6232787813058
"cthm-01",3,2004,8.02139037433155,1,11.1940719152477
"cthm-01",3,2005,8.19964349376114,1,11.2658236221661
"cthm-01",3,2006,8.02139037433155,1,11.9074714192792
"cthm-01",3,2007,7.48663101604278,1,11.8713703362467
"cthm-01",3,2008,6.59536541889483,1,11.6568244637637
"cthm-01",3,2009,4.81283422459893,1,11.2644759309977
"cthm-01",3,2010,4.63458110516934,1,11.0489657073882
"cthm-01",3,2011,4.63458110516934,1,11.084808001295
"cthm-01",3,2012,4.63458110516934,1,10.9777920110435
"cthm-01",3,2013,4.63458110516934,1,10.2999833843359
"cthm-01",3,2014,4.63458110516934,1,10.2288096879912
"cthm-01",3,2015,4.99108734402852,1,10.1211552548437
"cthm-01",3,2016,4.99108734402852,1,10.1211552548436
"cthm-01",3,2017,4.99108734402852,1,9.94226369251798
"cthm-01",3,2018,13.7254901960784,1,14.5663039748693
"cthm-01",3,2019,13.7254901960784,1,14.521581255728
"cthm-01",3,2020,13.7254901960784,1,14.5215011074858
"cthm-01",3,2021,13.7254901960784,1,14.3871726535775
"cthm-01",3,2022,13.5472370766488,1,14.4320548120027
"cthm-01",3,2023,13.0124777183601,1,14.2536422532892
"cthm-01",4,1999,5.91397849462366,1,11.7133008570942
"cthm-01",4,2000,5.91397849462366,1,11.2219887036753
"cthm-01",4,2001,5.91397849462366,1,11.3561568610993
"cthm-01",4,2002,5.91397849462366,1,13.3686792224588
"cthm-01",4,2003,5.91397849462366,1,11.6232787813058
"cthm-01",4,2004,5.73476702508961,1,11.1940719152477
"cthm-01",4,2005,5.73476702508961,1,11.2658236221661
"cthm-01",4,2006,5.91397849462366,1,11.9074714192792
"cthm-01",4,2007,5.91397849462366,1,11.8713703362467
"cthm-01",4,2008,5.73476702508961,1,11.6568244637637
"cthm-01",4,2009,5.55555555555555,1,11.2644759309977
"cthm-01",4,2010,5.55555555555555,1,11.0489657073882
"cthm-01",4,2011,5.7347670250896,1,11.084808001295
"cthm-01",4,2012,5.55555555555556,1,10.9777920110435
"cthm-01",4,2013,5.37634408602151,1,10.2999833843359
"cthm-01",4,2014,5.37634408602151,1,10.2288096879912
"cthm-01",4,2015,4.83870967741935,1,10.1211552548437
"cthm-01",4,2016,4.83870967741935,1,10.1211552548436
"cthm-01",4,2017,4.48028673835125,1,9.94226369251798
"cthm-01",4,2018,4.48028673835125,1,14.5663039748693
"cthm-01",4,2019,4.48028673835125,1,14.521581255728
"cthm-01",4,2020,4.3010752688172,1,14.5215011074858
"cthm-01",4,2021,3.9426523297491,1,14.3871726535775
"cthm-01",4,2022,3.9426523297491,1,14.4320548120027
"cthm-01",4,2023,3.9426523297491,1,14.2536422532892
"cthm-01",5,2003,0.72202166064982,1,11.6232787813058
"cthm-01",5,2004,0.902527075812275,1,11.1940719152477
"cthm-01",5,2005,1.08303249097473,1,11.2658236221661
"cthm-01",5,2006,1.08303249097473,1,11.9074714192792
"cthm-01",5,2007,0.902527075812275,1,11.8713703362467
"cthm-01",5,2008,0.72202166064982,1,11.6568244637637
"cthm-01",5,2009,0.72202166064982,1,11.2644759309977
"cthm-01",5,2010,0.180505415162455,1,11.0489657073882
"cthm-01",5,2011,0.180505415162455,1,11.084808001295
"cthm-01",5,2012,0.180505415162455,1,10.9777920110435
"cthm-01",5,2013,0.180505415162455,1,10.2999833843359
"cthm-01",5,2014,0.180505415162455,1,10.2288096879912
"cthm-01",5,2015,0.180505415162455,1,10.1211552548437
"cthm-01",5,2016,0.180505415162455,1,10.1211552548436
"cthm-01",5,2017,0.180505415162455,1,9.94226369251798
"cthm-01",6,1999,3.23741007194245,2,2.62097187867258
"cthm-01",6,2000,3.23741007194245,2,2.58525759295829
"cthm-01",6,2001,3.23741007194245,2,2.69278724741935
"cthm-01",6,2002,3.23741007194245,2,2.80418487506247
"cthm-01",6,2003,3.23741007194245,2,2.73352989827031
"cthm-01",6,2004,3.23741007194245,2,2.51853563634464
"cthm-01",6,2005,3.23741007194245,2,2.08609623459116
"cthm-01",6,2006,3.23741007194245,2,2.04999515155867
"cthm-01",6,2007,3.05755395683453,2,1.94259535710851
"cthm-01",6,2008,2.87769784172662,2,1.87090984837264
"cthm-01",6,2009,2.87769784172662,2,2.01376699122979
"cthm-01",6,2010,2.87769784172662,2,3.12991885738165
"cthm-01",6,2011,2.87769784172662,2,3.09420457166737
"cthm-01",6,2012,2.87769784172662,2,2.69826001958563
"cthm-01",6,2013,2.87769784172662,2,2.59079541212102
"cthm-01",6,2014,2.87769784172662,2,5.16190223322784
"cthm-01",6,2015,2.87769784172662,2,4.98204380336941
"cthm-01",6,2016,2.69784172661871,2,4.37110475538
"cthm-01",6,2017,2.69784172661871,2,4.37110475538
"cthm-01",6,2018,2.69784172661871,2,4.29890258931503
"cthm-01",6,2019,2.51798561151079,2,4.12007422343629
"cthm-01",6,2020,2.33812949640288,2,3.94124585755756
"cthm-01",6,2021,2.33812949640288,2,3.29838871470043
"cthm-01",6,2022,2.33812949640288,2,2.54806696437868
"cthm-01",6,2023,2.33812949640288,2,2.69092410723582
"cthm-01",7,1999,0.541516245487365,2,2.62097187867258
"cthm-01",7,2000,0.541516245487365,2,2.58525759295829
"cthm-01",7,2001,0.72202166064982,2,2.69278724741935
"cthm-01",7,2002,2.70758122743682,2,2.80418487506247
"cthm-01",7,2003,3.06859205776173,2,2.73352989827031
"cthm-01",7,2004,2.88808664259927,2,2.51853563634464
"cthm-01",7,2005,1.08303249097473,2,2.08609623459116
"cthm-01",7,2006,0.902527075812274,2,2.04999515155867
"cthm-01",7,2007,0.902527075812274,2,1.94259535710851
"cthm-01",7,2008,0.902527075812274,2,1.87090984837264
"cthm-01",7,2009,0.902527075812274,2,2.01376699122979
"cthm-01",7,2010,0.902527075812274,2,3.12991885738165
"cthm-01",7,2011,0.902527075812274,2,3.09420457166737
"cthm-01",7,2012,1.26353790613718,2,2.69826001958563
"cthm-01",7,2013,1.26353790613718,2,2.59079541212102
"cthm-01",7,2014,1.26353790613718,2,5.16190223322784
"cthm-01",7,2015,1.26353790613718,2,4.98204380336941
"cthm-01",7,2016,1.26353790613718,2,4.37110475538
"cthm-01",7,2017,1.26353790613718,2,4.37110475538
"cthm-01",7,2018,0.902527075812274,2,4.29890258931503
"cthm-01",7,2019,0.902527075812274,2,4.12007422343629
"cthm-01",7,2020,0.902527075812274,2,3.94124585755756
"cthm-01",7,2021,0.902527075812274,2,3.29838871470043
"cthm-01",7,2022,0.902527075812274,2,2.54806696437868
"cthm-01",7,2023,0.902527075812274,2,2.69092410723582
"cthm-01",8,1999,4.5045045045045,2,2.62097187867258
"cthm-01",8,2000,4.5045045045045,2,2.58525759295829
"cthm-01",8,2001,4.5045045045045,2,2.69278724741935
"cthm-01",8,2002,4.5045045045045,2,2.80418487506247
"cthm-01",8,2003,4.5045045045045,2,2.73352989827031
"cthm-01",8,2004,4.32432432432432,2,2.51853563634464
"cthm-01",8,2005,4.32432432432432,2,2.08609623459116
"cthm-01",8,2006,4.32432432432432,2,2.04999515155867
"cthm-01",8,2007,4.32432432432432,2,1.94259535710851
"cthm-01",8,2008,4.32432432432432,2,1.87090984837264
"cthm-01",8,2009,4.32432432432432,2,2.01376699122979
"cthm-01",8,2010,9.36936936936937,2,3.12991885738165
"cthm-01",8,2011,9.36936936936937,2,3.09420457166737
"cthm-01",8,2012,7.2072072072072,2,2.69826001958563
"cthm-01",8,2013,7.02702702702702,2,2.59079541212102
"cthm-01",8,2014,6.84684684684684,2,5.16190223322784
"cthm-01",8,2015,6.12612612612612,2,4.98204380336941
"cthm-01",8,2016,4.14414414414414,2,4.37110475538
"cthm-01",8,2017,4.14414414414414,2,4.37110475538
