"","route","stop_num","year","perc_forest_stop","quarter_route","perc_forest_quarter"
"1","cthm-01",1,1999,79.5008912655972,1,351.017924452715
"2","cthm-01",1,2000,80.2139037433156,1,352.623776774662
"3","cthm-01",1,2001,80.2139037433156,1,348.310388232943
"4","cthm-01",1,2002,80.2139037433156,1,340.258684248908
"5","cthm-01",1,2003,80.2139037433156,1,334.366363774695
"6","cthm-01",1,2004,80.2139037433156,1,334.363134697501
"7","cthm-01",1,2005,80.2139037433156,1,334.004376162909
"8","cthm-01",1,2006,76.4705882352941,1,330.43867258838
"9","cthm-01",1,2007,76.2923351158645,1,330.618219653438
"10","cthm-01",1,2008,76.1140819964349,1,331.51141695335
"11","cthm-01",1,2009,76.2923351158645,1,333.472201267075
"12","cthm-01",1,2010,76.2923351158646,1,334.191970631992
"13","cthm-01",1,2011,76.2923351158646,1,334.012759162458
"14","cthm-01",1,2012,76.6488413547238,1,334.369265401317
"15","cthm-01",1,2013,79.5008912655971,1,337.221635905159
"16","cthm-01",1,2014,80.0356506238859,1,337.578142144019
"17","cthm-01",1,2015,80.2139037433155,1,337.579100494123
"18","cthm-01",1,2016,80.2139037433155,1,337.577485955526
"19","cthm-01",1,2017,80.2139037433155,1,337.756376832091
"20","cthm-01",1,2018,80.2139037433155,1,329.021973980041
"21","cthm-01",1,2019,80.2139037433155,1,329.201185449575
"22","cthm-01",1,2020,80.2139037433155,1,328.844679210716
"23","cthm-01",1,2021,80.2139037433155,1,328.844679210716
"24","cthm-01",1,2022,80.2139037433155,1,328.844679210716
"25","cthm-01",1,2023,80.2139037433156,1,329.201185449576
"26","cthm-01",2,1999,56.5295169946333,1,351.017924452715
"27","cthm-01",2,2000,57.6028622540251,1,352.623776774662
"28","cthm-01",2,2001,57.0661896243292,1,348.310388232943
"29","cthm-01",2,2002,49.1949910554561,1,340.258684248908
"30","cthm-01",2,2003,49.1949910554561,1,334.366363774695
"31","cthm-01",2,2004,49.5527728085868,1,334.363134697501
"32","cthm-01",2,2005,49.5527728085868,1,334.004376162909
"33","cthm-01",2,2006,49.9105545617173,1,330.43867258838
"34","cthm-01",2,2007,49.9105545617173,1,330.618219653438
"35","cthm-01",2,2008,50.0894454382826,1,331.51141695335
"36","cthm-01",2,2009,50.0894454382826,1,333.472201267075
"37","cthm-01",2,2010,50.0894454382826,1,334.191970631992
"38","cthm-01",2,2011,50.0894454382826,1,334.012759162458
"39","cthm-01",2,2012,50.0894454382826,1,334.369265401317
"40","cthm-01",2,2013,49.9105545617173,1,337.221635905159
"41","cthm-01",2,2014,49.9105545617173,1,337.578142144019
"42","cthm-01",2,2015,49.9105545617173,1,337.579100494123
"43","cthm-01",2,2016,50.0894454382826,1,337.577485955526
"44","cthm-01",2,2017,50.2683363148479,1,337.756376832091
"45","cthm-01",2,2018,50.2683363148479,1,329.021973980041
"46","cthm-01",2,2019,50.2683363148479,1,329.201185449575
"47","cthm-01",2,2020,50.2683363148479,1,328.844679210716
"48","cthm-01",2,2021,50.2683363148479,1,328.844679210716
"49","cthm-01",2,2022,50.2683363148479,1,328.844679210716
"50","cthm-01",2,2023,50.2683363148479,1,329.201185449576
"51","cthm-01",3,1999,77.1836007130125,1,351.017924452715
"52","cthm-01",3,2000,77.1836007130126,1,352.623776774662
"53","cthm-01",3,2001,77.0053475935829,1,348.310388232943
"54","cthm-01",3,2002,77.0053475935829,1,340.258684248908
"55","cthm-01",3,2003,72.0142602495543,1,334.366363774695
"56","cthm-01",3,2004,72.0142602495543,1,334.363134697501
"57","cthm-01",3,2005,71.8360071301247,1,334.004376162909
"58","cthm-01",3,2006,72.0142602495543,1,330.43867258838
"59","cthm-01",3,2007,72.3707664884135,1,330.618219653438
"60","cthm-01",3,2008,73.2620320855614,1,331.51141695335
"61","cthm-01",3,2009,75.0445632798573,1,333.472201267075
"62","cthm-01",3,2010,75.2228163992869,1,334.191970631992
"63","cthm-01",3,2011,75.2228163992869,1,334.012759162458
"64","cthm-01",3,2012,75.2228163992869,1,334.369265401317
"65","cthm-01",3,2013,75.2228163992869,1,337.221635905159
"66","cthm-01",3,2014,75.0445632798573,1,337.578142144019
"67","cthm-01",3,2015,74.6880570409982,1,337.579100494123
"68","cthm-01",3,2016,74.6880570409982,1,337.577485955526
"69","cthm-01",3,2017,74.6880570409982,1,337.756376832091
"70","cthm-01",3,2018,65.9536541889483,1,329.021973980041
"71","cthm-01",3,2019,65.9536541889483,1,329.201185449575
"72","cthm-01",3,2020,65.5971479500891,1,328.844679210716
"73","cthm-01",3,2021,65.5971479500891,1,328.844679210716
"74","cthm-01",3,2022,65.5971479500891,1,328.844679210716
"75","cthm-01",3,2023,65.9536541889483,1,329.201185449576
"76","cthm-01",4,1999,64.15770609319,1,351.017924452715
"77","cthm-01",4,2000,64.15770609319,1,352.623776774662
"78","cthm-01",4,2001,62.5448028673835,1,348.310388232943
"79","cthm-01",4,2002,62.5448028673835,1,340.258684248908
"80","cthm-01",4,2003,62.3655913978495,1,334.366363774695
"81","cthm-01",4,2004,62.3655913978495,1,334.363134697501
"82","cthm-01",4,2005,62.3655913978495,1,334.004376162909
"83","cthm-01",4,2006,62.0071684587814,1,330.43867258838
"84","cthm-01",4,2007,61.8279569892474,1,330.618219653438
"85","cthm-01",4,2008,61.6487455197133,1,331.51141695335
"86","cthm-01",4,2009,61.6487455197133,1,333.472201267075
"87","cthm-01",4,2010,61.6487455197133,1,334.191970631992
"88","cthm-01",4,2011,61.4695340501792,1,334.012759162458
"89","cthm-01",4,2012,61.4695340501792,1,334.369265401317
"90","cthm-01",4,2013,61.6487455197132,1,337.221635905159
"91","cthm-01",4,2014,61.6487455197132,1,337.578142144019
"92","cthm-01",4,2015,61.8279569892473,1,337.579100494123
"93","cthm-01",4,2016,61.8279569892473,1,337.577485955526
"94","cthm-01",4,2017,61.8279569892473,1,337.756376832091
"95","cthm-01",4,2018,61.8279569892473,1,329.021973980041
"96","cthm-01",4,2019,62.0071684587814,1,329.201185449575
"97","cthm-01",4,2020,62.0071684587814,1,328.844679210716
"98","cthm-01",4,2021,62.0071684587814,1,328.844679210716
"99","cthm-01",4,2022,62.0071684587814,1,328.844679210716
"100","cthm-01",4,2023,62.0071684587814,1,329.201185449576
"101","cthm-01",5,1999,73.6462093862816,1,351.017924452715
"102","cthm-01",5,2000,73.4657039711191,1,352.623776774662
"103","cthm-01",5,2001,71.4801444043321,1,348.310388232943
"104","cthm-01",5,2002,71.2996389891697,1,340.258684248908
"105","cthm-01",5,2003,70.5776173285198,1,334.366363774695
"106","cthm-01",5,2004,70.2166064981949,1,334.363134697501
"107","cthm-01",5,2005,70.0361010830325,1,334.004376162909
"108","cthm-01",5,2006,70.0361010830325,1,330.43867258838
"109","cthm-01",5,2007,70.216606498195,1,330.618219653438
"110","cthm-01",5,2008,70.3971119133574,1,331.51141695335
"111","cthm-01",5,2009,70.3971119133575,1,333.472201267075
"112","cthm-01",5,2010,70.9386281588448,1,334.191970631992
"113","cthm-01",5,2011,70.9386281588448,1,334.012759162458
"114","cthm-01",5,2012,70.9386281588448,1,334.369265401317
"115","cthm-01",5,2013,70.9386281588448,1,337.221635905159
"116","cthm-01",5,2014,70.9386281588448,1,337.578142144019
"117","cthm-01",5,2015,70.9386281588448,1,337.579100494123
