"year","route_num","county"
1999,1,"orange"
1999,2,"orange"
1999,3,"orange"
1999,4,"orange"
1999,5,"orange"
1999,6,"orange"
1999,7,"orange"
1999,8,"orange"
1999,9,"orange"
1999,10,"orange"
1999,11,"orange"
1999,12,"orange"
2000,1,"orange"
2000,2,"orange"
2000,3,"orange"
2000,4,"orange"
2000,5,"orange"
2000,6,"orange"
2000,7,"orange"
2000,8,"orange"
2000,9,"orange"
2000,10,"orange"
2000,11,"orange"
2000,12,"orange"
2000,41,"chatham"
2000,42,"chatham"
2000,43,"chatham"
2000,44,"chatham"
2000,45,"chatham"
2000,46,"chatham"
2000,47,"chatham"
2000,48,"chatham"
2000,49,"chatham"
2000,50,"chatham"
2000,51,"chatham"
2000,52,"chatham"
2000,53,"chatham"
2000,54,"chatham"
2001,1,"orange"
2001,2,"orange"
2001,3,"orange"
2001,4,"orange"
2001,5,"orange"
2001,6,"orange"
2001,7,"orange"
2001,8,"orange"
2001,9,"orange"
2001,10,"orange"
2001,11,"orange"
2001,12,"orange"
2001,41,"chatham"
2001,42,"chatham"
2001,43,"chatham"
2001,44,"chatham"
2001,45,"chatham"
2001,46,"chatham"
2001,47,"chatham"
2001,48,"chatham"
2001,49,"chatham"
2001,50,"chatham"
2001,51,"chatham"
2001,52,"chatham"
2001,53,"chatham"
2001,54,"chatham"
2002,1,"orange"
2002,2,"orange"
2002,3,"orange"
2002,4,"orange"
2002,5,"orange"
2002,6,"orange"
2002,7,"orange"
2002,8,"orange"
2002,9,"orange"
2002,10,"orange"
2002,11,"orange"
2002,12,"orange"
2002,41,"chatham"
2002,42,"chatham"
2002,43,"chatham"
2002,44,"chatham"
2002,45,"chatham"
2002,46,"chatham"
2002,47,"chatham"
2002,48,"chatham"
2002,49,"chatham"
2002,50,"chatham"
2002,51,"chatham"
2002,52,"chatham"
2002,53,"chatham"
2002,54,"chatham"
2002,21,"durham"
2002,22,"durham"
2002,23,"durham"
2002,24,"durham"
2002,25,"durham"
2002,26,"durham"
2002,27,"durham"
2002,28,"durham"
2003,1,"orange"
2003,2,"orange"
2003,3,"orange"
2003,4,"orange"
2003,5,"orange"
2003,6,"orange"
2003,7,"orange"
2003,8,"orange"
2003,10,"orange"
2003,11,"orange"
2003,12,"orange"
2003,41,"chatham"
2003,42,"chatham"
2003,43,"chatham"
2003,44,"chatham"
2003,45,"chatham"
2003,46,"chatham"
2003,47,"chatham"
2003,48,"chatham"
2003,49,"chatham"
2003,50,"chatham"
2003,51,"chatham"
2003,52,"chatham"
2003,53,"chatham"
2003,54,"chatham"
2003,21,"durham"
2003,22,"durham"
2003,23,"durham"
2003,24,"durham"
2003,25,"durham"
2003,26,"durham"
2003,27,"durham"
2003,28,"durham"
2004,1,"orange"
2004,2,"orange"
2004,3,"orange"
