"County_Route","nlcd","year","frequency","totpix","class","ijbg_class","description","color","percent"
"Chatham-01","11",2001,78,11169,"water","water","Open Water","#476BA0",0.69836153639538
"Chatham-01","11",2004,92,11169,"water","water","Open Water","#476BA0",0.82370847882532
"Chatham-01","11",2006,94,11169,"water","water","Open Water","#476BA0",0.84161518488674
"Chatham-01","11",2008,91,11169,"water","water","Open Water","#476BA0",0.81475512579461
"Chatham-01","11",2011,92,11169,"water","water","Open Water","#476BA0",0.82370847882532
"Chatham-01","11",2013,91,11169,"water","water","Open Water","#476BA0",0.81475512579461
"Chatham-01","11",2016,92,11169,"water","water","Open Water","#476BA0",0.82370847882532
"Chatham-01","11",2019,92,11169,"water","water","Open Water","#476BA0",0.82370847882532
"Chatham-01","11",2021,91,11169,"water","water","Open Water","#476BA0",0.81475512579461
"Chatham-01","21",2001,1393,11169,"developed","developed","Developed, Open Space","#DDC9C9",12.472020771779
"Chatham-01","21",2004,1393,11169,"developed","developed","Developed, Open Space","#DDC9C9",12.472020771779
"Chatham-01","21",2006,1410,11169,"developed","developed","Developed, Open Space","#DDC9C9",12.6242277733011
"Chatham-01","21",2008,1410,11169,"developed","developed","Developed, Open Space","#DDC9C9",12.6242277733011
"Chatham-01","21",2011,1417,11169,"developed","developed","Developed, Open Space","#DDC9C9",12.6869012445161
"Chatham-01","21",2013,1417,11169,"developed","developed","Developed, Open Space","#DDC9C9",12.6869012445161
"Chatham-01","21",2016,1421,11169,"developed","developed","Developed, Open Space","#DDC9C9",12.7227146566389
"Chatham-01","21",2019,1670,11169,"developed","developed","Developed, Open Space","#DDC9C9",14.9520995612857
"Chatham-01","21",2021,1680,11169,"developed","developed","Developed, Open Space","#DDC9C9",15.0416330915928
"Chatham-01","22",2001,192,11169,"developed","developed","Developed, Low Intensity","#D89382",1.71904378189632
"Chatham-01","22",2004,192,11169,"developed","developed","Developed, Low Intensity","#D89382",1.71904378189632
"Chatham-01","22",2006,198,11169,"developed","developed","Developed, Low Intensity","#D89382",1.77276390008058
"Chatham-01","22",2008,198,11169,"developed","developed","Developed, Low Intensity","#D89382",1.77276390008058
