english_common_name,binomial,aou,IOCOrder,BLFamilyLatin,BLFamilyEnglish,Diet_5Cat,BodyMass.Value,Breeding_Biome,Winter_Biome,bird_group,Migrate,Common.name,CatinBNA,Cat.in.CS
Canada Goose,Branta canadensis,1720,Anseriformes,Anatidae,Ducks, geese and swans,PlantSeed,2811.68,Wetland,Temperate North America,waterfowl,M,NA,0
Muscovy Duck,Cairina moschata,10210,Anseriformes,Anatidae,Ducks, geese and swans,Omnivore,2415.78,Introduced,Introduced,waterfowl,Introduced,NA,0
Wood Duck,Aix sponsa,1440,Anseriformes,Anatidae,Ducks, geese and swans,PlantSeed,657.59,Wetland,Temperate North America,waterfowl,M,NA,0
Mallard,Anas platyrhynchos,1320,Anseriformes,Anatidae,Ducks, geese and swans,Omnivore,843.42,Wetland,Widespread,waterfowl,M,NA,0
Northern Bobwhite,Colinus virginianus,2890,Galliformes,Odontophoridae,New World quails,PlantSeed,171.89,Eastern Forest,Temperate North America,landbird,R,NA,0,NA
Wild Turkey,Meleagris gallopavo,3100,Galliformes,Phasianidae,Grouse, pheasants and partridges,PlantSeed,5791.37,Forest Generalist,Temperate North America,landbird,R,NA,0
Rock Pigeon,Columba livia,3131,Columbiformes,Columbidae,Doves and pigeons,PlantSeed,354.2,Introduced,Introduced,landbird,Introduced,Rock Pigeon,1,1
Mourning Dove,Zenaida macroura,3160,Columbiformes,Columbidae,Doves and pigeons,PlantSeed,118.93,Habitat Generalist,Widespread,landbird,M,Mourning Dove,1,1
Yellow-billed Cuckoo,Coccyzus americanus,3870,Cuculiformes,Cuculidae,Cuckoos,Invertebrate,64,Eastern Forest,South America,landbird,M,NA,0,NA
Common Nighthawk,Chordeiles minor,4200,Caprimulgiformes,Caprimulgidae,Nightjars,Invertebrate,79.3,Habitat Generalist,South America,landbird,M,Common Nighthawk,1,0
Chimney Swift,Chaetura pelagica,4230,Apodiformes,Apodidae,Swifts,Invertebrate,23.6,Eastern Forest,South America,landbird,M,NA,0,NA
Ruby-throated Hummingbird,Archilochus colubris,4280,Apodiformes,Trochilidae,Hummingbirds,FruiNect,3.09,Eastern Forest,Mexico-Central America,landbird,M,Ruby-throated Hummingbird,1,1
Killdeer,Charadrius vociferus,2730,Charadriiformes,Charadriidae,Plovers,Invertebrate,96.44,Habitat Generalist,Widespread,shorebird,M,NA,0,NA
American Woodcock,Scolopax minor,2280,Charadriiformes,Scolopacidae,Sandpipers and allies,Invertebrate,196.32,Eastern Forest,Temperate North America,shorebird,M,NA,0,NA
Ring-billed Gull,Larus delawarensis,540,Charadriiformes,Laridae,Gulls and terns,VertFishScav,516.31,Wetland,Temperate North America,waterbird,M,NA,0,NA
Double-crested Cormorant,Phalacrocorax auritus,1200,Suliformes,Phalacrocoracidae,Cormorants,VertFishScav,1806.49,Wetland,Temperate North America,waterbird,M,NA,0,NA
Great Blue Heron,Ardea herodias,1940,Pelecaniformes,Ardeidae,Herons and egrets,VertFishScav,2523.41,Wetland,Widespread,waterbird,M,NA,0,NA
Green Heron,Butorides virescens,2010,Pelecaniformes,Ardeidae,Herons and egrets,VertFishScav,201.5,Wetland,Widespread,waterbird,M,NA,0,NA
Yellow-crowned Night-Heron,Nyctanassa violacea,2030,Pelecaniformes,Ardeidae,Herons and egrets,VertFishScav,681.67,Coasts,Widespread,waterbird,M,NA,0,NA
Glossy Ibis,Plegadis falcinellus,1860,Pelecaniformes,Threskiornithidae,Ibises and spoonbills,Invertebrate,626.61,Wetland,Widespread,waterbird,M,NA,0,NA
Black Vulture,Coragyps atratus,3260,Accipitriformes,Cathartidae,New World vultures,VertFishScav,1881.69,Habitat Generalist,Widespread,landbird,R,NA,0,NA
Turkey Vulture,Cathartes aura,3250,Accipitriformes,Cathartidae,New World vultures,VertFishScav,1518.24,Habitat Generalist,Widespread,landbird,M,NA,0,NA
Osprey,Pandion haliaetus,3640,Accipitriformes,Accipitridae,Osprey, kites, hawks and eagles,VertFishScav,1483.2,Wetland,Widespread,landbird,M,NA
Bald Eagle,Haliaeetus leucocephalus,3520,Accipitriformes,Accipitridae,Osprey, kites, hawks and eagles,VertFishScav,4700.58,Wetland,Temperate North America,landbird,M,NA
Sharp-shinned Hawk,Accipiter striatus,3320,Accipitriformes,Accipitridae,Osprey, kites, hawks and eagles,VertFishScav,130.59,Forest Generalist,Widespread,landbird,M,NA
Cooper's Hawk,Accipiter cooperii,3330,Accipitriformes,Accipitridae,Osprey, kites, hawks and eagles,VertFishScav,429.67,Forest Generalist,Widespread,landbird,M,NA
