,mean,sd,X5.5.,X94.5.,rhat,ess_bulk,parameter,common_name,done,running,notes,usgs_trend_estimate,usgs_2.5CI,usgs_97.5CI,usgs_startyear,usgs_endyear,usgs_note,difference,species_code.x,genus,species,aou,binomial,shannonE_diet,species_code.y,climate_vol,ssi,mean_area,mean_occ,Trend,logMass,log_Brange_Area,Brange_Area_km2,overlap
11,0.961447256,0.004645253,0.185802235,1.7000243,1.002127942,899.2007134,11,Brown-headed Nuthatch,1,,NOTE: 97% of transitions hit the maximum treedepth limit of 11,0.27,-1.21,1.74,2000,2022,,0.691447256,BHNU,Sitta,pusilla,7290,Sitta pusilla,0.292285253,bnhnut,0.106123614,1.793039834,0.19888423,-0.167765175,-0.444,1,5.974030816,941956.4317,0.992630459
62,5.61442479,0.005649632,4.70160545,6.48527925,1.004231824,860.7569942,61,Yellow-throated Warbler,NA,61,,2.82,1.01,4.87,2000,2022,,2.79442479,YTWA,Setophaga,dominica,6630,Setophaga dominica,0,yetwar,0.182675124,1.470360292,0.066485631,-0.00501569,0.877,0.954242509,6.285387663,1929246.244,0.631953101
30,4.956456965,0.004300466,4.2891578,5.6464688,0.999160179,940.3520808,29,Fish Crow,1,,,3.11,1.61,4.71,2000,2022,,1.846456965,FICR,Corvus,ossifragus,4900,Corvus ossifragus,0.676245626,fiscro,0.245113086,1.469609687,1.094680573,0.372800587,0.466,2.438937701,5.987372376,971342.4668,0.977300652
14,-0.047455325,0.002002995,-0.36863797,0.274660125,1.005119558,1129.062745,13,Carolina Chickadee,1,,,-1.47,-2.14,-0.8,2000,2022,,1.422544675,CACH,Poecile,carolinensis,7360,Poecile carolinensis,0.292285253,carchi,0.249859925,1.297706638,0.015138282,-0.00241958,-0.524,1.041392685,6.349867324,2238037.319,1
53,-4.97360506,0.005968575,-5.94650895,-4.005406,1.003205473,1184.817884,52,Scarlet Tanager,1,,,-0.1,-1.02,0.83,2000,2022,,-4.87360506,SCTA,Piranga,olivacea,6080,Piranga olivacea,0.27752801,scatan,0.272262113,1.696860655,-0.104144767,-0.021677698,-0.312,1.462397998,6.415236934,2601578.498,0.562100766
34,1.20409466,0.005838565,0.28326565,2.12977255,1.001814705,1147.654104,33,Hooded Warbler,1,,,0.99,-0.24,2.31,2000,2022,,0.21409466,HOWA,Setophaga,citrina,6840,Setophaga citrina,0,hoowar,0.305665974,1.510659713,0.071062267,0.04762987,1.356,1.031408464,6.302559614,2007056.572,0.696005422
48,-4.768231525,0.005904586,-5.733527,-3.81863015,1.000642806,1391.817624,47,Prairie Warbler,1,,,-3.45,-4.37,-2.49,2000,2022,,-1.318231525,PRAW,Setophaga,discolor,6730,Setophaga discolor,0.27752801,prawar,0.307414505,1.515723968,0.040066664,-0.07970992,-1.84,0.916453949,6.194668078,1565554.095,0.870063135
55,0.530640605,0.001409797,0.309226145,0.75250718,1.003548907,986.373423,54,Tufted Titmouse,1,,,0.26,-0.28,0.82,2000,2022,,0.270640605,TUTI,Baeolophus,bicolor,7310,Baeolophus bicolor,0.292285253,tuftit,0.326361508,1.358646079,0.099173949,0.081102296,0.987,1.342422681,6.472566395,2968700.561,0.997414692
29,-4.424742525,0.005080237,-5.1917525,-3.6204295,1.007086234,1015.369968,28,Field Sparrow,1,,,-2.92,-3.63,-2.23,2000,2022,,-1.504742525,FISP,Spizella,pusilla,5630,Spizella pusilla,0.292285253,fiespa,0.455652548,1.514526234,-0.044906155,-0.011925562,-2.301,1.113943352,6.601432693,3994226.54,0.975676759
58,-6.04993259,0.00273252,-6.47696665,-5.60529985,0.999067775,1719.567199,57,Wood Thrush,1,,,-1,-1.59,-0.43,2000,2022,,-5.04993259,WOTH,Hylocichla,mustelina,7550,Hylocichla mustelina,0.292285253,woothr,0.466647487,1.532815363,-0.077515647,-0.058861953,-1.794,1.672097858,6.542935271,3490882.819,0.790443783
