"county","npix","urban2001","urban2021","f2001","f2021","pu2001","pu2021","pf2001","pf2021","difpu"
"Durham",857178,268573,327027,414610,368304,31.3322320451528,38.1515857849828,48.3691835301419,42.9670383514276,6.81935373983
"Orange",1153906,148157,184883,719817,699055,12.8396073856969,16.0223623068084,62.3809045104194,60.5816244997426,3.18275492111143
"Chatham",2039525,138983,183752,1306705,1292409,6.81447886149961,9.00954879199814,64.0690847133524,63.3681371888062,2.19506993049852
