"County_Route_Stop","mbbs_county","route_num","stop_num","lat","lon","WKT"
"durham-1-5","durham",1,5,36.167614,-78.939551,c(1512643.25076215, 1593649.97406828)
"durham-1-6","durham",1,6,36.165791,-78.931553,c(1513381.2166234, 1593576.42301424)
"durham-1-7","durham",1,7,36.171284,-78.924783,c(1513865.06711276, 1594289.54657953)
"durham-1-8","durham",1,8,36.174101,-78.918697,c(1514342.4190789, 1594696.92454804)
"durham-1-9","durham",1,9,36.177046,-78.910515,c(1515000.96698023, 1595151.84656642)
"durham-1-10","durham",1,10,36.198361,-78.903929,c(1515151.37190152, 1597605.56641007)
"durham-1-11","durham",1,11,36.199336,-78.894878,c(1515925.29555405, 1597857.34235006)
"durham-1-12","durham",1,12,36.200371,-78.886693,c(1516622.0657995, 1598101.98073058)
"durham-1-13","durham",1,13,36.203491,-78.879702,c(1517172.29805111, 1598557.35292489)
"durham-1-14","durham",1,14,36.206463,-78.871907,c(1517795.915529, 1599009.29486989)
"durham-1-15","durham",1,15,36.212495,-78.868406,c(1517981.65900855, 1599729.84844293)
"durham-1-16","durham",1,16,36.21665,-78.874843,c(1517334.07772429, 1600084.87190833)
"durham-1-17","durham",1,17,36.222575,-78.881816,c(1516604.06143365, 1600626.42509227)
"durham-1-18","durham",1,18,36.227544,-78.88045,c(1516624.05812325, 1601195.75047164)
"durham-1-19","durham",1,19,36.229474,-78.871102,c(1517404.46364369, 1601557.63426003)
"durham-1-20","durham",1,20,36.230211,-78.863988,c(1518013.02716639, 1601752.45390094)
"durham-2-1","durham",2,1,36.121814,-78.839884,c(1522305.310381, 1590195.00806913)
"durham-2-2","durham",2,2,36.127101,-78.84921,c(1521380.70868973, 1590628.14799704)
"durham-2-3","durham",2,3,36.132187,-78.853069,c(1520939.89855867, 1591126.72745488)
"durham-2-4","durham",2,4,36.138897,-78.857054,c(1520455.44585191, 1591802.24193846)
"durham-2-5","durham",2,5,36.144576,-78.860898,c(1520004.13205696, 1592366.44744745)
"durham-2-6","durham",2,6,36.150464,-78.866347,c(1519407.8830578, 1592928.04352814)
"durham-2-7","durham",2,7,36.15219,-78.872216,c(1518858.41957492, 1593024.39703802)
"durham-2-8","durham",2,8,36.148358,-78.878233,c(1518407.53385227, 1592506.02987153)
"durham-2-9","durham",2,9,36.144251,-78.882879,c(1518082.37891432, 1591979.28700458)
"durham-2-10","durham",2,10,36.144997,-78.892117,c(1517256.99246251, 1591913.95414832)
"durham-2-11","durham",2,11,36.147595,-78.897946,c(1516693.54717765, 1592107.16976423)
"durham-2-12","durham",2,12,36.154477,-78.895765,c(1516746.90300815, 1592900.27892599)
"durham-2-13","durham",2,13,36.160831,-78.895588,c(1516635.03962649, 1593603.22775532)
"durham-2-14","durham",2,14,36.167231,-78.891647,c(1516852.36091145, 1594371.3195505)
"durham-2-15","durham",2,15,36.170638,-78.883845,c(1517468.2510793, 1594871.27686085)
"durham-2-16","durham",2,16,36.175338,-78.881963,c(1517538.99130162, 1595419.19746018)
"durham-2-17","durham",2,17,36.180032,-78.887381,c(1516969.72673878, 1595849.90713674)
"durham-2-18","durham",2,18,36.185202,-78.88971,c(1516661.81676887, 1596382.39950148)
"durham-2-19","durham",2,19,36.191652,-78.898034,c(1515802.66040574, 1596960.30641061)
"durham-2-20","durham",2,20,36.193735,-78.903379,c(1515292.29487845, 1597104.59255293)
"durham-3-1","durham",3,1,36.0174968,-78.9190325,c(1517448.3106667, 1577435.91249784)
"durham-3-2","durham",3,2,36.0244489,-78.9197512,c(1517245.9791935, 1578190.42455519)
"durham-3-3","durham",3,3,36.0302437,-78.9254672,c(1516627.73408778, 1578737.66668843)
"durham-3-4","durham",3,4,36.0360277,-78.929253,c(1516179.36367339, 1579314.55875425)
"durham-3-5","durham",3,5,36.0371268,-78.9365445,c(1515516.74616828, 1579319.35816331)
"durham-3-6","durham",3,6,36.0386392,-78.9475227,c(1514521.96333099, 1579310.99021415)
"durham-3-7","durham",3,7,36.0426801,-78.955214,c(1513765.47134214, 1579633.70905724)
"durham-3-8","durham",3,8,36.0428468,-78.9625931,c(1513113.83451505, 1579534.56289535)
"durham-3-9","durham",3,9,36.0472806,-78.9693279,c(1512433.62067547, 1579915.92693822)
"durham-3-10","durham",3,10,36.0531853,-78.9732269,c(1511973.23674425, 1580504.54671565)
"durham-3-11","durham",3,11,36.0593967,-78.9780444,c(1511426.10163354, 1581112.381655)
"durham-3-12","durham",3,12,36.0653133,-78.9774317,c(1511361.87123457, 1581774.11304705)
"durham-3-13","durham",3,13,36.0727903,-78.9730363,c(1511598.71270866, 1582667.95815935)
"durham-3-14","durham",3,14,36.0760626,-78.9664597,c(1512110.96489952, 1583133.17611133)
"durham-3-15","durham",3,15,36.0761728,-78.9569745,c(1512941.74505687, 1583296.28372746)
"durham-3-16","durham",3,16,36.0775314,-78.9488686,c(1513626.43210301, 1583575.06706247)
"durham-3-17","durham",3,17,36.0823143,-78.9415308,c(1514175.16731057, 1584218.99141588)
"durham-3-18","durham",3,18,36.0948432,-78.9325766,c(1514710.7765329, 1585742.24129028)
"durham-3-19","durham",3,19,36.1032818,-78.9310083,c(1514679.63185277, 1586697.08251152)
"durham-3-20","durham",3,20,36.1098165,-78.9295937,c(1514673.05883061, 1587439.68572706)
"durham-4-1","durham",4,1,36.09356,-78.909942,c(1516723.58386721, 1585961.85653041)
"durham-4-2","durham",4,2,36.09265,-78.90081,c(1517543.51412093, 1586007.37512251)
"durham-4-3","durham",4,3,36.095121,-78.89222,c(1518248.07312226, 1586416.83568901)
"durham-4-4","durham",4,4,36.093249,-78.883716,c(1519032.14866355, 1586346.47380804)
"durham-4-5","durham",4,5,36.087356,-78.877485,c(1519697.40535973, 1585796.81448666)
"durham-4-6","durham",4,6,36.083043,-78.871214,c(1520334.53218309, 1585421.92626354)
"durham-4-7","durham",4,7,36.083335,-78.864523,c(1520916.10563265, 1585561.1599134)
"durham-4-8","durham",4,8,36.074626,-78.863454,c(1521184.87646853, 1584618.76797205)
"durham-4-9","durham",4,9,36.075709,-78.860588,c(1521414.76732648, 1584783.964375)
"durham-4-10","durham",4,10,36.082363,-78.853651,c(1521890.12915668, 1585628.12364742)
"durham-4-11","durham",4,11,36.086306,-78.847129,c(1522383.44616253, 1586166.99060967)
"durham-4-12","durham",4,12,36.091449,-78.840976,c(1522820.17120792, 1586832.17773047)
"durham-4-13","durham",4,13,36.094726,-78.834778,c(1523298.30672227, 1587292.5349649)
"durham-4-14","durham",4,14,36.091571,-78.829924,c(1523787.86088139, 1587022.77275904)
"durham-4-15","durham",4,15,36.084415,-78.824493,c(1524408.63703775, 1586321.52105904)
"durham-4-16","durham",4,16,36.076406,-78.821093,c(1524868.36245272, 1585493.75665045)
"durham-4-17","durham",4,17,36.06637,-78.820962,c(1525081.9282479, 1584390.25384207)
"durham-4-18","durham",4,18,36.060492,-78.817566,c(1525498.48866722, 1583797.22235001)
"durham-4-19","durham",4,19,36.052976,-78.815265,c(1525851.92073932, 1583006.18700887)
"durham-4-20","durham",4,20,36.04377,-78.814958,c(1526064.29630604, 1581996.97587754)
"durham-5-1","durham",5,1,35.8828612,-78.9927439,c(1513653.80830324, 1561425.8903075)
"durham-5-2","durham",5,2,35.8868399,-78.9864874,c(1514125.34656969, 1561963.94724774)
"durham-5-3","durham",5,3,35.8922646,-78.9807503,c(1514522.25185225, 1562653.07808815)
"durham-5-4","durham",5,4,35.9007635,-78.9806876,c(1514358.25066295, 1563590.51489755)
"durham-5-5","durham",5,5,35.9055098,-78.9832843,c(1514035.01726555, 1564072.10811023)
"durham-5-6","durham",5,6,35.910952,-78.9841122,c(1513853.61435354, 1564658.56788397)
"durham-5-7","durham",5,7,35.9194738,-78.9863458,c(1513487.100966, 1565561.97374088)
"durham-5-8","durham",5,8,35.9262418,-78.9893718,c(1513085.86713617, 1566259.53463175)
"durham-5-9","durham",5,9,35.932457,-78.9894436,c(1512955.63913654, 1566943.23165711)
"durham-5-10","durham",5,10,35.9398126,-78.9841876,c(1513271.42248264, 1567837.41602611)
"durham-5-11","durham",5,11,35.9425889,-78.9795975,c(1513619.8794214, 1568216.42854272)
"durham-5-12","durham",5,12,35.946114,-78.9715172,c(1514260.40073376, 1568733.57059658)
"durham-5-13","durham",5,13,35.9508564,-78.9655766,c(1514688.32086893, 1569350.78363796)
"durham-5-14","durham",5,14,35.9533748,-78.9581148,c(1515294.39211353, 1569747.22495115)
"durham-5-15","durham",5,15,35.9573191,-78.9511531,c(1515827.93180866, 1570292.84205046)
"durham-5-16","durham",5,16,35.9610426,-78.9474957,c(1516075.20068681, 1570761.4468356)
"durham-5-17","durham",5,17,35.9669508,-78.9457455,c(1516111.03897602, 1571440.3444943)
"durham-5-18","durham",5,18,35.9735894,-78.9428726,c(1516230.97605296, 1572217.63224687)
"durham-5-19","durham",5,19,35.9843204,-78.9410977,c(1516172.50236612, 1573428.31345373)
"durham-5-20","durham",5,20,35.9897964,-78.9388187,c(1516263.37737795, 1574068.03223466)
"durham-6-1","durham",6,1,35.8687576,-78.8298885,c(1528274.49349012, 1562478.56664613)
"durham-6-2","durham",6,2,35.8744067,-78.8366567,c(1527565.01681934, 1562991.99881013)
"durham-6-3","durham",6,3,35.8795416,-78.8406627,c(1527109.10613544, 1563493.23444327)
"durham-6-4","durham",6,4,35.8805364,-78.8454915,c(1526664.04343781, 1563525.23092271)
"durham-6-5","durham",6,5,35.8874673,-78.8491849,c(1526199.62571563, 1564229.37520397)
"durham-6-6","durham",6,6,35.8972234,-78.8497119,c(1525957.16166814, 1565295.59939487)
"durham-6-7","durham",6,7,35.9021586,-78.8538769,c(1525491.44426754, 1565772.37614176)
"durham-6-8","durham",6,8,35.9070053,-78.8618308,c(1524694.13357674, 1566178.63564072)
"durham-6-9","durham",6,9,35.9148937,-78.8681787,c(1523977.15141856, 1566945.80307321)
"durham-6-10","durham",6,10,35.9197207,-78.8732447,c(1523434.50763179, 1567396.32964531)
"durham-6-11","durham",6,11,35.9247973,-78.8806132,c(1522684.33214031, 1567837.49460249)
"durham-6-12","durham",6,12,35.9300092,-78.8853173,c(1522165.92322444, 1568336.30625175)
"durham-6-13","durham",6,13,35.9341271,-78.8901052,c(1521662.13179059, 1568713.28595898)
"durham-6-14","durham",6,14,35.9421815,-78.8998308,c(1520645.13212346, 1569444.95634034)
"durham-6-15","durham",6,15,35.9478616,-78.9031045,c(1520243.35212886, 1570018.36100639)
"durham-6-16","durham",6,16,35.9574454,-78.9087501,c(1519554.80637492, 1570983.93840463)
"durham-6-17","durham",6,17,35.9638489,-78.9179103,c(1518620.98272071, 1571543.01693987)
"durham-6-18","durham",6,18,35.9674861,-78.9225563,c(1518139.60580716, 1571869.51968414)
"durham-6-19","durham",6,19,35.9728573,-78.9333264,c(1517085.05465514, 1572289.31903563)
"durham-6-20","durham",6,20,35.9758196,-78.937776,c(1516634.54439954, 1572544.68452497)
"durham-7-1","durham",7,1,35.951236,-78.836051,c(1526072.98174715, 1571464.80932705)
"durham-7-2","durham",7,2,35.95625,-78.82648,c(1526813.76211562, 1572170.86611095)
"durham-7-3","durham",7,3,35.959794,-78.819419,c(1527363.31326142, 1572674.71943129)
"durham-7-4","durham",7,4,35.962164,-78.813438,c(1527841.48474984, 1573031.9256398)
"durham-7-5","durham",7,5,35.964661,-78.805792,c(1528463.4487672, 1573429.92645308)
"durham-7-6","durham",7,6,35.970668,-78.800716,c(1528788.66186731, 1574173.25690364)
"durham-7-7","durham",7,7,35.974903,-78.792632,c(1529413.95400616, 1574769.81880473)
"durham-7-8","durham",7,8,35.977794,-78.781118,c(1530367.77726672, 1575273.61775848)
"durham-7-9","durham",7,9,35.982075,-78.775266,c(1530795.76564535, 1575839.41017681)
"durham-7-10","durham",7,10,35.989001,-78.769871,c(1531130.11602694, 1576689.19896035)
"durham-7-11","durham",7,11,35.992371,-78.76502,c(1531488.3911075, 1577138.55750472)
"durham-8-1","durham",8,1,35.926474,-78.761981,c(1533086.63238234, 1569929.48280819)
"durham-8-2","durham",8,2,35.933695,-78.767016,c(1532497.9336534, 1570643.59789463)
"durham-8-3","durham",8,3,35.939618,-78.771087,c(1532020.29827849, 1571230.33074776)
"durham-8-4","durham",8,4,35.945499,-78.771726,c(1531845.36888123, 1571867.78117252)
"durham-8-5","durham",8,5,35.952134,-78.774109,c(1531501.87379849, 1572560.17824202)
"durham-8-6","durham",8,6,35.958573,-78.778001,c(1531029.69216188, 1573206.69063844)
"durham-8-7","durham",8,7,35.966321,-78.782952,c(1530438.04964412, 1573980.35878018)
"durham-8-8","durham",8,8,35.970357,-78.784644,c(1530207.87064274, 1574397.66881686)
"durham-8-9","durham",8,9,35.974939,-78.785642,c(1530027.69970559, 1574886.30011106)
"durham-8-10","durham",8,10,35.979455,-78.794692,c(1529141.08117872, 1575238.07463932)
"durham-8-11","durham",8,11,35.984999,-78.798088,c(1528730.7991933, 1575794.11857675)
"durham-8-12","durham",8,12,35.99131,-78.801438,c(1528309.14221865, 1576435.41104479)
"durham-8-13","durham",8,13,35.998118,-78.801612,c(1528156.63203942, 1577182.53910082)
"durham-8-14","durham",8,14,36.010964,-78.802016,c(1527862.21672005, 1578591.08826564)
"durham-8-15","durham",8,15,36.018845,-78.805619,c(1527386.81877902, 1579401.30901325)
"durham-8-16","durham",8,16,36.024588,-78.809631,c(1526918.62576566, 1579969.46986855)
"durham-8-17","durham",8,17,36.031722,-78.81219,c(1526550.10504749, 1580714.22843187)
"durham-8-18","durham",8,18,36.038641,-78.817245,c(1525966.71152817, 1581395.23880151)
"durham-8-19","durham",8,19,36.046454,-78.808834,c(1526548.09894798, 1582391.00118583)
"durham-8-20","durham",8,20,36.04858,-78.803373,c(1526984.87595506, 1582712.93322647)
"orange-1-1","orange",1,1,36.233011,-79.2100081,c(1487628.26528846, 1596589.23202574)
"orange-1-2","orange",1,2,36.226355,-79.2076375,c(1487967.15646826, 1595892.47328856)
"orange-1-3","orange",1,3,36.2198271,-79.2040793,c(1488407.70426834, 1595228.45280797)
"orange-1-4","orange",1,4,36.2186924,-79.1975596,c(1489001.78299376, 1595205.47850122)
"orange-1-5","orange",1,5,36.217693,-79.1874463,c(1489908.33776604, 1595253.7974217)
"orange-1-6","orange",1,6,36.2168212,-79.1793409,c(1490636.30603373, 1595284.78621999)
"orange-1-7","orange",1,7,36.2129025,-79.1752011,c(1491076.62898909, 1594917.69544615)
"orange-1-8","orange",1,8,36.2055901,-79.1732061,c(1491395.83657733, 1594142.81938942)
"orange-1-9","orange",1,9,36.197842,-79.1698197,c(1491845.71608629, 1593341.76391859)
"orange-1-10","orange",1,10,36.1914892,-79.1711946,c(1491850.45790535, 1592619.80564037)
"orange-1-11","orange",1,11,36.1848891,-79.1687648,c(1492193.83457506, 1591930.31859492)
"orange-1-12","orange",1,12,36.1784716,-79.1661589,c(1492549.09330549, 1591263.74331434)
"orange-1-13","orange",1,13,36.1712192,-79.1666161,c(1492652.10427223, 1590457.02673779)
"orange-1-14","orange",1,14,36.1634163,-79.1676926,c(1492711.62551029, 1589579.89615528)
"orange-1-15","orange",1,15,36.1568915,-79.1671602,c(1492887.1034888, 1588868.94302732)
"orange-1-16","orange",1,16,36.148553,-79.1647151,c(1493266.25653881, 1587988.10090076)
"orange-1-17","orange",1,17,36.1433722,-79.1631181,c(1493508.68302437, 1587442.05708904)
"orange-1-18","orange",1,18,36.1373916,-79.157413,c(1494127.52855102, 1586872.43120946)
"orange-1-19","orange",1,19,36.1331914,-79.1497279,c(1494885.09504508, 1586530.26393043)
"orange-1-20","orange",1,20,36.1353571,-79.1426814,c(1495460.86367382, 1586879.86800008)
"orange-2-1","orange",2,1,36.1607243,-79.10446,c(1498313.40340525, 1590278.21290095)
"orange-2-2","orange",2,2,36.1648819,-79.1067797,c(1498027.52518171, 1590699.93887008)
"orange-2-3","orange",2,3,36.1719249,-79.1077866,c(1497799.70872902, 1591460.42868808)
"orange-2-4","orange",2,4,36.178134,-79.1031725,c(1498081.52135347, 1592217.59674244)
"orange-2-5","orange",2,5,36.1834933,-79.0998945,c(1498262.90187234, 1592860.03586686)
"orange-2-6","orange",2,6,36.1905204,-79.0945574,c(1498591.79126434, 1593718.79110175)
"orange-2-7","orange",2,7,36.1958907,-79.090263,c(1498861.98744536, 1594378.48586917)
"orange-2-8","orange",2,8,36.2018214,-79.0889036,c(1498863.63232121, 1595053.66803589)
"orange-2-9","orange",2,9,36.2106719,-79.0864088,c(1498906.92376272, 1596068.6094996)
"orange-2-10","orange",2,10,36.2105579,-79.0783783,c(1499613.32431789, 1596182.73388867)
"orange-2-11","orange",2,11,36.2144818,-79.073337,c(1499977.49319969, 1596694.81938025)
"orange-2-12","orange",2,12,36.2187551,-79.0694902,c(1500229.95286957, 1597226.57707247)
"orange-2-13","orange",2,13,36.2245305,-79.0633293,c(1500655.41483351, 1597960.45396481)
"orange-2-14","orange",2,14,36.2258305,-79.0535216,c(1501489.36123968, 1598258.66218351)
"orange-2-15","orange",2,15,36.2276568,-79.0459151,c(1502119.84942508, 1598580.16911942)
"orange-2-16","orange",2,16,36.2296369,-79.0371049,c(1502852.74625982, 1598937.71056646)
"orange-2-17","orange",2,17,36.2290851,-79.0297367,c(1503509.56833626, 1598993.43682053)
"orange-2-18","orange",2,18,36.2332235,-79.0253032,c(1503815.82513751, 1599519.71838033)
"orange-2-19","orange",2,19,36.2386926,-79.0230702,c(1503902.69595481, 1600157.85439364)
"orange-2-20","orange",2,20,36.2387572,-79.0147295,c(1504632.38891815, 1600296.99829566)
"orange-3-1","orange",3,1,36.119491,-79.176668,c(1492790.32471648, 1584596.45802663)
"orange-3-2","orange",3,2,36.120662,-79.186229,c(1491927.73686273, 1584575.41119436)
"orange-3-3","orange",3,3,36.121532,-79.19038,c(1491546.1136617, 1584606.1658506)
"orange-3-4","orange",3,4,36.115745,-79.195547,c(1491206.43164596, 1583887.08812145)
"orange-3-5","orange",3,5,36.111012,-79.201137,c(1490808.77059787, 1583277.58928259)
"orange-3-6","orange",3,6,36.105687,-79.202453,c(1490798.06196115, 1582669.88196762)
"orange-3-7","orange",3,7,36.105685,-79.211613,c(1489993.61968252, 1582526.00614075)
"orange-3-8","orange",3,8,36.099722,-79.214267,c(1489877.87003045, 1581826.98513251)
"orange-3-9","orange",3,9,36.092438,-79.213933,c(1490050.54550373, 1581029.17405849)
"orange-3-10","orange",3,10,36.087875,-79.220204,c(1489589.44494397, 1580427.80152786)
"orange-3-11","orange",3,11,36.085925,-79.226127,c(1489107.46178391, 1580119.99082049)
"orange-3-12","orange",3,12,36.077617,-79.224286,c(1489432.58478844, 1579232.88962213)
"orange-3-13","orange",3,13,36.070867,-79.22445,c(1489550.92185846, 1578486.14122301)
"orange-3-14","orange",3,14,36.065727,-79.226937,c(1489433.46026854, 1577880.48475746)
"orange-3-15","orange",3,15,36.058951,-79.232453,c(1489081.93198437, 1577046.99840323)
"orange-3-16","orange",3,16,36.055865,-79.237684,c(1488682.8504685, 1576624.81459211)
"orange-3-17","orange",3,17,36.050985,-79.243826,c(1488238.896558, 1575990.5936487)
"orange-3-18","orange",3,18,36.047216,-79.251302,c(1487655.79151379, 1575458.0033913)
"orange-3-19","orange",3,19,36.042172,-79.257245,c(1487232.39698196, 1574808.87121809)
"orange-3-20","orange",3,20,36.036967,-79.26018,c(1487076.53167491, 1574189.07541622)
"orange-4-1","orange",4,1,36.082941,-79.099012,c(1500332.49853947, 1581790.36040416)
"orange-4-2","orange",4,2,36.077555,-79.096478,c(1500661.79103163, 1581236.71044355)
"orange-4-3","orange",4,3,36.072344,-79.099331,c(1500514.41977717, 1580617.29236208)
"orange-4-4","orange",4,4,36.066604,-79.093864,c(1501108.42585573, 1580070.95753535)
"orange-4-5","orange",4,5,36.064862,-79.085604,c(1501868.61723468, 1580009.4592542)
"orange-4-6","orange",4,6,36.057989,-79.08186,c(1502333.83747331, 1579311.10641017)
"orange-4-7","orange",4,7,36.053026,-79.076169,c(1502932.30180109, 1578854.08409205)
"orange-4-8","orange",4,8,36.048521,-79.069083,c(1503644.31453839, 1578469.65493831)
"orange-4-9","orange",4,9,36.043341,-79.062869,c(1504293.16820073, 1577997.09041415)
"orange-4-10","orange",4,10,36.038145,-79.058871,c(1504747.66739427, 1577487.72357096)
"orange-4-11","orange",4,11,36.03457,-79.051005,c(1505509.94431283, 1577218.30266431)
"orange-4-12","orange",4,12,36.033587,-79.042454,c(1506280.95692623, 1577245.466835)
"orange-4-13","orange",4,13,36.033016,-79.033138,c(1507111.0125391, 1577330.23865453)
"orange-4-14","orange",4,14,36.03172,-79.024012,c(1507938.79483807, 1577332.18059747)
"orange-4-15","orange",4,15,36.026079,-79.023783,c(1508071.16540413, 1576714.15775843)
"orange-4-16","orange",4,16,36.021894,-79.016261,c(1508815.56010311, 1576372.35733645)
"orange-4-17","orange",4,17,36.017273,-79.008623,c(1509578.89709366, 1575984.41961238)
"orange-4-18","orange",4,18,36.013561,-79.001183,c(1510306.79074468, 1575693.57489536)
"orange-4-19","orange",4,19,36.010719,-78.992958,c(1511086.39908137, 1575511.14581223)
"orange-4-20","orange",4,20,36.005137,-78.991717,c(1511306.7606594, 1574915.77154795)
"orange-5-1","orange",5,1,35.9930535,-79.1493245,c(1497688.6650105, 1571088.91107092)
"orange-5-2","orange",5,2,35.9935961,-79.1589658,c(1496830.02619786, 1570996.82073105)
"orange-5-3","orange",5,3,35.9898849,-79.1614025,c(1496688.97577117, 1570549.36226829)
"orange-5-4","orange",5,4,35.9826421,-79.1582751,c(1497107.02157175, 1569800.26218174)
"orange-5-5","orange",5,5,35.9764258,-79.1606162,c(1497023.79991055, 1569078.17504163)
"orange-5-6","orange",5,6,35.9725553,-79.1645755,c(1496751.88881263, 1568589.17454534)
"orange-5-7","orange",5,7,35.9712556,-79.1751932,c(1495843.44184132, 1568278.73409067)
"orange-5-8","orange",5,8,35.9752349,-79.1825478,c(1495117.96267444, 1568601.64170149)
"orange-5-9","orange",5,9,35.975469,-79.190433,c(1494419.66177334, 1568503.42159426)
"orange-5-10","orange",5,10,35.9713528,-79.1940569,c(1494181.94121736, 1567992.69477146)
"orange-5-11","orange",5,11,35.964597,-79.1941635,c(1494305.65005499, 1567246.30104587)
"orange-5-12","orange",5,12,35.9589448,-79.1997637,c(1493924.21196906, 1566535.19047723)
"orange-5-13","orange",5,13,35.955413,-79.2069467,c(1493361.6655623, 1566032.96736519)
"orange-5-14","orange",5,14,35.9550977,-79.2156431,c(1492602.5811286, 1565861.58843925)
"orange-5-15","orange",5,15,35.9546748,-79.2247939,c(1491805.60490841, 1565671.28355769)
"orange-5-16","orange",5,16,35.9516943,-79.2300643,c(1491400.3786039, 1565259.99262961)
"orange-5-17","orange",5,17,35.947859,-79.2372159,c(1490846.33854371, 1564724.97465305)
"orange-5-18","orange",5,18,35.9407976,-79.2385327,c(1490869.18389871, 1563925.86166654)
"orange-5-19","orange",5,19,35.9355687,-79.2353966,c(1491247.98436791, 1563398.63147044)
"orange-5-20","orange",5,20,35.9289921,-79.2316788,c(1491704.51958867, 1562731.98150806)
"orange-6-1","orange",6,1,36.001686,-79.026619,c(1508307.20769212, 1573980.98433135)
"orange-6-2","orange",6,2,36.001788,-79.035657,c(1507510.5862552, 1573848.81742414)
"orange-6-3","orange",6,3,35.999948,-79.043202,c(1506883.81396355, 1573526.38018995)
"orange-6-4","orange",6,4,35.992809,-79.043875,c(1506966.52678815, 1572728.95668223)
"orange-6-5","orange",6,5,35.987944,-79.048141,c(1506688.0833267, 1572125.16948049)
"orange-6-6","orange",6,6,35.980372,-79.049462,c(1506722.359007, 1571269.75429721)
"orange-6-7","orange",6,7,35.97359,-79.050566,c(1506760.00189386, 1570504.8432186)
"orange-6-8","orange",6,8,35.970917,-79.059075,c(1506064.68216303, 1570075.38495419)
"orange-6-9","orange",6,9,35.974595,-79.06335,c(1505615.64939752, 1570412.9855077)
"orange-6-10","orange",6,10,35.969352,-79.062485,c(1505795.8160079, 1569848.87609492)
"orange-6-11","orange",6,11,35.96993,-79.073413,c(1504823.11546712, 1569739.47851539)
"orange-6-12","orange",6,12,35.968803,-79.08168,c(1504118.28638121, 1569484.39731528)
"orange-6-13","orange",6,13,35.965614,-79.090416,c(1503413.03704701, 1568994.69872379)
"orange-6-14","orange",6,14,35.959827,-79.085154,c(1503990.65932075, 1568440.16622122)
"orange-6-15","orange",6,15,35.954117,-79.08125,c(1504447.34274397, 1567872.66186641)
"orange-6-16","orange",6,16,35.9480714,-79.0832613,c(1504390.26011607, 1567174.54151343)
"orange-6-17","orange",6,17,35.941798,-79.088232,c(1504077.24999691, 1566404.47515078)
"orange-6-18","orange",6,18,35.942579,-79.095596,c(1503413.76915499, 1566374.02621538)
"orange-6-19","orange",6,19,35.942829,-79.101257,c(1502910.66807306, 1566312.03782544)
"orange-6-20","orange",6,20,35.942695,-79.108836,c(1502246.38792752, 1566177.43699671)
"orange-7-1","orange",7,1,36.132105,-79.223926,c(1488392.59126557, 1585245.88172082)
"orange-7-2","orange",7,2,36.13889,-79.22034,c(1488573.9598879, 1586050.11413601)
"orange-7-3","orange",7,3,36.14466,-79.21589,c(1488851.08396499, 1586755.9812267)
"orange-7-4","orange",7,4,36.1489,-79.2077,c(1489486.54005037, 1587351.7851454)
"orange-7-5","orange",7,5,36.15205,-79.20053,c(1490053.84705878, 1587811.47269312)
"orange-7-6","orange",7,6,36.15863,-79.19863,c(1490091.00352145, 1588566.70682274)
"orange-7-7","orange",7,7,36.16424,-79.19681,c(1490140.21785351, 1589213.74563021)
"orange-7-8","orange",7,8,36.17145,-79.19305,c(1490328.11425235, 1590067.60720948)
"orange-7-9","orange",7,9,36.17449,-79.18509,c(1490966.64648988, 1590527.62068245)
"orange-7-10","orange",7,10,36.17928,-79.17873,c(1491430.22120763, 1591155.50397487)
"orange-7-11","orange",7,11,36.18373,-79.17701,c(1491493.36030197, 1591673.09781262)
"orange-7-12","orange",7,12,36.188343,-79.180411,c(1491104.02705305, 1592128.30059744)
"orange-7-13","orange",7,13,36.189729,-79.17355,c(1491678.56467125, 1592388.77594001)
"orange-7-14","orange",7,14,36.192199,-79.16607,c(1492285.97769019, 1592778.51703259)
"orange-7-15","orange",7,15,36.197774,-79.160022,c(1492706.43096448, 1593488.11737267)
"orange-7-16","orange",7,16,36.206992,-79.156905,c(1492797.80441561, 1594553.31401606)
"orange-7-17","orange",7,17,36.212327,-79.156839,c(1492698.24558089, 1595142.50738981)
"orange-7-18","orange",7,18,36.217935,-79.153762,c(1492857.31951015, 1595809.09476148)
"orange-7-19","orange",7,19,36.224038,-79.150572,c(1493016.4810451, 1596532.03241831)
"orange-7-20","orange",7,20,36.2255,-79.140737,c(1493849.89804605, 1596847.76434529)
"orange-8-2","orange",8,2,36.1562491,-78.9702869,c(1510174.2176654, 1591908.74789127)
"orange-8-3","orange",8,3,36.1565137,-78.9705606,c(1510144.92475992, 1591933.55800461)
"orange-8-4","orange",8,4,36.1676647,-78.9801995,c(1509076.853124, 1593009.32186539)
"orange-8-5","orange",8,5,36.171517,-78.987614,c(1508349.65552103, 1593316.15772521)
"orange-8-6","orange",8,6,36.176411,-78.9958063,c(1507533.53037258, 1593725.52304343)
"orange-8-7","orange",8,7,36.177307,-79.0046091,c(1506743.59367834, 1593684.66674175)
"orange-8-8","orange",8,8,36.1768262,-79.0113773,c(1506159.53382115, 1593524.38863332)
"orange-8-9","orange",8,9,36.1772706,-79.0205572,c(1505345.50752447, 1593427.91650304)
"orange-8-10","orange",8,10,36.1830545,-79.0259472,c(1504757.65284987, 1593980.02612767)
"orange-8-11","orange",8,11,36.1831343,-79.0326892,c(1504164.74975084, 1593882.08945567)
"orange-8-12","orange",8,12,36.1839426,-79.0415035,c(1503375.60064673, 1593831.70444559)
