"County_Route_Stop","mbbs_county","route_num","stop_num","lat","lon","WKT"
"chatham-4-6","chatham",4,6,35.596687,-79.3009093,c(1492113.58348192, 1525014.74880444)
"chatham-4-7","chatham",4,7,35.5960411,-79.308629,c(1491443.54897653, 1524822.37540411)
"chatham-4-8","chatham",4,8,35.5952532,-79.3185968,c(1490577.45687329, 1524579.13991387)
"chatham-4-9","chatham",4,9,35.5927954,-79.3262783,c(1489946.15778286, 1524187.76509144)
"chatham-4-10","chatham",4,10,35.5966128,-79.3260674,c(1489890.21427836, 1524611.85771017)
"chatham-4-11","chatham",4,11,35.6036168,-79.3197012,c(1490316.29314649, 1525483.71754623)
"chatham-4-12","chatham",4,12,35.6102677,-79.323178,c(1489878.86252781, 1526162.32176988)
"chatham-4-13","chatham",4,13,35.6174446,-79.3258163,c(1489505.33754505, 1526912.07409419)
"chatham-4-14","chatham",4,14,35.6214633,-79.3309071,c(1488976.74210799, 1527275.28363904)
"chatham-4-15","chatham",4,15,35.6220722,-79.3399475,c(1488165.60593319, 1527200.79835959)
"chatham-4-16","chatham",4,16,35.6305218,-79.3382976,c(1488146.4732715, 1528158.06835507)
"chatham-4-17","chatham",4,17,35.6369013,-79.3400344,c(1487868.38069976, 1528834.11651196)
"chatham-4-18","chatham",4,18,35.6486759,-79.3349673,c(1488086.29157974, 1530211.43017786)
"chatham-4-19","chatham",4,19,35.6510179,-79.3424229,c(1487381.66276289, 1530352.88661597)
"chatham-4-20","chatham",4,20,35.6452243,-79.3589087,c(1486037.70012131, 1529456.30361072)
"chatham-5-1","chatham",5,1,35.66617,-79.48569,c(1474425.41369673, 1529790.90869593)
"chatham-5-2","chatham",5,2,35.661167,-79.490189,c(1474124.6014127, 1529169.44412989)
"chatham-5-3","chatham",5,3,35.6549811,-79.4861775,c(1474598.90300977, 1528549.57577247)
"chatham-5-4","chatham",5,4,35.6549225,-79.4783964,c(1475287.83728124, 1528663.87915962)
"chatham-5-5","chatham",5,5,35.650359,-79.47403,c(1475762.19107033, 1528228.48154621)
"chatham-5-6","chatham",5,6,35.641631,-79.475362,c(1475813.49414443, 1527245.41591002)
"chatham-5-7","chatham",5,7,35.637177,-79.470007,c(1476373.21123515, 1526837.48230141)
"chatham-5-8","chatham",5,8,35.640322,-79.461139,c(1477096.27900998, 1527322.05455439)
"chatham-5-9","chatham",5,9,35.638346,-79.457952,c(1477416.34377539, 1527153.72172474)
"chatham-5-10","chatham",5,10,35.631624,-79.457816,c(1477558.69854151, 1526414.67398687)
"chatham-5-11","chatham",5,11,35.625694,-79.457334,c(1477716.29334982, 1525768.33538035)
"chatham-5-12","chatham",5,12,35.617446,-79.455179,c(1478066.78744736, 1524892.44376407)
"chatham-5-13","chatham",5,13,35.611642,-79.450102,c(1478628.34057267, 1524331.49509192)
"chatham-5-14","chatham",5,14,35.6086766,-79.4421586,c(1479388.38683932, 1524128.17014453)
"chatham-5-15","chatham",5,15,35.604648,-79.438066,c(1479828.53809945, 1523747.7244612)
"chatham-5-16","chatham",5,16,35.596575,-79.435343,c(1480226.10391725, 1522900.07015909)
"chatham-5-17","chatham",5,17,35.587973,-79.433613,c(1480546.14610744, 1521978.64506289)
"chatham-5-18","chatham",5,18,35.580027,-79.430549,c(1480971.50488278, 1521150.3467707)
"chatham-5-19","chatham",5,19,35.571881,-79.433184,c(1480896.54600267, 1520211.20136157)
"chatham-5-20","chatham",5,20,35.566441,-79.430292,c(1481258.07784574, 1519656.52512597)
"chatham-6-1","chatham",6,1,35.81981,-79.47866,c(1472071.29585374, 1546842.36322598)
"chatham-6-2","chatham",6,2,35.821921,-79.480549,c(1471863.80235608, 1547045.9059319)
"chatham-6-3","chatham",6,3,35.830756,-79.480129,c(1471729.74891907, 1548026.74114722)
"chatham-6-4","chatham",6,4,35.837472,-79.479996,c(1471611.41523983, 1548769.45052215)
"chatham-6-5","chatham",6,5,35.843036,-79.478017,c(1471678.1596789, 1549413.70383235)
"chatham-6-6","chatham",6,6,35.841359,-79.468721,c(1472530.3237151, 1549372.76203235)
"chatham-6-7","chatham",6,7,35.842234,-79.459836,c(1473296.78733326, 1549606.96405414)
"chatham-6-8","chatham",6,8,35.837041,-79.454318,c(1473884.04501154, 1549119.85715773)
"chatham-6-9","chatham",6,9,35.831381,-79.449306,c(1474435.803834, 1548573.44350848)
"chatham-6-10","chatham",6,10,35.824808,-79.448311,c(1474651.08094585, 1547864.04779802)
"chatham-6-11","chatham",6,11,35.817855,-79.445535,c(1475030.82785473, 1547140.39734861)
"chatham-6-12","chatham",6,12,35.813909,-79.439801,c(1475613.15769234, 1546794.27953483)
"chatham-6-13","chatham",6,13,35.808945,-79.433373,c(1476276.51868713, 1546346.72869522)
"chatham-6-14","chatham",6,14,35.802477,-79.424753,c(1477162.52854804, 1545767.45794082)
"chatham-6-15","chatham",6,15,35.79937,-79.421166,c(1477539.3288116, 1545480.62097888)
"chatham-6-16","chatham",6,16,35.794998,-79.414447,c(1478217.04771425, 1545103.0286558)
"chatham-6-17","chatham",6,17,35.792698,-79.406864,c(1478930.75151166, 1544967.40217364)
"chatham-6-18","chatham",6,18,35.790804,-79.397076,c(1479831.11595599, 1544910.93608815)
"chatham-6-19","chatham",6,19,35.788643,-79.389903,c(1480506.00330921, 1544784.38601376)
"chatham-6-20","chatham",6,20,35.78529,-79.379675,c(1481473.66622316, 1544574.08384081)
"chatham-7-1","chatham",7,1,35.7128722,-79.3712036,c(1483632.55337024, 1536721.99133767)
"chatham-7-2","chatham",7,2,35.7061355,-79.3740055,c(1483516.40108909, 1535935.53956916)
"chatham-7-3","chatham",7,3,35.7001185,-79.3756967,c(1483484.28185761, 1535245.774893)
"chatham-7-4","chatham",7,4,35.7017803,-79.3672945,c(1484193.99360742, 1535560.1753077)
"chatham-7-5","chatham",7,5,35.7046057,-79.360453,c(1484743.1310566, 1535978.53255005)
"chatham-7-6","chatham",7,6,35.7094153,-79.3531007,c(1485298.61088009, 1536623.65649921)
"chatham-7-7","chatham",7,7,35.7071309,-79.3458036,c(1485987.59932646, 1536485.89068883)
"chatham-7-8","chatham",7,8,35.7050258,-79.3371755,c(1486790.65926811, 1536388.77051955)
"chatham-7-9","chatham",7,9,35.7087703,-79.3362319,c(1486800.8565177, 1536816.3301399)
"chatham-7-10","chatham",7,10,35.710583,-79.3282106,c(1487473.76947347, 1537141.6847502)
"chatham-7-11","chatham",7,11,35.7127298,-79.3208465,c(1488082.07570226, 1537493.63297504)
"chatham-7-12","chatham",7,12,35.7158568,-79.3125491,c(1488753.57192468, 1537968.29998552)
