"County_Route_Stop","County_Route","mbbs_county","route_num","stop_num","lat","lon","notes"
"Durham-1-1","Durham-1","Durham",1,1,36.146827,-78.94738,""
"Durham-1-2","Durham-1","Durham",1,2,36.153833,-78.945099,""
"Durham-1-3","Durham-1","Durham",1,3,36.159448,-78.950115,""
"Durham-1-4","Durham-1","Durham",1,4,36.165366,-78.947431,""
"Durham-1-5","Durham-1","Durham",1,5,36.167614,-78.939551,""
"Durham-1-6","Durham-1","Durham",1,6,36.165791,-78.931553,""
"Durham-1-7","Durham-1","Durham",1,7,36.171284,-78.924783,""
"Durham-1-8","Durham-1","Durham",1,8,36.174101,-78.918697,""
"Durham-1-9","Durham-1","Durham",1,9,36.177046,-78.910515,""
"Durham-1-10","Durham-1","Durham",1,10,36.198361,-78.903929,""
"Durham-1-11","Durham-1","Durham",1,11,36.199336,-78.894878,""
"Durham-1-12","Durham-1","Durham",1,12,36.200371,-78.886693,""
"Durham-1-13","Durham-1","Durham",1,13,36.203491,-78.879702,""
"Durham-1-14","Durham-1","Durham",1,14,36.206463,-78.871907,""
"Durham-1-15","Durham-1","Durham",1,15,36.212495,-78.868406,""
"Durham-1-16","Durham-1","Durham",1,16,36.21665,-78.874843,""
"Durham-1-17","Durham-1","Durham",1,17,36.222575,-78.881816,""
"Durham-1-18","Durham-1","Durham",1,18,36.227544,-78.88045,""
"Durham-1-19","Durham-1","Durham",1,19,36.229474,-78.871102,""
"Durham-1-20","Durham-1","Durham",1,20,36.230211,-78.863988,""
"Durham-2-1","Durham-2","Durham",2,1,36.121814,-78.839884,""
"Durham-2-2","Durham-2","Durham",2,2,36.127101,-78.84921,""
"Durham-2-3","Durham-2","Durham",2,3,36.132187,-78.853069,""
"Durham-2-4","Durham-2","Durham",2,4,36.138897,-78.857054,""
"Durham-2-5","Durham-2","Durham",2,5,36.144576,-78.860898,""
"Durham-2-6","Durham-2","Durham",2,6,36.150464,-78.866347,""
"Durham-2-7","Durham-2","Durham",2,7,36.15219,-78.872216,""
"Durham-2-8","Durham-2","Durham",2,8,36.148358,-78.878233,""
"Durham-2-9","Durham-2","Durham",2,9,36.144251,-78.882879,""
"Durham-2-10","Durham-2","Durham",2,10,36.144997,-78.892117,""
"Durham-2-11","Durham-2","Durham",2,11,36.147595,-78.897946,""
"Durham-2-12","Durham-2","Durham",2,12,36.154477,-78.895765,""
"Durham-2-13","Durham-2","Durham",2,13,36.160831,-78.895588,""
"Durham-2-14","Durham-2","Durham",2,14,36.167231,-78.891647,""
"Durham-2-15","Durham-2","Durham",2,15,36.170638,-78.883845,""
"Durham-2-16","Durham-2","Durham",2,16,36.175338,-78.881963,""
"Durham-2-17","Durham-2","Durham",2,17,36.180032,-78.887381,""
"Durham-2-18","Durham-2","Durham",2,18,36.185202,-78.88971,""
"Durham-2-19","Durham-2","Durham",2,19,36.191652,-78.898034,""
"Durham-2-20","Durham-2","Durham",2,20,36.193735,-78.903379,""
"Durham-3-1","Durham-3","Durham",3,1,36.0174968,-78.9190325,""
"Durham-3-2","Durham-3","Durham",3,2,36.0244489,-78.9197512,""
"Durham-3-3","Durham-3","Durham",3,3,36.0302437,-78.9254672,""
"Durham-3-4","Durham-3","Durham",3,4,36.0360277,-78.929253,""
"Durham-3-5","Durham-3","Durham",3,5,36.0371268,-78.9365445,""
"Durham-3-6","Durham-3","Durham",3,6,36.0386392,-78.9475227,""
"Durham-3-7","Durham-3","Durham",3,7,36.0426801,-78.955214,""
"Durham-3-8","Durham-3","Durham",3,8,36.0428468,-78.9625931,""
"Durham-3-9","Durham-3","Durham",3,9,36.0472806,-78.9693279,""
"Durham-3-10","Durham-3","Durham",3,10,36.0531853,-78.9732269,""
"Durham-3-11","Durham-3","Durham",3,11,36.0593967,-78.9780444,""
"Durham-3-12","Durham-3","Durham",3,12,36.0653133,-78.9774317,""
"Durham-3-13","Durham-3","Durham",3,13,36.0727903,-78.9730363,""
"Durham-3-14","Durham-3","Durham",3,14,36.0760626,-78.9664597,""
"Durham-3-15","Durham-3","Durham",3,15,36.0761728,-78.9569745,""
"Durham-3-16","Durham-3","Durham",3,16,36.0775314,-78.9488686,""
"Durham-3-17","Durham-3","Durham",3,17,36.0823143,-78.9415308,""
"Durham-3-18","Durham-3","Durham",3,18,36.0948432,-78.9325766,""
"Durham-3-19","Durham-3","Durham",3,19,36.1032818,-78.9310083,""
"Durham-3-20","Durham-3","Durham",3,20,36.1098165,-78.9295937,""
"Durham-4-1","Durham-4","Durham",4,1,36.09356,-78.909942,""
"Durham-4-2","Durham-4","Durham",4,2,36.09265,-78.90081,""
"Durham-4-3","Durham-4","Durham",4,3,36.095121,-78.89222,""
"Durham-4-4","Durham-4","Durham",4,4,36.093249,-78.883716,""
"Durham-4-5","Durham-4","Durham",4,5,36.087356,-78.877485,""
"Durham-4-6","Durham-4","Durham",4,6,36.083043,-78.871214,""
"Durham-4-7","Durham-4","Durham",4,7,36.083335,-78.864523,""
"Durham-4-8","Durham-4","Durham",4,8,36.074626,-78.863454,""
"Durham-4-9","Durham-4","Durham",4,9,36.075709,-78.860588,""
"Durham-4-10","Durham-4","Durham",4,10,36.082363,-78.853651,""
"Durham-4-11","Durham-4","Durham",4,11,36.086306,-78.847129,""
"Durham-4-12","Durham-4","Durham",4,12,36.091449,-78.840976,""
"Durham-4-13","Durham-4","Durham",4,13,36.094726,-78.834778,""
"Durham-4-14","Durham-4","Durham",4,14,36.091571,-78.829924,""
"Durham-4-15","Durham-4","Durham",4,15,36.084415,-78.824493,""
"Durham-4-16","Durham-4","Durham",4,16,36.076406,-78.821093,""
"Durham-4-17","Durham-4","Durham",4,17,36.06637,-78.820962,""
"Durham-4-18","Durham-4","Durham",4,18,36.060492,-78.817566,""
"Durham-4-19","Durham-4","Durham",4,19,36.052976,-78.815265,""
"Durham-4-20","Durham-4","Durham",4,20,36.04377,-78.814958,""
"Durham-5-1","Durham-5","Durham",5,1,35.8828612,-78.9927439,""
"Durham-5-2","Durham-5","Durham",5,2,35.8868399,-78.9864874,""
"Durham-5-3","Durham-5","Durham",5,3,35.8922646,-78.9807503,""
"Durham-5-4","Durham-5","Durham",5,4,35.9007635,-78.9806876,""
"Durham-5-5","Durham-5","Durham",5,5,35.9055098,-78.9832843,""
"Durham-5-6","Durham-5","Durham",5,6,35.910952,-78.9841122,""
