"County_Route_Stop","County_Route","mbbs_county","route_num","stop_num","lat","lon","notes"
"Orange-1-1","Orange-1","Orange",1,1,36.233011,-79.2100081,""
"Orange-1-2","Orange-1","Orange",1,2,36.226355,-79.2076375,""
"Orange-1-3","Orange-1","Orange",1,3,36.2198271,-79.2040793,""
"Orange-1-4","Orange-1","Orange",1,4,36.2186924,-79.1975596,""
"Orange-1-5","Orange-1","Orange",1,5,36.217693,-79.1874463,""
"Orange-1-6","Orange-1","Orange",1,6,36.2168212,-79.1793409,""
"Orange-1-7","Orange-1","Orange",1,7,36.2129025,-79.1752011,""
"Orange-1-8","Orange-1","Orange",1,8,36.2055901,-79.1732061,""
"Orange-1-9","Orange-1","Orange",1,9,36.197842,-79.1698197,""
"Orange-1-10","Orange-1","Orange",1,10,36.1914892,-79.1711946,""
"Orange-1-11","Orange-1","Orange",1,11,36.1848891,-79.1687648,""
"Orange-1-12","Orange-1","Orange",1,12,36.1784716,-79.1661589,""
"Orange-1-13","Orange-1","Orange",1,13,36.1712192,-79.1666161,""
"Orange-1-14","Orange-1","Orange",1,14,36.1634163,-79.1676926,""
"Orange-1-15","Orange-1","Orange",1,15,36.1568915,-79.1671602,""
"Orange-1-16","Orange-1","Orange",1,16,36.148553,-79.1647151,""
"Orange-1-17","Orange-1","Orange",1,17,36.1433722,-79.1631181,""
"Orange-1-18","Orange-1","Orange",1,18,36.1373916,-79.157413,""
"Orange-1-19","Orange-1","Orange",1,19,36.1331914,-79.1497279,""
"Orange-1-20","Orange-1","Orange",1,20,36.1353571,-79.1426814,""
"Orange-2-1","Orange-2","Orange",2,1,36.1607243,-79.10446,""
"Orange-2-2","Orange-2","Orange",2,2,36.1648819,-79.1067797,""
"Orange-2-3","Orange-2","Orange",2,3,36.1719249,-79.1077866,""
"Orange-2-4","Orange-2","Orange",2,4,36.178134,-79.1031725,""
"Orange-2-5","Orange-2","Orange",2,5,36.1834933,-79.0998945,""
"Orange-2-6","Orange-2","Orange",2,6,36.1905204,-79.0945574,""
"Orange-2-7","Orange-2","Orange",2,7,36.1958907,-79.090263,""
"Orange-2-8","Orange-2","Orange",2,8,36.2018214,-79.0889036,""
"Orange-2-9","Orange-2","Orange",2,9,36.2106719,-79.0864088,""
"Orange-2-10","Orange-2","Orange",2,10,36.2105579,-79.0783783,""
"Orange-2-11","Orange-2","Orange",2,11,36.2144818,-79.073337,""
"Orange-2-12","Orange-2","Orange",2,12,36.2187551,-79.0694902,""
"Orange-2-13","Orange-2","Orange",2,13,36.2245305,-79.0633293,""
"Orange-2-14","Orange-2","Orange",2,14,36.2258305,-79.0535216,""
"Orange-2-15","Orange-2","Orange",2,15,36.2276568,-79.0459151,""
"Orange-2-16","Orange-2","Orange",2,16,36.2296369,-79.0371049,""
"Orange-2-17","Orange-2","Orange",2,17,36.2290851,-79.0297367,""
"Orange-2-18","Orange-2","Orange",2,18,36.2332235,-79.0253032,""
"Orange-2-19","Orange-2","Orange",2,19,36.2386926,-79.0230702,""
