"common_name_standard","common_name"
1,"Acadian Flycatcher"
2,"American Crow"
3,"American Goldfinch"
4,"American Robin"
5,"Barn Swallow"
6,"Blue Grosbeak"
7,"Blue Jay"
8,"Blue-gray Gnatcatcher"
9,"Brown Thrasher"
10,"Brown-headed Cowbird"
11,"Brown-headed Nuthatch"
12,"Carolina Chickadee"
13,"Carolina Wren"
14,"Chimney Swift"
15,"Chipping Sparrow"
16,"Common Grackle"
17,"Common Yellowthroat"
18,"Downy Woodpecker"
19,"Eastern Bluebird"
20,"Eastern Kingbird"
21,"Eastern Meadowlark"
22,"Eastern Phoebe"
23,"Eastern Towhee"
24,"Eastern Wood-Pewee"
25,"European Starling"
26,"Field Sparrow"
27,"Fish Crow"
28,"Grasshopper Sparrow"
29,"Gray Catbird"
30,"Great Crested Flycatcher"
31,"Hooded Warbler"
32,"House Finch"
33,"House Sparrow"
34,"Indigo Bunting"
35,"Mourning Dove"
36,"Northern Bobwhite"
37,"Northern Cardinal"
38,"Northern Mockingbird"
39,"Northern Parula"
40,"Orchard Oriole"
41,"Ovenbird"
42,"Pileated Woodpecker"
43,"Pine Warbler"
44,"Prairie Warbler"
45,"Purple Martin"
46,"Red-bellied Woodpecker"
47,"Red-eyed Vireo"
48,"Red-winged Blackbird"
49,"Ruby-throated Hummingbird"
50,"Scarlet Tanager"
51,"Song Sparrow"
52,"Summer Tanager"
53,"Tufted Titmouse"
54,"White-breasted Nuthatch"
55,"White-eyed Vireo"
56,"Wood Thrush"
57,"Yellow-billed Cuckoo"
58,"Yellow-breasted Chat"
59,"Yellow-throated Vireo"
60,"Yellow-throated Warbler"
