"common_name","habitat_selection","habitat_sd","habitat_ndvi_min","habitat_ndvi_max"
"Acadian Flycatcher",0.817457498092575,0.0343287559284511,0.664940494791667,0.883213411458333
"American Crow",0.797272667845985,0.0456538020479611,0.554994523111979,0.884716731770833
"American Goldfinch",0.793321073979667,0.0491858088815362,0.59849013671875,0.87970810546875
"American Redstart",0.765812049696181,0.0885344707503028,0.664940494791667,0.830637044270833
"American Robin",0.751783996460631,0.0721645544929608,0.540293806966146,0.866471915690104
"Barn Swallow",0.775072130722678,0.0472231741953774,0.596071085611979,0.84515615234375
"Black-and-white Warbler",0.829346813889492,0.0283145497685025,0.758876977539062,0.880193505859375
"Blackpoll Warbler",0.731027067057292,0.0548821644395502,0.676502457682292,0.7844572265625
"Blue Grosbeak",0.796334653871505,0.0353355580197054,0.676502457682292,0.880136531575521
"Blue Jay",0.796985108954033,0.04315267027473,0.596071085611979,0.883213411458333
"Blue-gray Gnatcatcher",0.804405793745505,0.0385230132051614,0.641807926432292,0.883213411458333
"Brown Thrasher",0.787390892477597,0.0499010873968154,0.540293806966146,0.866427815755208
"Brown-headed Cowbird",0.78873085247154,0.0496954905754212,0.594851765950521,0.865461051432292
"Brown-headed Nuthatch",0.791434411301956,0.0379706432532278,0.654584183756511,0.865461051432292
"Carolina Chickadee",0.798394155266131,0.0408933576225624,0.59849013671875,0.887310611979167
"Carolina Wren",0.792068868529887,0.0472324121522687,0.540293806966146,0.887310611979167
"Cedar Waxwing",0.802159342447917,0.0328376372481419,0.75697041015625,0.848342220052083
"Chimney Swift",0.77409781579199,0.0507459216844261,0.59849013671875,0.887310611979167
"Chipping Sparrow",0.792093193628142,0.047268353031917,0.554994523111979,0.887310611979167
"Chuck-will's-widow",0.793659330512153,0.0182462085308173,0.771685682508681,0.822521712239583
"Cliff Swallow",0.739458497256324,0.00682603231025677,0.734026009114583,0.747530834960938
"Common Grackle",0.769049028872137,0.0489677988109873,0.594851765950521,0.841891589355469
"Common Yellowthroat",0.806427966474477,0.033683366302262,0.681180257161458,0.884716731770833
"Dickcissel",0.750523714192708,NA,0.750523714192708,0.750523714192708
"Downy Woodpecker",0.798442352456639,0.0469590498681322,0.59849013671875,0.884716731770833
"Eastern Bluebird",0.794031808463707,0.0395123402813179,0.596071085611979,0.880261962890625
"Eastern Kingbird",0.797352237577734,0.0390148442099387,0.676502457682292,0.862557112630208
"Eastern Meadowlark",0.79249489426083,0.0323267115328262,0.720018831380208,0.8447796875
"Eastern Phoebe",0.794113749878554,0.0480519113872498,0.596071085611979,0.887310611979167
"Eastern Towhee",0.766564636813879,0.0684481368101457,0.540293806966146,0.884716731770833
"Eastern Whip-poor-will",0.826138496698885,0.0210072424761216,0.7913630859375,0.863548990885417
"Eastern Wood-Pewee",0.807362039026331,0.0317229594604911,0.691525309244792,0.887310611979167
"European Starling",0.751652734205458,0.0480853441219902,0.606337093098958,0.8447796875
"Field Sparrow",0.77984674657751,0.0319710819008353,0.726825748697917,0.82975732421875
"Fish Crow",0.780578561598612,0.0595936383548348,0.609215649414063,0.866471915690104
"Grasshopper Sparrow",0.774358050043896,0.0321211905170377,0.731989322916667,0.8447796875
"Gray Catbird",0.753754799350028,0.0648437822870115,0.594851765950521,0.856805029296875
"Great Crested Flycatcher",0.798215853071747,0.0429432134096405,0.554994523111979,0.880261962890625
"Hairy Woodpecker",0.800441369967991,0.0500130817572249,0.649898811848958,0.880261962890625
"Hooded Warbler",0.835393062877006,0.0283002686741028,0.761006852213542,0.883213411458333
"Horned Lark",0.75697041015625,NA,0.75697041015625,0.75697041015625
"House Finch",0.76504851249658,0.0614358581486153,0.540293806966146,0.862557112630208
"House Sparrow",0.733708249363755,0.0418915750897564,0.651536897786458,0.795395377604167
"Indigo Bunting",0.800676765131939,0.0381935588143259,0.613794287109375,0.887310611979167
"Kentucky Warbler",0.830016905924479,0.0237734031777516,0.805755069986979,0.884716731770833
"Loggerhead Shrike",0.720018831380208,0,0.720018831380208,0.720018831380208
"Louisiana Waterthrush",0.819552773708767,0.0341553782863322,0.737630126953125,0.860596451822917
"Mourning Dove",0.798298889540323,0.0426684236279238,0.594851765950521,0.887310611979167
"Northern Bobwhite",0.804006785753038,0.0605119579443419,0.731989322916667,0.884716731770833
"Northern Cardinal",0.794664453903624,0.0494488538871018,0.540293806966146,0.887310611979167
"Northern Flicker",0.768382416126715,0.0630310159762334,0.649898811848958,0.865461051432292
"Northern House Wren",0.755720150787662,0.0647583941490323,0.625006437174479,0.839128580729167
"Northern Mockingbird",0.782926494750188,0.0536032377979285,0.554994523111979,0.887310611979167
"Northern Parula",0.814104067102795,0.0318263021376751,0.691525309244792,0.865461051432292
"Northern Rough-winged Swallow",0.76229753870081,0.0463930775347429,0.612358260091146,0.820715454101563
"Orchard Oriole",0.77986681013696,0.0397112344825318,0.681180257161458,0.8447796875
"Ovenbird",0.810018489730406,0.0377446118730298,0.664940494791667,0.884716731770833
"Pileated Woodpecker",0.806511848015514,0.0323463662697973,0.729663301595052,0.880193505859375
"Pine Warbler",0.798568713606704,0.0497037043094433,0.587495361328125,0.887310611979167
"Prairie Warbler",0.811814421334369,0.0346741012528393,0.737663677300347,0.884716731770833
"Prothonotary Warbler",0.795395377604167,0,0.795395377604167,0.795395377604167
"Purple Martin",0.795590986001371,0.0374721481174844,0.676502457682292,0.865461051432292
"Red-bellied Woodpecker",0.798972705602886,0.0423600192882444,0.619094104003906,0.887310611979167
"Red-eyed Vireo",0.810307538688151,0.0367986709264632,0.613794287109375,0.887310611979167
"Red-headed Woodpecker",0.798608286070212,0.0509896881090677,0.703701944986979,0.887310611979167
"Red-tailed Hawk",0.778804494501251,0.0513565549555105,0.625006437174479,0.850039957682292
"Red-winged Blackbird",0.782578026665582,0.0436099518604299,0.654584183756511,0.862557112630208
"Ruby-throated Hummingbird",0.79857208911626,0.0357550230722968,0.703701944986979,0.860596451822917
"Scarlet Tanager",0.809903271624686,0.0355374607911624,0.729663301595052,0.857177294921875
"Song Sparrow",0.724491573806738,0.0627550439714506,0.609215649414063,0.852264507378472
"Summer Tanager",0.805562872583465,0.0418433619713156,0.587495361328125,0.887310611979167
"Swainson's Thrush",0.833580434389468,0.0275032949773424,0.808035541449653,0.862693782552083
"Tree Swallow",0.79325391000601,0.0345421735946112,0.748306363932292,0.846953841145833
"Tufted Titmouse",0.797486883689025,0.0447174929719781,0.540293806966146,0.883213411458333
"White-breasted Nuthatch",0.80485666445561,0.0408097024365372,0.649898811848958,0.883213411458333
"White-eyed Vireo",0.806190617278862,0.0381661630742204,0.676502457682292,0.884716731770833
"Wild Turkey",0.808323539293077,0.0280521930250448,0.731989322916667,0.85505068359375
"Wood Thrush",0.82306048795912,0.0319362172777234,0.664940494791667,0.887310611979167
"Worm-eating Warbler",0.838899967447917,NA,0.838899967447917,0.838899967447917
"Yellow-billed Cuckoo",0.807124822209676,0.0352129719765915,0.691525309244792,0.884716731770833
"Yellow-breasted Chat",0.809315001433573,0.0402753458233846,0.7221560546875,0.884716731770833
"Yellow-throated Vireo",0.816508992128725,0.0327384540180821,0.725845556640625,0.866427815755208
"Yellow-throated Warbler",0.821451708796449,0.0370750755112133,0.676502457682292,0.887310611979167
