"common_name","sp_id","z_tempwq","ebird_code","ebirdst_association_forest","ebirdst_association_grassland","City","Sample","UAI","SD","scale_z_tempwq","scale_UAI","scale_eaforest","scale_eagrassland"
"Acadian Flycatcher",1,0.189481973198562,"acafly",0.416986428062597,0.0919052324113029,"Charlotte_US",2179,1.601909893,1.259270373,-0.908433995205958,-0.297775623899034,3.03071409610313,-1.55747558694653
"American Crow",2,1.3507091902054,"amecro",0.128250948052969,0.147234372257411,"Charlotte_US",36767,1.827793549,1.196459017,1.11207904941184,0.229835972371419,-0.214560427742103,-0.188575524153702
"American Goldfinch",3,1.43137919220521,"amegfi",0.120850256404915,0.168339778853184,"Charlotte_US",30143,1.913136425,1.141502312,1.2524433028179,0.429177048366184,-0.297741324192595,0.333594032332798
"American Robin",4,1.3992512796771,"amerob",0.117677890347459,0.145016234829709,"Charlotte_US",34340,2.264461791,1.122981954,1.19654135235664,1.24979125502468,-0.333397485140429,-0.24345453496988
"Barn Swallow",5,1.14406166473812,"barswa",0.0735951305721456,0.214169576455872,"Charlotte_US",6113,1.829232913,1.256184549,0.752516325829754,0.233197991346595,-0.82887056394198,1.46747055726336
"Blue Grosbeak",6,0.0954310494415625,"blugrb1",0.0613290319287356,0.231235493628838,"Charlotte_US",3761,1.118124764,1.09791903,-1.07208079535519,-1.42778497775683,-0.966736743162849,1.88969897351324
"Blue Jay",7,0.982548449165791,"blujay",0.137478732576522,0.144285084636364,"Charlotte_US",33288,1.786477147,1.168971131,0.471486434209382,0.133330482787118,-0.110843717815006,-0.261543945872792
"Blue-gray Gnatcatcher",8,0.29941813682233,"buggna",0.117788815581208,0.178212449428024,"Charlotte_US",11002,1.776286608,1.254872576,-0.717147182923334,0.109527757774352,-0.332150728645088,0.57785409868158
"Brown Thrasher",9,0.892220479872607,"brnthr",0.112891087714458,0.135847267689961,"Charlotte_US",20664,2.167179486,1.141510695,0.314317503290637,1.02256245441629,-0.387199285442336,-0.470304251561476
"Brown-headed Cowbird",10,0.921093216221044,"bnhcow",0.0848571215695181,0.207755066733378,"Charlotte_US",12098,1.917314834,1.205358735,0.364555509747459,0.43893683834568,-0.702290164226889,1.30876896193168
"Brown-headed Nuthatch",11,-1.38987840826752,"bnhnut",0.135002957082975,0.12153821285406,"Charlotte_US",19088,2.020540387,1.125093186,-3.65649071155657,0.680047681682793,-0.138670471685713,-0.82432504635156
"Carolina Chickadee",12,-0.271110297403151,"carchi",0.0890181060354387,0.233806158927839,"Charlotte_US",50841,1.913244447,1.13737001,-1.70985569577519,0.429429362592284,-0.655522316780785,1.95329988795018
"Carolina Wren",13,-0.0859537715480192,"carwre",0.0903980845568188,0.191892974735098,"Charlotte_US",51661,1.975662648,1.163896817,-1.38768689856881,0.575223738551649,-0.640011894789213,0.916324423793813
"Chimney Swift",14,0.767616761022025,"chiswi",0.116331542360139,0.142329025695496,"Charlotte_US",9611,2.144786672,1.196866644,0.097509426750344,0.970258057769161,-0.348529913006011,-0.309938864254467
"Chipping Sparrow",15,1.32381162341689,"chispa",0.116513470394303,0.156604281037736,"Charlotte_US",19162,1.6674344,1.185698618,1.06527780003642,-0.144725640800193,-0.346485112642626,0.0432456961548977
