,City,Species,Sample,UAI,SD,SE
20745,Singapore_SG,Abbott's Babbler,432,2.689197706,0.827179132,0.039797675
16754,Phoenix_US,Abert's Towhee,67068,2.280824524,1.343029179,0.005185943
165,Addis_Ababa_ET,Abyssinian Slaty-Flycatcher,325,2.399992154,1.339129888,0.074281561
162,Addis_Ababa_ET,Abyssinian Thrush,732,2.406686997,1.134613276,0.041936513
14277,Nairobi_KE,Abyssinian Thrush,1698,2.050504391,1.061712174,0.025765463
18149,Salalah_OM,Abyssinian White-eye,330,1.382513646,1.089375797,0.059968164
2406,Bogota_CO,Acadian Flycatcher,471,1.452374944,1.676952197,0.077269878
4471,Charlotte_US,Acadian Flycatcher,2179,1.601909893,1.259270373,0.026976796
4769,Chicago_US,Acadian Flycatcher,2453,1.196346047,1.137098317,0.022958803
9098,Houston_US,Acadian Flycatcher,3711,1.882752416,1.181709038,0.019398363
9844,Jacksonville_US,Acadian Flycatcher,799,1.231917189,1.205721788,0.042655371
14667,Nashville_US,Acadian Flycatcher,3110,0.860446579,0.811862557,0.01455802
15087,New_Orleans_US,Acadian Flycatcher,1103,1.551362121,1.223753956,0.036847358
15387,New_York_City_US,Acadian Flycatcher,2402,1.032257899,1.302485332,0.0265758
15786,Omaha_US,Acadian Flycatcher,127,1.20248321,0.908055186,0.080576868
16286,Panama_PA,Acadian Flycatcher,976,1.029308303,1.240439604,0.039705504
2772,Bogota_CO,Acorn Woodpecker,276,0.231567423,0.539879451,0.032496924
5009,Ciudad_Juarez_MX,Acorn Woodpecker,274,2.155325281,0.979925958,0.059199492
7859,Guatemala_City_GT,Acorn Woodpecker,6591,1.433395711,1.120606916,0.013803132
11580,Los_Angeles_US,Acorn Woodpecker,74313,2.035831242,1.09963821,0.004033828
12984,Mexico_City_MX,Acorn Woodpecker,2468,1.918339019,1.243868452,0.025038129
13284,Monterrey_MX,Acorn Woodpecker,810,0.471234358,0.757222123,0.026606073
16725,Phoenix_US,Acorn Woodpecker,2432,2.51048546,2.122775404,0.043044955
17663,Puerto_Vallarta_MX,Acorn Woodpecker,473,0.147454816,0.456318201,0.020981533
18833,San_Francisco_US,Acorn Woodpecker,98001,1.048777352,1.065247613,0.003402791
3897,Cape_Town_ZA,African Black Duck,178,1.626690145,1.308838539,0.098101596
10043,Johannesburg_ZA,African Black Duck,556,2.341486139,0.9016053,0.038236582
14282,Nairobi_KE,African Black Duck,137,1.942970364,1.137513547,0.097184341
7428,Durban_ZA,African Black-headed Oriole,1015,1.485342659,0.740720696,0.02324992
10099,Johannesburg_ZA,African Black-headed Oriole,199,1.807140374,1.0756523,0.07625097
11156,Livingstone_ZM,African Black-headed Oriole,115,0.379373603,0.620535977,0.057865278
14436,Nairobi_KE,African Black-headed Oriole,240,0.764574678,0.888766654,0.057369641
10268,Kampala_UG,African Blue Flycatcher,292,0.518427728,0.816276941,0.047768995
4250,Casablanca_MA,African Blue Tit,1000,3.419651171,1.09228863,0.034541199
10635,Las_Palmas_de_Gran_Canaria_ES,African Blue Tit,1851,2.566878883,1.518895012,0.035304051
190,Addis_Ababa_ET,African Citril,471,2.059150261,1.033436292,0.047618231
14327,Nairobi_KE,African Citril,722,1.521964772,1.047898553,0.038998746
946,Auckland_NZ,African Collared-Dove,822,1.241790035,0.869293203,0.030320082
10601,Las_Palmas_de_Gran_Canaria_ES,African Collared-Dove,241,3.52179109,0.783981795,0.050500707
7482,Durban_ZA,African Crested-Flycatcher,123,0.980594328,0.726075041,0.065467982
3822,Cape_Town_ZA,African Darter,785,2.468028619,0.941184863,0.033592328
6242,Dakar_SN,African Darter,173,1.79542811,0.646293639,0.049136795
7485,Durban_ZA,African Darter,128,0.910695467,0.998548776,0.088260076
10068,Johannesburg_ZA,African Darter,558,2.134117672,1.122624293,0.047524476
10293,Kampala_UG,African Darter,122,0.263156276,0.568076389,0.05143122
11075,Livingstone_ZM,African Darter,303,0.706833469,0.717170935,0.041200394
14333,Nairobi_KE,African Darter,185,1.442472499,0.79264466,0.058276394
166,Addis_Ababa_ET,African Dusky Flycatcher,474,2.382389811,1.021397104,0.046914323
3928,Cape_Town_ZA,African Dusky Flycatcher,913,1.362401765,0.848612656,0.02808498
7437,Durban_ZA,African Dusky Flycatcher,353,1.41302256,1.047196644,0.055736653
14373,Nairobi_KE,African Dusky Flycatcher,290,1.188177119,1.142704549,0.067101922
7469,Durban_ZA,African Emerald Cuckoo,134,1.171730967,0.606348635,0.052380544
10271,Kampala_UG,African Emerald Cuckoo,139,0.501807902,0.699376369,0.059320329
7457,Durban_ZA,African Firefinch,146,1.301151742,0.918563997,0.076020897
214,Addis_Ababa_ET,African Fish-Eagle,139,1.284375798,1.116079405,0.09466462
3933,Cape_Town_ZA,African Fish-Eagle,206,1.313255327,1.031941548,0.071898775
7443,Durban_ZA,African Fish-Eagle,265,1.383087993,1.120801026,0.06885026
10150,Johannesburg_ZA,African Fish-Eagle,100,0.962533894,0.913904668,0.091390467
10229,Kampala_UG,African Fish-Eagle,472,0.878860946,0.726740333,0.033450935
11141,Livingstone_ZM,African Fish-Eagle,415,0.461222216,0.630326889,0.03094153
14410,Nairobi_KE,African Fish-Eagle,478,0.942660853,0.823276272,0.03765578
11068,Livingstone_ZM,African Golden Oriole,129,0.7444267,0.916487722,0.080692245
7398,Durban_ZA,African Golden-Weaver,171,1.63091802,0.841451167,0.064347379
14328,Nairobi_KE,African Golden-Weaver,178,1.512005492,0.745914565,0.05590866
3887,Cape_Town_ZA,African Goshawk,167,1.681090179,0.723875676,0.056015182
7411,Durban_ZA,African Goshawk,112,1.568898791,0.827718041,0.078212003
14299,Nairobi_KE,African Goshawk,115,1.761077909,1.064197221,0.099236903
14468,Nairobi_KE,African Gray Flycatcher,232,0.588878087,0.72922299,0.047875835
6310,Dakar_SN,African Gray Hornbill,188,0.936386316,1.017979552,0.074243789
10065,Johannesburg_ZA,African Gray Hornbill,532,2.157070013,1.047743074,0.045425423
11144,Livingstone_ZM,African Gray Hornbill,363,0.455053048,0.665859716,0.034948571
10191,Kampala_UG,African Gray Woodpecker,158,1.215677422,0.735970437,0.058550664
9981,Johannesburg_ZA,African Green-Pigeon,285,3.168657997,0.425878496,0.025226865
10247,Kampala_UG,African Green-Pigeon,349,0.727163109,0.799865009,0.042815792
14390,Nairobi_KE,African Green-Pigeon,141,1.092565099,0.934091575,0.078664701
3864,Cape_Town_ZA,African Harrier-Hawk,199,1.903061029,0.909926882,0.064503006
7422,Durban_ZA,African Harrier-Hawk,178,1.522099134,0.841381946,0.063064243
10209,Kampala_UG,African Harrier-Hawk,417,1.027640915,0.897673333,0.043959252
14348,Nairobi_KE,African Harrier-Hawk,265,1.342203918,1.089919219,0.066953205
10165,Kampala_UG,African Hobby,159,1.536131581,0.716685355,0.056836846
7467,Durban_ZA,African Jacana,161,1.174032216,0.841270837,0.06630143
10283,Kampala_UG,African Jacana,328,0.36091985,0.641885364,0.03544219
11094,Livingstone_ZM,African Jacana,358,0.625802358,0.644187078,0.034046345
14411,Nairobi_KE,African Jacana,369,0.925515227,0.729286074,0.037965117
3927,Cape_Town_ZA,African Marsh-Harrier,300,1.366917528,0.923072436,0.053293612
10297,Kampala_UG,African Marsh-Harrier,168,0.19159995,0.530759411,0.040948978
10200,Kampala_UG,African Openbill,738,1.092366254,0.870679851,0.032050168
11089,Livingstone_ZM,African Openbill,275,0.651629144,0.681730749,0.041109911
3923,Cape_Town_ZA,African Oystercatcher,1397,1.433498153,1.289032971,0.034487826
7351,Durban_ZA,African Palm-Swift,427,2.095499541,1.054435006,0.051027686
10005,Johannesburg_ZA,African Palm-Swift,2805,2.705064091,0.843592002,0.015928175
10211,Kampala_UG,African Palm-Swift,491,1.01232093,0.760714996,0.034330587
11050,Livingstone_ZM,African Palm-Swift,368,0.973622224,0.825904939,0.043053271
14281,Nairobi_KE,African Palm-Swift,740,1.966450385,1.145676981,0.042115923
177,Addis_Ababa_ET,African Paradise-Flycatcher,410,2.20378537,1.1286548,0.055740288
3946,Cape_Town_ZA,African Paradise-Flycatcher,321,1.117243441,0.953894951,0.053241224
7369,Durban_ZA,African Paradise-Flycatcher,398,1.819876571,1.202023596,0.060251999
10041,Johannesburg_ZA,African Paradise-Flycatcher,494,2.384583805,0.866516976,0.038986442
10204,Kampala_UG,African Paradise-Flycatcher,316,1.057207941,0.939431213,0.052847135
11077,Livingstone_ZM,African Paradise-Flycatcher,227,0.704221573,0.758320462,0.050331497
14308,Nairobi_KE,African Paradise-Flycatcher,1005,1.69097303,1.137616424,0.035884989
18157,Salalah_OM,African Paradise-Flycatcher,272,1.070955247,0.871809168,0.052861195
3916,Cape_Town_ZA,African Penguin,892,1.482080667,1.195555491,0.040030159
10292,Kampala_UG,African Pied Hornbill,139,0.271083244,0.615818443,0.052233039
3985,Cape_Town_ZA,African Pied Starling,203,0.346696827,0.796932218,0.055933676
10113,Johannesburg_ZA,African Pied Starling,245,1.619630147,1.114959265,0.071232135
7383,Durban_ZA,African Pied Wagtail,235,1.7376632,1.076876248,0.070247661
10262,Kampala_UG,African Pied Wagtail,474,0.586340523,0.748695588,0.034388727
11071,Livingstone_ZM,African Pied Wagtail,527,0.737993478,0.832454543,0.036262289
14283,Nairobi_KE,African Pied Wagtail,1561,1.921790067,1.11916465,0.028326475
3955,Cape_Town_ZA,African Pipit,308,0.940665013,0.944382091,0.053811164
10149,Johannesburg_ZA,African Pipit,230,0.968992438,0.958280711,0.063187159
